F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,582553.140,1382278.495,307.230,545.550,349.700,176023.625,40797.345,298.360,130218.975,861918.970
8,512,1,588141.650,1230516.985,291.310,543.060,371.935,175472.920,45014.620,300.350,134751.765,867740.990
8,512,2,633244.115,1400655.980,272.560,572.310,369.475,175393.140,42927.830,288.435,149379.025,828476.100
16,512,0,2534939.460,5844877.660,1347.400,1208.970,997.080,749420.020,172119.890,3975.130,542105.850,3546631.990
16,512,1,2585468.960,5926789.790,1250.560,1203.800,962.490,707942.680,174511.420,4277.620,549715.960,3581508.990
16,512,2,2406498.540,5898127.640,1319.850,1220.170,960.150,706740.310,164849.710,3888.760,551561.160,3708572.910
32,512,0,10276523.810,23778189.190,21556.990,10644.110,2076.050,2949793.400,712013.310,12915.990,2231357.640,14337947.720
32,512,1,10350258.320,24755464.850,21361.790,11223.900,2069.920,2941853.130,720291.130,12795.970,2245101.420,14782455.550
32,512,2,10305142.280,24006499.220,21808.570,10639.530,2100.840,2989776.360,702302.970,12978.690,2189405.990,14539136.340
64,512,0,41170937.010,98022963.190,89472.320,11814.390,4302.750,12123378.430,2905972.510,30161.380,8759267.280,59337430.480
64,512,1,40628292.740,97254044.040,91708.720,11757.440,4762.870,12097216.360,2886959.800,31951.690,8751698.040,58217376.320
64,512,2,40554521.640,96975307.430,90444.640,12622.150,4412.340,12101595.810,3002775.500,30314.440,8975738.770,60709963.330
128,512,0,162788927.180,398281936.140,378620.780,479611.610,12387.920,48749060.400,12902840.860,94749.270,35215331.780,237931431.560
128,512,1,163314436.050,392338836.200,378433.140,501731.070,9331.880,49606556.800,12156145.610,92800.380,34321560.770,236597448.370
128,512,2,163491048.590,389727122.020,381945.540,490981.450,11675.120,49454488.220,10569241.780,70875.350,35579320.770,238698322.450
256,512,0,646487554.930,1570983898.880,1501088.190,3753158.740,32514.420,199523918.490,47801636.540,229401.710,141293687.920,952105236.470
256,512,1,632715494.260,1529376299.280,1488047.010,3700316.550,31083.920,198121231.810,47070662.170,228429.290,141671707.170,944817993.510
256,512,2,648584435.690,1586388558.070,1498397.940,3677212.080,39695.110,197998467.400,47196959.440,219253.760,142146708.450,961757836.350
512,512,0,2595712609.320,6279932567.880,6132625.930,15310258.840,239916.930,797801848.960,189853722.100,648269.220,566801626.590,3818039588.600
512,512,1,2595611412.470,6283951348.150,6122254.470,15473056.330,184614.720,797648478.910,190004200.640,647632.790,567526795.360,3817844109.550
512,512,2,2592547612.670,6093385807.760,5573764.430,16344366.260,172658.490,797446654.490,189917935.380,646604.160,567475269.370,3816932404.350
1024,512,0,10028554741.590,23805933785.950,24512430.000,63527888.100,1088085.400,3177307513.250,758154492.970,2057436.260,2264877724.870,15393737209.650
1024,512,1,10667957208.620,25117980611.570,24144241.740,62625003.910,1207443.740,3202493472.610,749733715.090,2072912.370,2283235331.360,15265499065.740
1024,512,2,9785660811.240,25120321694.900,24142832.700,62628794.140,1123481.040,3202334740.550,736728590.790,2071828.360,2283652250.510,15333354064.760
2048,512,0,41422673956.600,100538559627.600,96630018.160,250252709.190,3282335.310,12862920722.980,3083120982.870,7197166.390,9255182114.430,61309598876.530
2048,512,1,41428325273.210,100535539360.540,96625878.170,250286389.070,5113725.180,12398640707.660,3099959626.930,7324189.870,9138647069.440,61311177775.140
2048,512,2,41424540729.680,100538275595.800,96626709.020,250237939.370,3658503.510,13202649016.040,2910558216.200,6995339.060,9139411401.000,61313343188.650
