F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,610142.585,1335047.250,294.490,523.260,388.730,173159.260,42823.820,311.440,127035.225,895484.810
8,512,1,587063.680,1380202.405,275.395,585.030,387.905,183027.695,43889.995,315.880,138474.465,871979.320
8,512,2,585031.200,1433138.760,281.645,613.550,382.060,191572.125,42761.500,311.540,123242.930,808926.575
16,512,0,2547309.130,5757237.580,1320.090,1102.160,1002.750,724712.600,170513.370,4095.270,558508.120,3540310.290
16,512,1,2576670.720,5756918.440,1308.120,1152.540,1024.150,745642.120,171127.670,4147.460,527696.430,3628130.080
16,512,2,2562384.640,5899453.260,1255.520,1124.960,959.090,714501.780,171844.140,4207.530,523304.430,3614175.890
32,512,0,10390723.710,23726800.500,21509.390,2595.850,2038.330,2959569.820,714753.030,12512.450,2196779.260,14774989.930
32,512,1,10197963.010,24289692.570,21781.270,2924.400,2003.030,2902229.260,714390.020,13017.420,2240837.950,14899692.330
32,512,2,10575635.700,24001562.360,21554.520,2722.480,2093.130,2985589.250,693407.490,13139.910,2194269.840,14775976.010
64,512,0,41282826.990,99304498.410,89461.890,34130.370,5249.760,11966593.100,2879915.870,29744.790,8857671.740,59653225.400
64,512,1,41289226.280,96962991.480,91108.130,32148.700,4977.170,12231244.660,2885745.790,31954.590,8901621.980,58719776.520
64,512,2,40916296.080,96862834.990,89403.680,33711.240,5425.660,12154355.600,2931543.420,30870.350,8643819.890,58744604.740
128,512,0,164107016.650,393971623.610,374066.130,442226.420,11713.880,48872470.660,11957376.660,75029.640,36224713.720,238701826.140
128,512,1,163136701.130,395926968.280,383200.560,444356.590,11686.990,49659201.490,11202955.850,75418.390,35762789.430,238002216.770
128,512,2,163153842.910,386001755.820,376029.290,442305.960,11498.700,49083490.250,11198021.760,69828.020,35454648.950,235762545.530
256,512,0,649879418.880,1552329489.350,1491737.100,3640780.730,26282.130,199337473.900,46544345.860,203046.300,141996310.420,947862741.380
256,512,1,649066635.420,1548808371.360,1495035.070,3639256.750,36822.690,195567598.430,47693559.030,210917.020,143660022.890,950897599.100
256,512,2,648620574.950,1565060181.960,1482715.660,3671063.230,29799.450,200815106.010,46854083.510,201687.200,141879474.130,961384826.280
512,512,0,2592945008.760,6277264574.430,6036264.270,15872787.470,187143.690,796522275.150,189175847.880,606181.250,567657625.240,3817338636.650
512,512,1,2547333186.310,6221294599.950,6055680.780,15439495.330,187496.910,795796987.810,191683042.020,604813.940,567265029.990,3819127430.310
512,512,2,2564875786.420,6280018585.070,6046450.650,15401470.580,209230.550,804187590.190,187765526.670,604884.850,567731933.650,3817870247.640
1024,512,0,10385325525.390,25201629454.140,24476932.780,63956356.230,1071809.390,3299917870.070,792609208.860,1936379.340,2309705874.480,15208993958.010
1024,512,1,10386348695.560,24867991077.470,24247941.260,62556293.110,1068964.620,3273620002.000,740975655.640,1935877.470,2318478377.330,15435847629.220
1024,512,2,10385945081.290,25202762693.400,24164160.790,62538679.030,1132928.680,3251894090.480,778155558.500,1933713.660,2249420645.390,15151202920.330
2048,512,0,41079966713.890,94344402048.420,98234663.530,249654515.770,7812118.780,12864531019.000,3105746525.500,6899328.050,9194963010.130,60520233015.450
2048,512,1,41530698354.870,102964392876.780,100041788.150,248229451.410,8151615.220,12863849487.980,3054806231.220,6858778.700,8803980815.020,61791885465.310
2048,512,2,41531051107.150,100876503099.900,99646817.530,253426341.000,7981731.340,13035460982.040,3129884757.080,6859171.630,9114681922.380,61328780964.650
