F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,152611.933,311653.872,117.112,346.396,358.950,30191.602,21789.705,429.309,18880.347,202668.691
8,512,1,158361.412,373894.570,137.390,404.839,340.229,30359.723,22816.235,440.948,17657.965,200074.786
8,512,2,150317.883,330398.674,135.410,427.445,362.187,29094.152,20958.497,496.968,17222.924,180172.727
16,512,0,610803.150,1239411.445,242.635,700.665,639.490,107654.410,89175.115,3112.665,71064.340,758090.765
16,512,1,629662.215,1148228.715,238.865,699.490,675.485,124329.840,86609.435,3149.705,72240.475,727749.785
16,512,2,614787.375,1178018.020,248.965,719.495,670.610,100576.095,89122.105,3228.085,71134.355,716636.240
32,512,0,2547352.240,5362588.640,1526.820,1657.120,1503.670,484288.990,387228.200,11927.940,304532.280,3250923.990
32,512,1,2607744.090,5353831.620,1521.230,1657.950,1616.740,438843.060,396844.670,12882.370,304025.160,3197123.640
32,512,2,2717986.280,5540411.460,1441.700,1665.750,1569.280,437536.020,379423.070,12207.900,296840.970,3178953.190
64,512,0,10234300.470,21652496.620,10770.190,4070.650,3416.850,1943430.160,1650577.300,29507.980,1125166.630,13003225.690
64,512,1,10101628.470,21610133.100,10020.640,4263.590,3458.670,1962498.490,1625437.030,30338.500,1198063.840,12988570.730
64,512,2,10100869.290,22482780.750,10196.450,4251.520,3544.680,1915729.360,1683152.160,29958.610,1219463.390,12745338.750
128,512,0,39480867.700,88547679.020,54652.040,30679.550,8476.670,8757512.200,6620570.950,78538.430,4894796.130,53252641.490
128,512,1,39579708.310,87503642.980,54580.880,27653.240,8122.950,8499510.620,6731077.730,77709.670,4923197.590,54649704.250
128,512,2,40400724.220,88753615.470,53808.730,29659.520,8010.640,8617810.000,6836048.540,80222.740,4934325.050,54377363.300
256,512,0,152336064.630,352365483.830,205585.720,337578.560,19625.530,34432421.990,26813432.970,210972.010,18980476.580,211544083.070
256,512,1,153909782.450,355853390.850,213890.240,344521.460,18825.930,35520735.840,26623382.590,213497.960,18890940.340,209950963.930
256,512,2,153696500.330,349854604.710,211406.170,337981.690,19262.300,35293362.260,26294260.350,211275.260,18676531.920,213323044.330
512,512,0,611455596.020,1430101423.080,857287.640,2648635.550,60003.170,146825938.360,107584555.180,612716.140,76336578.370,860346059.760
512,512,1,611703430.240,1416368001.250,828562.570,2640020.420,60326.800,144586464.270,109750039.510,603905.940,77133764.060,860089279.360
512,512,2,611168659.230,1430874406.620,801487.840,2506566.630,59446.210,146341042.070,104216960.930,632656.190,77604162.400,858294660.030
1024,512,0,2471244199.110,5913860366.160,3501873.140,12828436.740,211154.190,607569904.270,425516951.550,1941540.190,297773661.520,3474786912.230
1024,512,1,2473327777.380,5862051037.300,3432794.930,13068774.110,205717.000,589366519.410,449889216.450,1927710.840,302499250.250,3507520310.890
1024,512,2,2419706938.160,5768147102.510,3598117.240,12191114.230,198687.420,594435208.590,413344356.090,1878219.620,312432734.780,3472896948.930
2048,512,0,9801601348.660,23244806696.590,14880402.210,52495886.580,1028000.970,2395739548.860,1746043595.030,6640778.790,1233472945.940,13908823365.010
2048,512,1,9788379027.690,23730023322.890,14343624.460,52087509.740,1037940.940,2471865880.190,1748770557.790,6698805.860,1252604197.310,13850824735.590
2048,512,2,10375501920.800,22575608825.650,14549438.230,53714698.130,1021374.260,2344445351.060,1652021895.460,6478713.300,1282206345.750,13939536986.680
