F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,144591.596,304981.147,134.979,378.090,359.799,32060.390,23618.222,490.690,19452.212,190376.197
8,512,1,143889.151,317265.649,130.086,317.727,334.516,31985.485,21198.156,478.633,18864.432,184043.910
8,512,2,143019.505,305605.819,130.319,365.603,368.886,32818.345,21296.659,473.136,16779.995,203957.584
16,512,0,621619.142,1158112.445,240.197,676.500,674.872,111964.775,88009.183,2970.271,66890.161,769269.381
16,512,1,652102.761,1315722.197,242.303,708.101,693.963,103416.514,97793.023,3058.982,69831.601,714545.133
16,512,2,708383.849,1162046.243,247.477,787.436,747.119,107172.454,89083.174,2901.752,67859.890,725407.321
32,512,0,2634512.260,5428236.930,1511.380,1593.550,1469.220,486737.810,382630.150,11629.650,317349.180,3168463.470
32,512,1,2619724.490,5161400.240,1473.300,1576.910,1502.070,459866.920,387849.460,12375.900,314334.510,3118335.320
32,512,2,2678201.620,5670808.360,1619.320,1634.590,1540.640,431666.560,400536.840,12161.460,302590.970,3290755.920
64,512,0,10364387.420,20984115.260,10368.830,3990.860,3372.900,1896574.070,1632250.770,30174.340,1171932.470,13274061.590
64,512,1,9764025.790,21945209.910,10513.390,4413.470,3528.290,1940311.970,1599513.950,30021.890,1177289.490,13284405.030
64,512,2,9987669.810,21478537.750,9856.390,3961.400,3370.580,1877944.830,1582067.930,29248.790,1219825.220,13253028.200
128,512,0,39821228.160,86424455.960,52379.100,37389.870,7868.180,8612720.890,6671164.480,75613.560,4965000.970,53744877.470
128,512,1,39144577.290,89748163.190,52699.530,36616.770,7627.470,8492237.680,6601316.160,73729.980,4869575.180,54154169.840
128,512,2,39106042.560,87246830.200,53281.570,37169.670,8086.390,8532065.840,6688069.720,75319.640,4985444.810,53609599.190
256,512,0,149934195.960,349525934.960,219439.310,309865.160,19482.150,34540425.420,26773089.520,197527.150,18263122.150,213164152.110
256,512,1,155650292.170,356587409.250,211267.090,291322.860,18626.310,33231326.980,27325104.290,197919.180,18884356.880,212308240.410
256,512,2,151963332.430,363884570.580,218687.490,304517.230,18922.520,34815881.540,25709220.830,193892.070,18641616.030,215617115.760
512,512,0,610269266.680,1441452879.820,867205.360,2741603.470,64382.690,147182488.490,107695934.120,572819.310,75357442.370,859884536.500
512,512,1,609445127.240,1427006407.750,865354.140,2705152.630,68213.620,142352954.430,106815307.050,573790.250,76419438.550,865265475.170
512,512,2,596738011.290,1386467331.840,840655.790,2652125.420,63321.230,144869915.830,109937288.730,578523.950,76685441.930,868577361.560
1024,512,0,2504478439.170,5820029470.180,3474580.810,12958344.690,295197.230,624420960.150,438947022.180,1840695.430,308499789.360,3514371929.200
1024,512,1,2422147704.950,5713386373.930,3318697.630,12898944.780,281361.900,609319346.540,440845312.370,1863458.170,322827849.570,3499467314.820
1024,512,2,2417707801.810,5698859358.820,3260304.360,12719874.320,265362.800,578739269.750,402223259.510,1863830.900,318879153.150,3475915956.940
2048,512,0,9773006702.330,23232289207.980,14522343.620,50655673.050,1131237.390,2420284283.170,1718466161.540,6544805.930,1275463466.350,13944285283.160
2048,512,1,9770502700.570,23236885028.610,13237304.040,53858548.940,1164664.520,2420352584.090,1830911661.860,6695061.750,1243651809.480,14185164293.810
2048,512,2,9767190674.130,23235291115.440,14523529.050,52752298.920,1002941.600,2423156442.130,1571899169.310,6428925.070,1242955337.090,13477228929.350
