F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,199143.468,517603.549,435.860,1078.038,785.914,40006.306,20151.489,100.376,33473.269,319898.539
8,512,1,201105.237,482662.662,552.016,1126.213,902.708,31814.272,21698.157,108.824,31570.288,284908.982
8,512,2,183689.000,454251.227,542.832,993.051,886.951,24158.591,24695.621,124.852,41384.496,272002.003
16,512,0,689072.545,1649603.100,1449.375,2118.235,1837.485,112926.325,76830.480,638.915,118264.005,1015952.605
16,512,1,597216.235,1700092.325,1710.985,2121.860,1886.825,111622.960,82060.260,613.905,119146.615,985531.620
16,512,2,679606.405,1634953.820,1681.660,2400.255,2045.245,113243.620,67892.910,642.870,109065.400,1024212.840
32,512,0,2220717.570,5971740.390,11160.480,4574.750,4126.950,292160.130,264598.100,3109.700,436156.250,3558659.340
32,512,1,2269943.950,6288638.650,10914.110,4862.030,3978.820,349930.270,263244.940,2775.600,402683.780,3723498.980
32,512,2,2372031.030,6194265.290,10992.980,5045.400,4006.170,392369.890,264859.550,2994.500,434064.110,3600414.790
64,512,0,8283092.110,22487698.350,48518.430,14647.490,7555.590,1334820.340,961217.140,9347.440,1649430.930,13752161.150
64,512,1,8567476.620,21817245.140,48151.660,13400.560,8148.090,1332586.910,947614.540,9530.890,1611259.210,13598794.760
64,512,2,8425249.650,23460381.920,46267.970,14602.790,7710.710,1291768.070,927909.460,9713.960,1581981.110,13456285.670
128,512,0,31459659.870,89129019.770,195978.190,146410.190,15931.650,4958238.490,3568413.050,29459.640,6234154.770,50615756.260
128,512,1,31290345.880,84634057.300,205115.410,147681.580,14958.750,4922615.780,3639822.340,31440.740,6177837.000,51686175.290
128,512,2,32358695.050,92953172.270,211742.290,156850.790,15613.080,4600556.600,3365559.720,28267.500,6173661.180,51897312.910
256,512,0,121544615.320,349017520.060,797837.240,1452510.900,33850.540,19236906.540,13533079.050,93592.120,23769238.310,197005056.290
256,512,1,124445026.490,361559654.540,790615.330,1420292.050,31937.250,18769620.320,13189769.140,94881.450,23215109.820,199799615.030
256,512,2,125816439.040,372274418.300,828175.570,1401803.510,32698.070,18709053.290,12867368.170,95253.220,22969040.600,202941463.450
512,512,0,468356182.750,1368318667.160,3109352.840,7340593.890,91441.630,77692255.440,52764865.710,297979.410,96306342.980,787305181.270
512,512,1,467078384.460,1381224371.820,3148502.450,7692097.680,93928.990,80052241.780,52378295.190,305084.290,95011539.050,778272724.680
512,512,2,469006965.480,1308307922.610,3108988.110,7184315.830,92928.920,78296556.160,53990146.300,295091.420,96621152.520,785389030.220
1024,512,0,1838753340.910,5647757776.030,12910146.080,32303814.970,1529609.080,316905930.790,205519647.850,989480.890,383864214.700,3143039854.950
1024,512,1,1829305000.360,5323455535.300,12143315.990,32259642.810,1571754.000,317611592.710,212390116.930,1021681.430,385177229.160,3070997028.370
1024,512,2,1874700120.900,5239720613.190,12824387.010,32294281.890,1524119.030,320417275.480,207615379.140,998494.210,385740488.140,3096764250.230
2048,512,0,7323917551.910,21962431520.030,49609951.240,131893084.460,725245.610,1226260940.750,822595345.640,3596331.610,1527954632.720,12433721959.550
2048,512,1,7324485532.720,21694292181.130,49932938.350,129495835.700,541508.090,1242825332.840,868568375.680,3663375.070,1554620664.580,12435141300.690
2048,512,2,7324279374.140,21731485916.700,50849622.460,128572861.980,477143.380,1244407521.520,815047378.860,3562304.620,1524099538.580,12435761680.080
