F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,177893.345,459399.053,517.505,967.998,890.557,35850.590,22878.247,105.081,38265.765,310014.779
8,512,1,210733.337,490467.159,523.502,1040.212,878.576,41248.521,23398.599,107.993,33521.141,354700.951
8,512,2,183353.454,522670.143,597.383,1133.452,926.299,35532.742,21547.618,106.972,34971.527,288168.080
16,512,0,624286.075,1760073.920,1592.854,2015.587,1866.498,119810.925,75884.915,610.174,114835.005,1054024.977
16,512,1,602819.559,1763126.408,1483.268,2189.484,1885.319,102125.568,72233.977,580.977,113301.028,1027564.286
16,512,2,690160.423,1791091.033,1762.066,2341.934,1897.207,138742.897,73842.052,574.840,112837.822,939814.338
32,512,0,2325877.080,5946609.390,10401.870,4843.460,3859.250,313925.580,273019.450,2815.810,414445.520,3605297.990
32,512,1,2076735.000,6481879.070,10744.050,4700.910,3810.960,369157.030,279699.170,2860.920,398387.910,3382843.640
32,512,2,2414787.140,6139621.050,10669.420,4452.930,3936.100,411979.170,265767.410,2885.160,442348.250,3668382.810
64,512,0,8013376.030,22241578.490,46043.600,28730.930,8213.020,1319222.020,927893.150,8886.030,1589799.440,13672764.380
64,512,1,7820038.910,22903429.180,46714.250,29863.010,7527.050,1271359.080,954179.600,8923.230,1585987.230,13568366.340
64,512,2,8185869.490,22013568.290,48709.930,28079.250,7225.180,1257850.500,951040.600,9675.650,1510878.980,13156422.070
128,512,0,31527899.440,87140290.410,199805.840,159360.140,17059.740,5080360.650,3599442.540,27751.480,6271054.320,52162835.490
128,512,1,30481483.730,88676533.400,199569.840,158711.900,15719.150,4972885.450,3584693.310,28159.270,6212189.010,51232971.800
128,512,2,28878562.630,89428103.930,194515.500,153139.590,16523.810,5083892.440,3515483.860,28500.530,6283333.110,51754500.640
256,512,0,119300827.270,341534016.590,772576.510,1427461.550,32645.680,19325836.690,13399705.830,86838.730,24443687.150,199829434.300
256,512,1,117065587.080,339718444.890,767845.040,1447367.330,32878.000,19229457.050,13524689.830,87546.270,24722127.290,200918224.570
256,512,2,115431895.310,333122338.930,786073.560,1453283.280,33643.720,19662415.620,13811717.920,87458.430,24025813.050,198207393.210
512,512,0,468850203.500,1400907088.050,3127298.370,7485192.620,104103.290,77827392.930,53289122.120,285658.280,96097644.190,795715432.700
512,512,1,464175625.090,1314450895.960,3105052.030,7468364.800,101596.430,78351260.520,52865220.560,271537.190,95959362.540,791168566.060
512,512,2,465508926.090,1382706443.620,3192809.930,7265986.570,99708.890,77643128.130,51852055.650,287165.070,94579118.370,803461911.550
1024,512,0,1839005234.930,5492400095.880,12592851.800,32271840.930,694728.760,310961417.560,206620269.200,942294.780,382105721.290,3115529756.380
1024,512,1,1839087017.410,5505534764.270,12443226.250,32285044.610,705773.250,311058829.090,206568879.890,944026.200,381944510.360,3141109761.100
1024,512,2,1839238068.070,5445164222.560,12600590.660,32262184.200,809792.460,311243523.660,206535353.970,942095.110,381684589.260,3117023145.040
2048,512,0,7820572294.270,21778399533.290,52138269.720,133761782.180,915554.300,1233440145.080,768253951.280,3410917.800,1484922060.780,12425825881.690
2048,512,1,7744662182.810,20866092287.880,45464585.360,130885885.330,674081.000,1162825368.680,844344722.380,3445463.880,1523512102.110,12438871997.660
2048,512,2,7570131056.650,21009690535.790,50140126.590,130902833.490,618330.420,1298346922.920,771823791.310,3248218.730,1491441540.780,12421512976.210
