F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,52342.189,127245.383,196.277,650.854,774.394,6546.913,9672.385,47.767,7435.822,74140.316
8,512,1,57400.995,127217.057,190.993,639.716,633.318,4826.660,9145.388,56.115,9319.002,76464.575
8,512,2,61194.997,135407.102,237.151,580.030,636.393,10165.183,9968.251,53.389,7107.951,88275.189
16,512,0,151883.812,339336.208,516.026,1224.791,1135.135,14956.789,28020.773,289.183,25971.771,214699.127
16,512,1,161763.024,423718.286,402.698,1412.963,1299.662,35090.448,23124.946,214.648,17354.211,222722.830
16,512,2,158845.104,342314.763,406.644,1117.898,1378.032,7953.391,32014.774,288.500,26180.547,207968.500
32,512,0,613471.505,1312931.520,1177.445,3086.475,2692.275,91618.090,78930.005,1669.260,68271.105,763547.510
32,512,1,597019.960,1129997.125,1215.700,2998.015,2961.760,72646.265,80077.230,1757.565,68072.155,749616.350
32,512,2,565877.240,1208426.295,1660.785,2975.350,2535.060,-6342.945,89266.830,1864.650,74537.660,729041.715
64,512,0,2024578.500,4023848.380,6347.030,6011.500,5188.840,230476.170,301781.280,9125.510,273671.650,2395147.930
64,512,1,1846477.430,4452020.920,6108.970,6156.970,5158.770,-36807.480,185456.960,4866.680,133723.470,2675698.010
64,512,2,2157897.940,4097031.170,5610.970,5960.570,5015.360,363769.060,253398.140,8603.850,255002.990,2614467.340
128,512,0,6680200.590,15148193.650,31768.430,17256.020,10989.490,876239.660,862638.590,26160.530,921811.370,9015681.890
128,512,1,6568416.530,15027167.750,31084.390,16449.570,11531.730,735322.550,859811.530,23654.540,882833.300,9473210.740
128,512,2,6931732.380,15480673.140,28384.360,17096.560,11574.660,844467.460,960611.050,27348.550,885677.760,9292088.310
256,512,0,24933321.350,52269431.760,120579.740,124387.350,20554.990,3061659.110,2933800.330,82241.710,3360725.510,32808916.720
256,512,1,23523769.110,55390472.590,122736.940,119506.130,19461.670,3250129.300,3041560.570,83198.900,3242972.600,32043888.790
256,512,2,24769109.360,52948212.790,122236.710,114084.840,20994.600,3387252.770,3148929.100,84229.620,3495862.290,32015530.190
512,512,0,88271380.660,203897162.310,519946.230,1081313.270,45419.160,13592727.890,11072866.290,271819.760,13347675.650,121631124.260
512,512,1,91343675.810,208015301.180,506019.250,1050532.180,43087.940,13643403.610,11279875.460,273775.780,13385047.080,122907233.830
512,512,2,91198128.350,222717379.120,553503.610,1131731.410,42999.390,13505930.510,11137396.920,269915.590,12811971.840,115873316.600
1024,512,0,345832132.390,843426785.360,2256793.520,6550529.330,91736.360,53704567.230,41520828.000,921544.040,52413247.140,476898259.130
1024,512,1,351228508.710,830282553.010,2232907.040,6593767.420,90055.220,55601330.250,41160362.220,903091.630,51874170.730,474234380.980
1024,512,2,349200436.800,754534070.860,2177500.860,6544854.170,95035.210,58175875.600,41570446.500,899242.020,52383479.900,479264382.900
2048,512,0,1331298546.440,3232687031.550,8867275.450,30460970.900,198589.310,222186678.340,163551751.820,3330466.820,203655647.860,1921671596.810
2048,512,1,1345718707.250,3184861348.980,8922582.890,31435418.420,212163.420,220804282.930,161732018.520,3251628.590,210835732.350,1840664009.730
2048,512,2,1316683289.230,3266291384.430,8943461.530,30837456.760,211440.300,220600914.620,160613217.790,3253367.590,206361847.680,1876686499.240
