F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,56753.810,129866.205,199.268,610.204,681.124,5918.993,10071.811,61.242,8663.163,74674.949
8,512,1,66667.532,131723.547,258.649,695.890,717.956,10254.053,8476.132,51.717,7753.399,84631.275
8,512,2,62382.504,139279.041,226.280,698.333,663.011,7785.115,8073.310,56.976,7970.454,80746.099
16,512,0,172118.637,408793.312,519.402,1175.740,1042.634,53822.517,24472.003,229.460,23873.422,268312.065
16,512,1,163481.455,362274.092,481.117,1325.986,1394.963,9844.280,28260.765,264.886,20905.098,201639.314
16,512,2,162178.522,387443.922,459.606,1397.278,1404.923,38444.971,22994.282,194.625,19366.091,254194.357
32,512,0,571788.165,1548519.495,1536.090,3212.035,2447.380,96540.970,79531.675,1755.720,67509.420,740946.740
32,512,1,595655.555,1290091.350,1273.720,2992.500,3038.315,62582.630,79849.805,1702.620,67944.900,731329.080
32,512,2,561611.935,1187716.265,1378.925,2618.345,3199.825,-34403.180,94784.560,1604.160,66300.555,753354.610
64,512,0,2044990.420,4108590.490,6370.760,5519.820,5686.530,304721.810,307790.300,7715.920,243290.970,2677091.390
64,512,1,2212412.060,4743025.490,6381.740,5828.960,5092.290,258420.330,307725.060,8941.730,251193.940,2537712.630
64,512,2,2152821.760,4636081.310,6579.770,5761.390,4798.990,275553.190,254332.270,8254.340,274736.320,2735017.740
128,512,0,7085649.020,13843155.170,28697.260,17612.960,11333.570,739673.300,871161.860,24589.380,893059.340,9007693.400
128,512,1,7210026.100,14812261.600,28861.030,18464.150,11323.700,856143.540,920581.330,25697.740,946357.050,9336831.160
128,512,2,6933292.350,15512692.950,32397.570,19235.050,10312.950,908944.770,873366.790,24054.040,938642.610,9010563.090
256,512,0,24362387.730,55374813.980,125450.310,125634.710,22093.790,3231701.600,2941638.830,80082.800,3344389.490,30690361.260
256,512,1,24014722.580,55125554.460,126936.550,126961.030,21707.690,3252268.830,2895518.340,80617.800,3417421.470,31257695.430
256,512,2,22850556.970,55254847.330,113315.000,122256.350,20956.690,3620793.500,3140785.270,83593.550,3268694.650,31644065.640
512,512,0,89819112.180,204437711.900,530552.420,1169904.750,44010.900,14072155.060,11104891.380,262978.450,13482211.260,121389337.720
512,512,1,83826888.870,208785739.960,521911.050,1145562.210,43804.070,13378855.480,10794651.580,263833.470,13177101.150,124473865.450
512,512,2,88132404.490,209904952.450,525550.390,1154684.150,42254.310,13425931.580,11159631.380,262269.420,12966306.210,123365959.090
1024,512,0,340214427.710,835816191.470,2213977.180,6708349.020,90304.680,55068961.800,41118085.120,886917.290,52530655.840,471390501.540
1024,512,1,340567311.720,815171266.950,2197406.760,6639852.060,90613.020,55001039.440,40501350.380,881571.490,51802016.340,470921889.920
1024,512,2,340847178.120,823437009.700,2232773.100,6813642.650,89380.280,54992985.350,41777264.970,911228.940,51688471.070,474746030.390
2048,512,0,1325591774.900,3243646793.400,8626194.460,29424100.140,169346.870,222813358.760,159721313.350,3236963.740,212196688.560,1876035377.070
2048,512,1,1321414338.310,3268945256.320,8843949.380,30677877.880,172279.150,219029193.180,158426928.590,3246208.980,202014143.280,1931921454.970
2048,512,2,1323094810.430,3451163049.040,9436162.570,32126097.060,206201.650,211567769.680,151521880.620,3130307.580,209142119.950,1774281036.570
