F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,78828.243,124158.664,619.252,982.163,890.974,26611.061,18287.748,96.553,34471.654,36252.734
8,512,1,70779.736,122484.516,435.009,1064.152,1018.026,28168.831,18460.216,92.859,36505.643,29538.342
8,512,2,74357.908,133275.308,506.588,1083.043,1098.255,29222.146,20029.715,103.838,36112.899,31946.176
16,512,0,205388.247,463014.956,1356.853,2068.105,1749.026,98559.858,60895.772,311.191,118627.781,147509.058
16,512,1,261940.249,486274.428,1397.307,2455.744,2026.947,91417.560,59256.309,320.658,110977.384,122839.551
16,512,2,276789.172,438447.637,1573.256,2390.309,2078.981,80613.835,58888.581,283.012,110845.823,108917.595
32,512,0,902142.755,1597674.630,10086.305,4720.885,3500.420,342366.520,202063.405,1424.905,381740.115,472702.590
32,512,1,871160.290,1456159.545,9796.405,4608.610,4076.015,324009.370,243750.395,1769.940,473207.755,412896.675
32,512,2,943683.780,1669355.990,11013.135,4795.080,3631.655,352091.395,240766.990,1440.760,404768.195,488832.190
64,512,0,3372303.920,6068396.650,46873.150,28041.050,7547.110,1259325.960,798427.700,5801.860,1593672.530,1692879.250
64,512,1,3106935.070,5618997.790,47280.380,27791.260,8021.300,1191347.260,898579.990,5550.840,1602532.850,1578964.600
64,512,2,3259162.870,5693513.270,46363.680,28339.240,7571.290,1225071.890,819611.190,5821.350,1635893.710,1750240.120
128,512,0,13082386.440,22413080.080,200110.750,158560.860,15429.470,4691335.930,3174834.210,19214.570,5881899.640,6017687.700
128,512,1,13617034.660,23288359.450,202569.210,150503.710,16097.600,5086833.770,3200283.200,19416.280,6243260.620,6424034.980
128,512,2,12800558.250,22408602.190,206315.340,161569.350,14687.690,4801756.130,3140773.480,18483.240,6060403.680,6051452.270
256,512,0,47411427.910,85781195.060,804916.780,1326180.020,33135.970,18518360.260,12305628.090,61776.880,24115964.340,25532667.830
256,512,1,48630513.030,88721559.320,789422.620,1401703.510,30762.880,18910935.830,12430155.560,61106.420,23669545.230,24202451.860
256,512,2,48893734.100,84574235.240,806875.890,1338389.080,33888.710,17848314.490,12244484.660,62422.700,24631014.730,24630357.290
512,512,0,189561402.370,343982408.060,3124060.390,7540228.240,185176.800,73715792.360,48764218.510,201994.970,95182542.750,96954266.650
512,512,1,193456588.460,335491084.130,3145712.920,7442592.980,181597.270,73536909.990,48871744.070,200387.080,96429024.990,97513918.080
512,512,2,190944361.860,347070572.030,3342950.200,8046575.600,179400.220,73919739.970,48195096.560,203972.650,98350535.130,101013168.050
1024,512,0,765150929.640,1374398602.760,12657166.950,32701259.620,2492739.120,295076084.730,195321571.350,707549.980,386194956.110,387751608.410
1024,512,1,737045656.340,1364669071.860,12610776.490,31208022.580,2290748.520,308795656.400,195277628.870,739829.700,380310262.580,394932039.710
1024,512,2,723267027.190,1327221003.530,11863409.380,29864877.390,2633592.150,307640045.970,190173412.740,718496.790,395088095.570,396364084.750
2048,512,0,3018392677.150,5558010951.150,50401539.800,130933478.150,1005682.200,1138769945.930,762672119.410,2483218.590,1520288080.520,1548081950.170
2048,512,1,2989418241.880,5453157549.690,51432725.560,136036098.380,1170780.800,1155432263.520,773812100.460,2516144.120,1495339862.020,1488389825.200
2048,512,2,3021596217.160,5452728477.340,50373734.250,125706547.250,1382430.950,1157031947.480,784075333.620,2491194.630,1521608124.480,1597448325.460
