F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,62999.492,138908.464,488.330,1011.607,851.283,24670.250,19408.230,92.217,34373.801,35708.028
8,512,1,70428.654,128846.038,552.625,1029.177,767.099,31397.960,21194.949,100.839,38738.281,34425.811
8,512,2,79395.173,132235.422,468.201,1075.644,1000.451,18753.077,22665.883,107.292,36795.329,33741.930
16,512,0,270857.938,522142.901,1498.506,1899.154,1691.110,89764.490,59305.074,304.110,103742.605,137755.285
16,512,1,245246.993,498879.414,1539.515,2440.522,2183.637,102469.370,58333.306,313.324,108753.306,110553.322
16,512,2,258824.809,422471.239,1514.055,2323.333,2406.931,70496.543,66914.172,340.002,106369.048,112312.637
32,512,0,847986.700,1720268.720,9720.560,4882.415,3453.175,354873.990,204598.190,1395.530,386055.325,469811.260
32,512,1,839875.600,1448595.370,10306.740,4955.685,4047.430,260262.115,243957.235,1588.985,433717.685,385206.025
32,512,2,829149.520,1571435.040,8946.220,4549.205,3601.530,404265.625,206729.560,1411.910,402690.395,484281.325
64,512,0,3357693.940,6002810.270,46914.890,13154.190,7733.720,1254449.100,836089.210,5474.050,1545477.390,1711683.170
64,512,1,3424411.370,5590946.340,46104.200,13820.510,8312.830,1126787.820,852781.200,5542.660,1622419.820,1534673.330
64,512,2,3638882.120,5805657.800,45111.240,12984.200,7786.250,1255647.630,901620.040,5821.080,1596476.180,1775558.080
128,512,0,12179770.200,22510840.620,198022.730,115417.210,16161.050,4817616.730,3179408.890,18668.970,6150338.920,6293048.240
128,512,1,12304695.250,21005743.700,185546.620,118292.990,16297.010,4409857.770,3267887.240,18184.110,6239730.900,6305960.380
128,512,2,13262779.500,22687634.830,202100.770,125848.090,15152.240,4875167.090,3091338.440,18191.420,6113651.590,6466281.420
256,512,0,49030747.890,85510744.460,782270.050,1416814.810,37193.750,19024310.160,12553603.200,58228.220,24088586.240,24374696.430
256,512,1,48362744.100,87517728.330,794475.370,1373066.170,35021.540,18293655.780,12287007.940,58890.240,24475670.800,24515826.450
256,512,2,49423744.110,86297793.270,798566.960,1432962.300,33712.780,18516900.060,12493289.150,57566.600,23778367.800,24245930.520
512,512,0,189691394.990,338234284.270,3112829.840,7682589.210,158756.930,73483728.020,49176494.900,191689.240,96341812.240,95999004.510
512,512,1,191441220.020,345333775.250,3139052.030,7448995.610,156408.880,74265452.930,48207159.260,191271.770,95797125.040,99215725.160
512,512,2,187466487.100,347171116.460,3192309.230,7785741.560,155231.320,73508814.800,49074435.460,188858.470,94528646.210,94855810.100
1024,512,0,748079408.640,1380510436.540,12501718.560,32311255.940,1091686.830,287021016.290,192202609.460,672287.040,382352206.340,387355390.260
1024,512,1,730731487.450,1283183986.350,11963168.570,31572617.560,1227778.050,300899260.470,191146769.340,677341.700,389936448.010,380348443.580
1024,512,2,716504266.130,1400426477.040,12505082.200,30183870.460,1187964.560,292101530.680,191847972.260,676150.190,382898310.970,365033796.810
2048,512,0,2977479861.900,5396181821.690,51189652.090,132310697.070,1229108.120,1156940352.140,774872503.550,2456840.080,1523635094.270,1569412066.090
2048,512,1,2977323547.780,5292871468.480,48334499.330,126260568.810,1311430.480,1154972594.440,790096309.080,2533180.950,1528027080.960,1533349774.480
2048,512,2,3046212526.230,5506626393.320,50055037.230,130141308.580,1716616.290,1141010863.360,775388767.950,2370163.900,1490268004.950,1527338408.390
