F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,20064.823,39120.859,201.859,675.228,522.312,6966.558,7341.623,43.839,8222.130,9781.956
8,512,1,28103.291,42606.863,183.875,724.647,594.923,5842.875,6031.529,40.170,7983.180,9693.813
8,512,2,18834.959,38906.788,233.917,607.542,663.920,4024.740,6565.071,44.662,8413.638,9404.081
16,512,0,61908.088,104078.231,436.634,1178.097,1207.583,17585.800,15113.208,150.988,22543.099,24658.912
16,512,1,43535.948,110896.536,483.343,1131.029,1286.942,26438.866,14661.914,159.376,18420.096,25671.498
16,512,2,41173.854,99895.834,532.787,1205.474,1306.992,5875.915,15978.614,182.735,20016.069,23788.044
32,512,0,168300.774,380954.038,1099.017,3117.075,2607.549,47201.289,51332.013,833.682,68159.483,94119.344
32,512,1,170862.729,341980.000,1166.911,2720.969,2716.300,31672.615,57586.431,850.765,70079.380,93032.857
32,512,2,211087.560,329060.598,1306.866,2365.026,2471.035,61343.499,47378.484,815.619,79355.259,98715.440
64,512,0,622554.905,1387886.540,8081.305,7300.760,5342.855,148772.165,153132.940,3992.505,208920.530,306187.085
64,512,1,688115.600,1014522.550,5438.420,4811.560,4371.285,172827.765,174015.160,5600.520,268021.475,313673.750
64,512,2,673134.190,1239781.155,6035.880,6395.810,5545.320,66328.910,159583.395,4338.075,203821.145,269974.565
128,512,0,2316600.190,3919027.330,30722.020,23829.420,11740.630,489839.520,585697.210,16831.340,912268.620,1140457.930
128,512,1,2285006.570,3970048.580,30365.770,22772.250,11333.240,517056.250,624577.740,17222.240,933969.580,1139372.030
128,512,2,2457638.170,3703155.250,29579.950,23072.980,10973.810,544936.730,627410.160,17967.270,902738.830,1053103.940
256,512,0,8322154.460,14376463.470,136275.090,146986.840,22716.010,2068909.030,2160939.290,58180.370,3438478.910,3940594.590
256,512,1,8741866.000,14375068.660,129859.590,150822.840,22477.250,2043607.990,2148426.340,57067.090,3525398.580,4129664.840
256,512,2,8230347.630,14684630.060,129852.860,138892.460,21319.100,2006581.370,2067650.810,54850.940,3257494.840,3833502.330
512,512,0,30900407.480,52843628.240,554643.630,1126961.300,44545.110,7641436.140,7793882.510,194263.470,12973677.180,14267442.610
512,512,1,30437576.530,54035557.690,550926.930,1120907.070,46025.780,7916028.240,7930559.050,190205.690,13057799.180,14446565.260
512,512,2,29628432.640,53421815.110,545884.020,1111373.100,45652.230,7650818.140,7707688.660,191626.130,12797309.740,14731494.200
1024,512,0,115797752.660,206866071.890,2235432.150,6574828.390,98467.990,32160109.000,30913524.460,688648.960,52410696.980,57867898.270
1024,512,1,117343746.290,216019466.640,2371866.370,6592092.260,91196.220,30576706.040,29541625.010,682987.520,52160923.210,57244657.830
1024,512,2,115274587.290,209317564.720,2228665.030,6736920.380,88563.700,31887154.210,30136531.780,681035.830,52108330.910,58256432.610
2048,512,0,444000883.720,803641353.850,9180578.410,31325551.530,188480.840,120234909.610,116638421.680,2492810.430,207916863.710,227847181.260
2048,512,1,441777653.180,827754752.600,9451223.980,32115959.580,187522.500,123016129.570,116482588.550,2535770.070,208780049.750,225851722.450
2048,512,2,446012145.880,829673370.830,9342061.610,31810004.520,190308.340,119570093.650,118322272.690,2405435.740,209486655.320,224119485.100
