F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,23222.341,38078.918,284.051,609.374,650.705,4803.050,6481.740,39.880,9010.542,10840.211
8,512,1,24071.526,37842.179,218.460,682.626,667.345,5764.790,5811.796,40.371,8088.479,9256.504
8,512,2,30743.045,42017.396,181.264,697.880,494.319,10129.624,6324.111,44.318,8802.889,9749.948
16,512,0,77379.758,112520.161,536.284,1256.842,1328.374,15996.680,15835.282,163.535,22407.987,25558.581
16,512,1,62261.487,100103.639,424.625,1231.271,1193.414,39570.098,16983.868,170.431,21466.368,24345.316
16,512,2,67455.088,94051.962,465.087,1225.139,1112.293,16231.107,16523.489,161.662,23004.647,25833.958
32,512,0,175594.166,364392.375,1067.546,3582.096,2585.295,61041.017,44965.251,663.022,61091.799,101471.418
32,512,1,186161.805,325963.765,1259.593,2266.398,2396.570,45649.401,51912.277,899.316,73495.110,98431.792
32,512,2,174631.761,343938.151,1206.092,3105.669,2856.802,50178.112,49195.014,831.987,68902.188,75969.600
64,512,0,631876.905,1265065.530,5545.275,6907.150,5346.235,153200.860,152418.580,4097.270,199598.620,306306.675
64,512,1,679986.010,1000368.000,5879.985,4953.720,4771.665,185047.340,180420.180,5153.420,284621.575,335684.850
64,512,2,674320.425,1143500.820,6333.275,6299.320,5635.410,96312.985,186473.445,5390.160,232831.070,289341.830
128,512,0,2423055.910,4156221.600,32463.800,22545.180,11047.090,529907.850,574257.380,17200.270,885757.360,1097125.120
128,512,1,2235873.140,4060919.210,30962.570,23764.560,11051.430,520802.580,613267.290,17455.440,919334.390,1077892.820
128,512,2,2322172.590,4126676.660,29506.210,22143.940,11085.530,581711.460,651052.670,18674.270,922506.600,1046771.570
256,512,0,7847249.180,14563871.810,128718.990,116192.620,23457.070,1792326.600,2071864.180,55028.190,3258553.810,3821479.130
256,512,1,7773999.540,14380420.200,131731.530,114712.660,24079.850,1906545.030,2164585.900,56622.000,3406505.970,4047344.310
256,512,2,8279901.960,15165912.750,134185.440,126002.760,21559.620,1948184.910,2002615.080,55377.630,3235767.050,3745489.150
512,512,0,29788477.360,48527305.940,538758.310,1132747.030,42890.420,7661760.550,7949865.160,186229.960,12833583.490,14512599.230
512,512,1,31423583.170,55986128.810,564416.910,1142606.560,41503.390,7508489.950,7489487.030,189160.460,13121891.170,15026433.830
512,512,2,29741013.670,51235853.490,561722.270,1164298.000,44388.150,8083021.510,7666313.930,177494.580,12483637.790,14873829.300
1024,512,0,114107007.190,210033286.530,2255978.230,6634338.320,87902.980,31514306.740,29985261.480,681515.720,52157254.900,57753743.820
1024,512,1,115510836.520,207167550.580,2271192.350,6759288.590,90900.490,30561189.830,29858784.260,654607.050,51737401.250,56794482.160
1024,512,2,112857909.930,210665485.360,2314345.190,6676900.590,90989.420,30587752.310,29993956.980,680220.490,52535981.240,58101614.830
2048,512,0,439877143.940,807880458.600,9201413.440,32193961.340,184236.590,121243161.540,115395012.760,2453689.510,206144614.170,226639390.150
2048,512,1,432362094.540,793738289.570,9398692.790,31329711.850,191720.240,124297191.400,117756034.040,2481113.620,212986490.570,226309069.690
2048,512,2,447274510.080,812553198.160,9125402.670,31639373.370,190795.500,120676158.300,117817308.490,2489763.200,204326059.260,229357546.630
