F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,58545.889,119230.278,459.561,928.471,788.035,14525.910,7623.843,35.200,38463.688,40676.894
8,512,1,57108.294,126272.734,523.275,1243.338,889.480,12944.957,7491.301,33.738,35128.363,33616.896
8,512,2,59298.052,111741.149,574.909,1017.852,911.395,21158.756,9486.449,32.392,39726.074,35764.424
16,512,0,191820.756,427236.008,1719.439,2350.094,2018.771,68176.947,21032.100,149.658,108480.797,122665.240
16,512,1,224131.486,340299.092,1362.744,1942.971,2068.760,36352.676,25876.979,168.275,111753.254,110405.477
16,512,2,242242.420,338559.707,1386.812,1885.773,1713.480,71376.326,18920.127,173.982,141506.861,131327.523
32,512,0,741146.265,1265403.610,9456.470,4324.515,3422.955,213276.195,61186.190,1338.975,497077.115,463468.160
32,512,1,836476.540,1456599.365,10653.345,4791.145,3404.525,252440.320,61685.215,1284.405,405893.385,453142.410
32,512,2,871308.285,1263264.160,10554.470,4910.980,4109.990,171664.115,63634.135,1532.240,447012.660,422057.530
64,512,0,3207508.170,4781348.120,46740.120,13575.250,7922.660,815974.790,195747.670,6009.390,1610560.230,1650499.020
64,512,1,3201109.040,5416004.470,51302.490,13511.040,7351.280,981189.800,197154.990,6284.890,1738526.730,1721761.770
64,512,2,3375723.490,5078895.340,46566.250,13826.350,7225.050,839912.550,184760.130,5773.370,1625696.280,1658781.900
128,512,0,11356127.280,19688007.100,204605.440,181669.440,15758.010,3185312.800,644556.060,18849.200,6179393.800,6451680.110
128,512,1,11939914.130,19156826.540,199700.410,187251.140,14918.330,3271207.260,657318.870,18412.810,6065342.650,6308506.220
128,512,2,11734495.600,19271917.410,189445.580,183817.900,15793.420,3387418.910,677371.790,20100.170,6441782.570,6587340.870
256,512,0,43743506.010,73549767.020,781555.220,1387516.610,31837.380,13346423.700,2165921.460,61273.630,24882817.790,25133036.330
256,512,1,44189238.820,77843145.270,795674.480,1471329.190,32669.190,13429103.340,2259261.310,60288.260,24841405.140,24783046.710
256,512,2,44299440.920,77193648.290,785039.730,1388290.530,32084.960,13478218.240,2239047.950,60309.430,24922269.870,24738328.330
512,512,0,176395153.460,303732305.270,3138511.940,7446873.820,74301.520,52688089.100,8067374.400,188973.120,99201849.890,96959022.770
512,512,1,173221292.990,304213908.250,3273711.970,7677280.910,63784.590,53552274.070,7745369.490,180570.930,96353492.040,101020255.520
512,512,2,176002093.580,286606944.080,3028434.140,7531774.900,80889.630,53502107.440,7989540.570,191085.360,98752628.130,98903268.410
1024,512,0,701690305.200,1206244042.210,12648861.830,32085203.580,2435730.060,218706973.960,29544049.630,620350.110,388691452.610,395927553.300
1024,512,1,685187428.450,1197530335.700,12806291.490,32322954.990,1635799.700,223125399.910,29694790.170,621025.260,385906750.650,412382086.880
1024,512,2,704820466.660,1195939446.890,13203353.170,32656636.410,2288705.800,213475188.510,29571168.530,629111.550,386699641.000,401248195.340
2048,512,0,2748079892.690,4737208947.630,50551899.400,132028305.630,1095860.880,851309130.640,115293523.060,2148928.150,1571662729.380,1580549942.300
2048,512,1,2750858813.980,4744771659.880,49637146.560,131020643.420,1248541.320,856188973.850,114172612.400,2162170.980,1560786773.200,1578832007.380
2048,512,2,2718475963.560,4817290293.470,50912240.320,131008965.760,1070892.040,856357615.720,115205313.560,2162530.380,1560355564.700,1577923908.360
