F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,72491.152,123863.460,575.436,957.540,895.857,17314.674,9426.075,42.893,37992.425,36688.711
8,512,1,60414.131,99392.863,468.092,977.589,910.122,17423.709,7813.163,36.107,38920.362,35176.286
8,512,2,64651.634,118307.526,489.239,972.348,782.833,14010.923,8150.349,39.094,39850.468,36932.922
16,512,0,215071.864,441655.130,1669.625,2332.830,1777.209,71169.045,19708.646,162.617,111202.842,135023.674
16,512,1,194349.812,352827.526,998.534,2383.678,2105.974,29559.328,23114.692,164.779,110382.468,112492.636
16,512,2,235809.652,332773.287,1420.970,1869.668,1849.955,58093.998,22573.429,172.925,130835.652,121836.006
32,512,0,800074.095,1324673.040,10093.730,4367.400,3445.690,206815.770,65857.585,1410.610,480656.025,484696.860
32,512,1,866829.540,1682668.690,11416.510,5120.130,3888.420,275085.685,59601.200,1197.460,419021.325,465207.375
32,512,2,823203.975,1222496.635,9906.170,5012.400,4298.720,128394.790,72284.415,1282.190,370050.130,411217.175
64,512,0,2971778.540,4641525.040,45445.920,21867.640,7292.280,767189.910,189427.250,5724.160,1563579.820,1550861.410
64,512,1,2875891.230,5346189.730,50534.620,21741.880,8137.680,954811.100,200482.130,6277.980,1788012.380,1706210.310
64,512,2,2696196.750,5511507.870,48022.040,20591.250,8010.070,888679.820,189469.130,5431.210,1749603.060,1768809.340
128,512,0,11802157.930,18992365.230,189314.440,165096.940,15471.980,3270016.930,624261.380,18413.550,6243032.850,6123216.830
128,512,1,10863423.400,19722341.080,189433.080,165776.430,14940.410,3413459.340,625547.210,19365.340,6397750.800,7023080.220
128,512,2,11205679.940,21013225.450,211859.610,177742.820,14184.270,3497245.290,618971.320,18789.910,6240403.930,6322125.380
256,512,0,43475914.860,78979312.040,786617.940,1368067.480,31501.800,13241857.260,2071012.120,52687.460,24847561.880,24997258.960
256,512,1,44739608.200,74378812.530,795616.140,1412995.770,33107.450,13696325.360,2089291.670,53247.560,24432225.630,24724225.120
256,512,2,43441130.300,75387174.720,787800.680,1400024.970,33187.960,13311519.840,2231506.970,56237.000,25102115.600,25182035.720
512,512,0,175093199.660,297606971.540,3104192.990,7496029.410,169474.750,53798872.930,7721090.700,173288.750,99037362.810,99367764.320
512,512,1,174371122.080,294784659.050,3135654.380,7541617.240,172940.650,53840995.980,7640040.220,172589.040,96814319.710,99312696.820
512,512,2,174331321.710,299307782.520,3158810.740,7527049.180,201562.830,53811355.840,7692699.660,179796.290,99917643.470,98724661.430
1024,512,0,698974277.890,1200475548.460,12494967.520,32185862.860,549464.970,217945340.320,28816456.880,582852.420,392627035.910,395160009.500
1024,512,1,690635245.320,1178132521.420,13013037.120,32708738.980,655111.730,212444746.980,29901471.970,596936.670,391238886.070,399846513.180
1024,512,2,698907923.230,1207573753.200,12786257.990,32906816.790,536496.720,211645944.320,28690815.100,569555.880,375993469.880,404770190.780
2048,512,0,2730526431.110,4730006059.890,48695802.960,89021142.170,3668062.130,655646103.140,93363404.550,2367700.630,1478599827.080,1593685429.730
2048,512,1,2893032723.960,6030477857.780,65782307.660,131748695.060,4844459.880,861450733.190,113740702.990,2740246.250,1974058370.660,1584353368.920
2048,512,2,2107905509.400,3464132875.420,51561672.600,193520386.140,6700317.910,857470079.760,114100859.340,1263891.170,1535707806.790,1947172609.270
