F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,31368.725,33359.553,173.133,599.437,625.508,-1299.371,4381.071,11.721,8832.500,9507.221
8,512,1,18704.110,33960.768,248.435,629.643,687.103,5550.756,4841.743,12.187,9117.337,10767.149
8,512,2,26053.978,38682.780,223.176,598.909,631.834,6613.683,3777.978,12.120,9314.687,10404.634
16,512,0,59702.399,91869.787,442.734,1167.391,1175.961,11858.008,11169.660,34.624,24745.417,26135.343
16,512,1,67253.659,90073.074,333.671,1204.219,1294.337,10300.659,10438.587,34.366,20362.729,28869.824
16,512,2,45946.242,100362.258,514.169,1133.387,1323.682,18288.428,8778.013,26.020,22595.223,30564.986
32,512,0,164331.733,314826.122,1166.285,2495.471,2659.536,34488.011,30095.052,379.697,82473.119,102932.995
32,512,1,176620.948,298200.220,1210.088,2634.311,2644.028,50180.849,31154.700,376.065,81203.694,99851.899
32,512,2,152575.901,340457.427,1432.166,2925.927,2360.336,63880.686,28587.674,369.204,78875.642,89360.616
64,512,0,646750.975,1119364.555,5172.770,5520.650,4677.240,153885.150,67559.975,3899.105,228783.730,332328.420
64,512,1,647217.835,943261.020,5370.995,4930.580,4600.290,77722.495,90319.290,5136.120,304076.230,318366.850
64,512,2,814850.835,1211404.640,6334.950,6564.595,5458.235,192162.000,60071.440,4000.700,232275.470,304059.930
128,512,0,2576963.740,3761705.800,29852.280,17435.690,9767.060,474891.790,249568.140,16981.920,978284.330,1149726.590
128,512,1,2498407.770,3515363.680,29567.290,17179.930,9958.300,428369.620,253843.040,16592.090,991886.060,1149293.760
128,512,2,2516497.660,3378530.600,27430.400,16844.370,10000.610,465593.340,256588.640,17305.700,944126.530,1193182.870
256,512,0,8002679.090,13465651.450,112914.890,138008.940,21844.100,1837559.970,736719.370,57526.220,3822822.110,4191008.830
256,512,1,8605431.320,13445066.080,115772.460,133995.930,22308.360,2096554.070,806664.920,57832.310,3722253.990,4345983.100
256,512,2,8514815.410,13240031.190,117423.490,127022.100,23046.490,1829360.110,729765.910,56289.550,3662227.240,4275630.900
512,512,0,31883092.800,50140063.140,534773.060,1132602.280,39813.960,6775313.170,2382217.140,191312.200,13719741.750,16033763.530
512,512,1,31128928.620,47275034.360,508874.470,1066649.870,40403.990,6862849.250,2395705.830,190081.980,14433284.900,16464845.090
512,512,2,30781556.660,49311086.000,539740.460,1077154.940,42155.550,7232382.180,2506741.090,199246.230,14419686.760,15847588.730
1024,512,0,120715612.180,196349138.070,2206470.590,6517525.320,85650.740,28145700.650,8436370.760,681679.530,57270355.890,63109356.440
1024,512,1,120185377.750,193050222.740,2278541.900,6739892.630,75267.090,26876584.840,8262994.610,683202.590,56700338.700,63514301.000
1024,512,2,120991810.330,191664298.190,2163450.980,6483517.470,84295.040,28236323.320,8575943.640,690977.270,56325110.840,62604433.650
2048,512,0,454933341.730,758347649.120,8806882.900,30660457.670,175536.710,107744758.160,30284947.350,2490828.130,228833540.130,246702517.810
2048,512,1,461279538.440,749557015.640,8720150.910,30126003.750,173164.230,110004375.190,29537589.830,2466668.390,225096004.320,251094170.020
2048,512,2,459500536.430,749378200.770,8457905.490,29945533.380,163825.370,107088138.750,30337458.710,2387262.250,226585505.170,248650948.310
