F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,20409.555,39125.967,184.393,605.683,568.917,5782.332,4576.189,16.940,8542.527,9641.974
8,512,1,23920.963,29927.574,227.976,602.716,586.464,5642.827,5069.446,18.415,7592.403,9540.297
8,512,2,27697.621,34834.102,235.882,585.910,574.456,6544.657,4346.695,15.233,9199.343,9101.982
16,512,0,31448.144,99743.117,461.882,1209.811,1129.931,7403.314,9495.090,29.433,22478.857,28381.462
16,512,1,52710.999,95917.068,325.455,1277.186,1138.383,10710.714,8612.934,26.922,25689.967,30552.065
16,512,2,54932.194,98023.887,526.801,1294.582,1115.322,14792.731,10561.776,25.915,21689.940,25843.440
32,512,0,167748.459,307547.404,1334.629,2598.644,2462.235,55603.224,29248.950,337.674,74554.809,98627.970
32,512,1,192860.737,324568.245,1096.580,2637.824,2575.937,92372.080,35916.987,401.364,78755.509,107857.779
32,512,2,162639.238,300467.522,1251.262,2862.906,2561.271,40139.357,28405.768,323.008,72919.340,111978.666
64,512,0,647315.890,1161837.450,5920.230,6238.040,4903.550,209019.460,57322.980,2840.800,272826.280,388250.220
64,512,1,649717.410,1158120.210,5471.390,4329.430,3779.680,203764.780,81448.160,5451.620,318204.210,375153.300
64,512,2,688123.540,724896.560,5194.020,5239.190,5534.950,97276.270,91838.320,5472.190,296616.950,272048.610
128,512,0,2408078.220,3704920.740,31088.960,17526.330,9982.510,505183.350,237827.460,16872.620,987646.000,1161491.120
128,512,1,2513506.960,3759018.180,28597.500,16512.250,9265.010,472199.020,239718.570,17391.860,1025892.590,1228754.510
128,512,2,2334532.270,3639238.590,27806.070,15273.620,9386.820,430572.120,232417.830,17460.790,930633.380,1111283.070
256,512,0,8616774.890,11891808.150,121527.980,141048.530,19311.240,1729803.940,709417.080,56046.020,3645328.350,4128016.110
256,512,1,8500099.080,13601539.060,128696.380,148549.450,19170.980,1716837.560,703216.380,56259.110,3809844.060,4267418.610
256,512,2,8554965.510,12864294.990,126612.360,134043.960,19684.970,1877694.030,717796.400,54480.670,3700257.840,4178000.210
512,512,0,31462633.570,49925959.790,524588.540,1051752.090,41047.740,7029069.230,2300031.430,184685.810,14529894.960,15905804.000
512,512,1,31433811.370,49572067.670,553638.050,1075931.350,38595.050,6898836.600,2389050.970,197290.060,14624488.930,15876511.000
512,512,2,30128789.720,49885440.110,530281.760,1047214.560,39249.820,7107468.130,2426742.230,190511.270,14409476.170,16030335.770
1024,512,0,119425716.590,195753196.900,2214998.860,6340431.070,74845.740,27603690.630,8187947.580,673565.700,58488064.710,63802252.510
1024,512,1,119022552.080,172391631.750,2004263.500,6619901.870,126017.290,27573591.070,8859643.790,647016.450,55584594.180,61339392.770
1024,512,2,118285419.390,221653483.910,2502501.420,6524115.810,52815.460,26588163.750,7100602.830,666428.920,58131244.580,57842990.980
2048,512,0,459728647.770,759644402.610,8899263.690,30797045.490,171878.640,108257032.880,29971618.530,2450207.300,230203307.970,249324470.880
2048,512,1,451280579.160,749100844.210,8797132.000,30220146.780,197006.290,110686143.280,30138511.920,2448265.790,226722099.400,249129346.100
2048,512,2,453808759.410,766903588.400,8923839.450,30211882.390,207429.880,107294440.560,29219060.180,2386881.440,226999947.500,251870022.760
