F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,64089.401,109198.545,481.538,982.093,822.920,18028.181,8020.075,12.914,41300.081,40077.402
8,512,1,60595.970,114440.665,637.145,919.990,914.599,20404.719,7222.331,17.184,39955.642,37973.710
8,512,2,65275.192,120987.113,542.566,1023.706,899.596,12768.763,7422.341,18.426,38649.039,34342.213
16,512,0,192097.912,417456.864,1625.844,2316.635,1719.830,69674.050,16669.717,49.914,117627.703,133623.579
16,512,1,189974.663,351606.427,950.461,2264.790,2338.900,58592.453,18672.327,55.723,115097.036,118716.401
16,512,2,172756.870,353823.453,1498.629,2040.391,1629.567,51834.032,19259.693,52.645,143181.190,125356.363
32,512,0,778300.840,1170118.560,9853.485,4255.395,3326.425,232158.795,48501.525,744.185,528819.190,492899.580
32,512,1,805540.400,1652726.430,11073.410,4613.690,3736.420,247866.045,43903.655,651.165,475987.385,484718.085
32,512,2,782746.680,1281563.990,9464.460,4483.945,4687.625,179646.205,46305.100,837.975,430122.020,422402.555
64,512,0,3068299.290,4841284.410,44111.440,13961.500,7943.630,927809.750,130303.600,6131.800,1857882.310,1827037.570
64,512,1,3143283.080,5160217.940,46856.570,16839.990,7251.680,995844.760,123834.270,5850.530,1831998.370,1891293.400
64,512,2,2999413.600,5043874.740,46404.970,16888.110,7898.060,876748.030,118583.690,5676.770,1777153.410,1804128.480
128,512,0,12413685.560,19575931.720,187701.400,157629.750,14566.680,3644476.450,395196.180,20015.200,6645390.280,6788580.590
128,512,1,12225217.780,19168703.140,176394.160,151818.330,14879.170,3805276.100,405402.910,20589.730,6651767.300,6651555.750
128,512,2,11928342.960,18970716.610,191632.550,161266.060,15593.490,3490945.260,411239.220,20502.940,6911231.280,7046835.720
256,512,0,45171870.110,74050400.660,795405.680,1423664.910,32073.770,14557378.300,1283698.780,63168.540,27023953.950,27205850.980
256,512,1,46434120.140,73014750.950,798396.570,1404838.400,30854.460,14897382.160,1277005.590,64717.590,26338127.060,26442574.600
256,512,2,45295900.970,73593737.590,784647.610,1382336.780,33266.490,14227032.310,1279193.160,63892.690,27789561.980,27443603.170
512,512,0,180591676.820,286276249.350,3167606.500,7370960.480,148033.500,58065557.000,4254402.820,202694.540,106310153.830,108121581.650
512,512,1,181752615.160,289260525.810,3164907.530,7518418.220,160090.410,58046406.830,4177254.220,202282.740,106754976.710,106016253.980
512,512,2,181622151.710,289147425.670,3114091.300,7447887.960,142595.030,57772389.930,4265200.550,205233.280,108026106.340,106848911.170
1024,512,0,706013938.360,1118901483.140,12099028.100,31839331.430,1194958.740,225292493.020,14649896.300,700242.320,422016926.640,407835782.150
1024,512,1,730460101.710,1118247555.360,12746540.780,32237262.360,1249397.800,240085319.830,15079817.500,701304.820,436648133.850,445403361.890
1024,512,2,752279649.680,1257642438.630,13673895.620,35269962.990,1276848.560,227087770.160,15107330.600,727581.640,433092634.030,410232573.270
2048,512,0,2819273296.950,4563807541.470,49762748.270,128381420.490,837633.290,914937423.620,56014936.430,2527834.630,1693239314.080,1696842096.400
2048,512,1,2864343832.290,4556675227.380,51304235.310,129156723.450,849422.820,920221429.830,56710284.980,2591497.460,1701853656.050,1665628120.110
2048,512,2,2836740316.540,4555286143.850,50828665.270,133209545.030,1199905.090,898222700.380,55391184.130,2541089.600,1726382414.210,1657031696.360
