F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,72502.095,112884.276,534.684,1005.848,806.455,18363.804,6791.949,17.050,38109.316,37089.708
8,512,1,35465.207,99784.733,443.627,1107.755,957.689,14779.520,7677.811,23.683,37624.055,38805.668
8,512,2,40022.410,127182.780,477.970,1085.785,839.764,23114.456,8156.655,21.050,43436.150,38584.800
16,512,0,190592.401,470189.260,1887.808,2382.916,1948.233,73773.436,16232.211,41.000,117534.278,135053.049
16,512,1,201919.323,283158.671,1553.558,2041.198,2301.912,31842.789,20888.697,50.988,128799.599,114463.368
16,512,2,204268.501,362922.581,1611.816,2115.832,1573.023,65629.393,16950.368,46.542,162159.613,129819.280
32,512,0,784677.850,1247558.375,9637.435,4477.920,3363.815,255781.220,47534.210,757.655,535549.230,498664.055
32,512,1,751538.080,1594610.070,10596.070,4943.300,3472.050,254766.455,45922.120,688.120,469581.545,529520.380
32,512,2,759729.235,1273075.670,9996.035,4533.125,4074.865,167849.865,43383.485,743.810,413573.120,444295.130
64,512,0,3154963.230,4885974.060,44392.020,10477.630,7650.190,933246.780,128148.670,6009.590,1790312.500,1780828.240
64,512,1,3178147.560,4717142.510,47898.730,10649.680,7731.540,892418.730,127981.880,6014.520,1807485.570,1888527.040
64,512,2,3027225.430,4988501.840,47911.190,10996.560,7684.340,946431.820,143938.620,6033.760,1777985.880,1838394.710
128,512,0,11558504.190,18293415.230,196997.990,160455.390,17539.850,3519761.940,357529.740,19197.020,6754913.460,6546626.060
128,512,1,12231487.530,19113160.930,194727.520,165005.060,18036.320,3660974.260,377511.470,19069.450,7015608.440,7328070.340
128,512,2,12064855.950,17447861.240,196481.920,169006.140,18475.930,3601439.380,388557.190,18679.290,6674776.570,7210226.200
256,512,0,46652203.620,74138745.370,793252.350,1362482.000,27109.430,14367451.090,1190599.670,58444.190,26653349.890,26516226.990
256,512,1,45732090.000,73726877.370,817733.660,1585663.840,26658.050,13400412.920,1151633.480,48114.610,22876425.330,22235837.370
256,512,2,53863507.740,88932046.690,943007.210,1629643.390,26007.100,11644089.050,1003332.330,62536.410,24708036.800,22920840.860
512,512,0,168371711.650,273661022.590,3096991.090,7286780.420,79948.720,57604676.260,4027985.600,188198.490,111061797.210,106167318.710
512,512,1,180317368.290,268831757.600,2934092.220,6982624.210,81962.270,57913404.150,4091665.490,189480.410,108905464.350,113276765.780
512,512,2,180277967.160,288234025.360,3201246.620,7574664.240,100428.560,57892370.670,4082736.420,188931.640,106204841.250,104799984.170
1024,512,0,721289745.390,1087866202.290,12709837.140,32379686.450,1618780.340,224720301.650,14890416.980,667059.530,418290521.410,413970918.360
1024,512,1,749309233.790,1197236944.540,11928008.260,31388379.870,1538663.000,229617113.010,14614563.980,632857.550,425156697.150,412000057.060
1024,512,2,706421806.510,1162774569.000,11457651.460,31889091.390,1456796.010,246623667.680,14758985.450,653580.400,418995330.910,434845791.720
2048,512,0,2815576885.300,4673119084.330,51362419.890,131552268.560,1229357.550,915864410.280,54875489.880,2447390.110,1683360188.590,1648772497.500
2048,512,1,2853055792.100,4552460426.770,50798237.500,129546319.930,1525284.300,884608250.050,54648934.800,2364565.250,1719953771.400,1695976291.540
2048,512,2,2831491959.320,4702386291.650,49638296.600,129908776.270,1358028.760,931040232.100,55688075.970,2469814.820,1715299523.300,1676195339.060
