F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,25918.081,38163.691,229.736,721.226,618.925,4065.904,5130.610,12.356,10660.748,9900.712
8,512,1,12351.961,37047.712,254.313,750.058,605.535,291.476,3729.561,11.944,11951.506,10823.693
8,512,2,26561.071,37912.802,252.987,669.993,681.920,4858.442,4396.280,11.706,11052.675,10968.569
16,512,0,59019.729,96547.710,465.512,1099.204,1137.151,14696.461,10323.972,31.300,31403.493,28543.258
16,512,1,49539.977,106269.746,402.499,1361.745,1171.136,17494.350,10445.318,24.348,27789.451,26546.176
16,512,2,67140.009,100738.125,457.547,1088.114,946.725,10648.639,9045.236,30.072,31249.792,31520.418
32,512,0,183940.981,343485.747,1278.038,2959.445,2661.689,47866.945,28555.057,174.885,101494.508,110134.256
32,512,1,167963.461,343503.160,1305.119,2842.764,2577.127,65965.708,29379.159,156.310,109653.596,108066.675
32,512,2,242908.447,355953.153,1380.975,2975.893,2366.074,42896.252,29989.624,162.844,94354.090,101701.929
64,512,0,701101.475,1132597.730,5962.060,6128.230,5280.435,85395.830,80698.120,4213.945,301760.590,318666.250
64,512,1,740389.995,1029005.390,5147.500,5207.655,4502.355,162184.010,74260.625,4825.975,389882.530,392581.885
64,512,2,609063.060,1070858.365,6115.440,6624.295,5779.185,38769.855,72664.090,3498.200,325899.190,286673.345
128,512,0,2437664.480,3786130.780,31944.130,19902.980,10235.760,450180.390,250358.170,19516.950,1344923.450,1244103.770
128,512,1,2850609.670,4165373.640,31565.220,21638.750,9959.290,545106.640,216523.310,20136.950,1494660.270,1294573.520
128,512,2,2284594.620,3828776.110,29043.830,20758.580,10870.880,487029.310,222616.830,17485.770,1377483.300,1369162.500
256,512,0,9188648.230,14263499.940,126349.470,93736.130,21038.810,1867283.000,717976.930,61370.160,4845822.510,4611287.240
256,512,1,8273828.190,15639564.210,125668.800,91568.940,21047.210,1205127.070,619440.620,52721.210,3902458.600,4112361.920
256,512,2,9078911.560,13994123.370,128383.540,91743.600,19749.140,1971476.410,773798.650,63646.160,4837161.900,4731439.960
512,512,0,33693963.020,54112196.050,544535.250,1019619.830,39413.940,7155509.370,2343328.880,208692.480,19451553.700,17126752.190
512,512,1,33412635.110,53382847.360,531300.400,988581.470,40467.320,6994087.340,2316174.700,207197.500,19028667.710,17598496.310
512,512,2,34022622.680,54111592.420,548938.340,990878.820,41348.850,7019688.150,2267017.800,210417.910,18989092.960,18140117.810
1024,512,0,125847249.810,202509687.210,2265162.380,6485816.380,83956.510,26908438.120,7847432.670,739318.480,75502406.070,68314777.340
1024,512,1,117989296.060,198775680.530,1943550.010,5794356.360,99463.350,31285451.520,8634262.250,802170.170,83921887.440,75316895.120
1024,512,2,124607306.460,209584215.470,2135061.840,5927820.840,93888.190,28966599.200,7987724.010,753336.880,77159082.150,70054466.490
2048,512,0,493971451.780,813460394.870,9064088.640,29165659.560,190754.350,109315563.270,28367776.440,2713936.000,309436032.850,272886301.180
2048,512,1,485976771.380,805563877.210,8982192.000,28775406.770,192657.330,109400260.090,28943361.580,2714555.790,308911756.540,276744020.460
2048,512,2,513203214.870,814255702.620,8723625.340,27958685.260,187436.570,105618830.280,28578254.380,2711888.800,312586971.350,268030191.840
