F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,15809.724,37344.586,231.460,577.784,601.670,5926.591,3417.092,13.201,11020.121,10821.960
8,512,1,26071.965,37450.048,216.813,546.829,614.397,11963.065,3673.981,12.404,11324.109,11558.810
8,512,2,23926.735,35985.875,191.735,686.623,666.123,3980.451,4964.459,12.760,10566.426,10859.486
16,512,0,60903.806,108335.324,484.601,1316.773,1226.334,18029.145,8853.828,28.072,28969.314,33002.798
16,512,1,50643.199,95876.719,454.394,1163.925,1043.422,11880.692,9952.879,32.021,31695.241,32165.486
16,512,2,50856.252,90247.501,538.383,1256.536,1207.520,16370.418,10475.183,29.071,31217.992,27951.244
32,512,0,170649.437,318771.019,1095.688,2757.059,2466.957,40412.415,27174.516,165.424,105326.429,109604.241
32,512,1,137396.492,320851.307,1174.728,2629.835,2616.354,23373.555,30600.479,143.926,103299.737,112443.231
32,512,2,151432.218,346356.081,1325.169,2604.892,2529.413,48230.804,32243.484,167.190,100022.595,98375.081
64,512,0,647144.245,1086430.965,6326.970,5826.595,5712.545,134666.170,76341.555,4362.395,301319.200,340923.785
64,512,1,645406.470,988789.250,5127.630,5268.535,4466.760,160794.790,77837.335,5175.635,394328.820,384641.815
64,512,2,577757.380,1193882.990,5986.125,6162.330,5457.755,6833.530,81849.960,4608.515,322666.525,337469.510
128,512,0,2496266.120,4111731.100,31127.860,18501.110,10040.010,419489.650,245922.210,20466.990,1294107.100,1220191.620
128,512,1,2487791.110,4089913.630,30655.840,17629.650,10202.300,399019.650,211103.020,18619.450,1392859.220,1353636.470
128,512,2,2341422.450,3953308.230,28690.890,19195.080,10636.980,482337.640,231885.220,17661.440,1390913.030,1379764.430
256,512,0,8441544.150,13463001.850,125254.100,100925.940,20462.330,1507031.950,686301.200,62095.000,4713591.780,4367321.240
256,512,1,9736623.700,13996313.650,116741.510,100750.330,19760.440,1730331.840,611885.310,56693.430,5022289.510,4517216.140
256,512,2,8607681.690,13401352.700,121893.210,105384.350,19190.330,1693570.660,699632.390,61485.610,5020463.620,4490742.330
512,512,0,34439298.060,51912621.130,513096.100,1032429.690,43762.720,7350111.890,2267177.740,206273.840,19667110.690,17800699.510
512,512,1,32436391.710,50584061.770,546398.700,850818.100,42118.110,6484775.000,2120564.690,188639.520,19273037.240,17900680.810
512,512,2,31815140.640,52977247.600,553518.230,950403.120,43504.030,6819099.610,2090839.540,196070.580,17993127.810,18568640.130
1024,512,0,124898394.290,206048592.290,2222847.610,6114049.470,84996.110,28371522.830,7761306.830,716477.310,77114928.540,69098568.420
1024,512,1,126359230.460,206020654.910,2210494.570,6160008.310,86750.550,27983275.490,7677650.360,721776.410,77115625.380,68954879.390
1024,512,2,127464064.080,206263136.500,2175154.160,5949281.030,84752.780,27885606.470,7710834.130,704134.600,77991230.610,70517407.610
2048,512,0,493231504.140,820582959.190,8835705.170,28269058.360,195178.490,107771693.330,27844604.750,2661390.010,308445927.960,271855001.240
2048,512,1,488128430.860,815037046.050,8729599.180,28491901.410,194373.870,107738227.750,28302353.250,2663139.810,307519286.230,273668864.310
2048,512,2,491141864.040,801919064.290,8856326.760,28958878.080,213724.100,110843624.850,28476060.160,2663998.280,308468899.990,273842997.950
