F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,16115.130,32991.598,409.021,998.281,721.899,6337.837,5173.776,28.973,37411.303,7599.342
8,512,1,25338.015,28812.733,494.368,900.626,814.659,11428.733,6048.956,28.199,37047.309,8472.130
8,512,2,20136.391,28306.539,465.763,1030.968,794.358,9044.906,4271.690,25.675,39175.788,7730.144
16,512,0,51366.791,100011.474,1402.375,1844.468,1471.105,17835.200,16782.601,165.269,115325.818,26467.980
16,512,1,57067.675,108083.554,1524.372,1817.153,1639.371,11949.387,16313.240,157.295,135632.681,25394.710
16,512,2,50746.096,112637.412,1473.690,2084.396,1501.235,20272.528,15499.402,142.532,130460.009,27778.600
32,512,0,215818.674,318522.003,9411.173,4423.401,2803.266,28239.938,48947.163,1193.065,433124.654,93532.609
32,512,1,239056.286,316788.798,9650.069,4336.137,3241.153,61071.557,54417.897,1267.652,423852.659,79654.407
32,512,2,221007.278,284245.861,10105.672,5096.050,3156.168,35356.544,55111.132,1216.590,465340.468,80142.952
64,512,0,705418.820,1190203.235,41693.900,29892.535,6409.125,164551.395,153557.235,5241.855,1392909.455,285899.795
64,512,1,696225.005,962635.415,39404.985,23939.335,5143.845,171233.380,167155.675,6937.315,1907638.400,319301.670
64,512,2,610077.940,1150504.725,56051.315,32685.365,6795.915,138776.005,186435.395,6110.280,1503730.225,257614.790
128,512,0,2449304.760,3966126.620,211344.960,130212.750,11614.530,530416.550,566373.330,18856.410,6282603.150,1088670.790
128,512,1,2313731.920,3825260.600,201910.550,126812.250,11940.020,442618.460,545510.700,19063.710,6244286.390,1031707.830
128,512,2,2280617.220,3752867.670,200655.440,124168.250,12262.760,543781.780,602759.850,19285.020,6247980.530,1087442.180
256,512,0,8479669.420,14351554.820,782946.450,1291344.400,25462.610,1888492.590,2056945.820,59473.010,24267099.830,3951190.360
256,512,1,8584538.750,13549909.960,781756.990,1175941.960,23800.470,2068768.350,2097138.410,63447.250,24409770.280,3890254.590
256,512,2,8162797.410,14444408.730,745196.780,1211037.010,22831.770,1922067.590,2096104.580,62454.930,24621446.500,3872260.340
512,512,0,26797176.820,55080866.020,3271992.830,6634218.790,52024.810,8488200.890,7668404.580,184633.080,99796014.570,14524573.340
512,512,1,25120275.120,50168897.850,3023216.850,6466364.750,46525.560,8254915.380,7576773.420,183201.940,97047410.190,14828201.510
512,512,2,31143533.760,54033944.290,3187578.440,6532960.320,47547.060,8158844.130,7713539.960,186127.540,98626615.240,15143300.030
1024,512,0,110585122.140,202331549.220,12461856.990,27328329.990,153547.510,34633239.970,28441643.310,625680.730,392636334.260,57388837.910
1024,512,1,117193098.850,206945067.270,12587046.730,28430493.870,150467.700,33918456.900,29133995.660,604990.330,383522662.000,56958829.270
1024,512,2,109820533.330,205913008.880,13134790.040,26704839.210,166012.030,34248754.210,28565568.850,614100.410,399045307.330,56273315.950
2048,512,0,418182796.530,793398831.500,50615568.780,111171443.080,1397097.470,125753788.870,112089154.710,2146672.580,1574208574.320,223275173.890
2048,512,1,407741988.480,793531914.420,49456197.550,109624008.840,1281439.610,127032389.550,111681005.040,2069673.020,1540534168.670,225629762.790
2048,512,2,425980865.030,773353467.390,48766658.800,112701394.010,1303131.260,127054898.380,108435662.870,2111620.070,1548310860.950,220888894.010
