F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,22726.594,30526.473,478.631,987.333,694.239,2786.292,5301.222,28.248,33393.093,7233.090
8,512,1,27690.098,33219.719,477.784,822.965,700.491,236.345,5041.478,29.849,39291.430,7771.654
8,512,2,21183.290,27209.064,432.949,977.217,690.764,2142.433,3854.571,29.193,37060.782,8968.629
16,512,0,59751.839,95268.938,1485.418,1837.683,1618.680,19884.535,17100.831,165.896,117230.184,22187.459
16,512,1,43445.629,93371.393,1323.163,1853.280,1503.951,18297.327,16204.272,145.941,135690.195,26888.556
16,512,2,56655.547,103456.625,1543.046,1860.752,1523.554,10446.900,18134.264,121.171,108021.965,27196.295
32,512,0,216099.672,308491.734,10804.120,4926.463,2978.824,44625.907,45704.535,1113.345,365999.961,76315.465
32,512,1,200508.186,282610.937,9302.115,4100.593,3207.062,25165.683,58070.534,1400.637,423948.410,80270.861
32,512,2,197827.234,330065.541,10462.290,4606.387,2723.841,71019.554,46847.652,1049.182,473736.887,96219.134
64,512,0,646885.250,1203796.070,59933.510,12786.925,6334.800,114635.455,161043.910,5243.265,1371363.020,294343.385
64,512,1,628887.840,968265.505,42461.240,9465.735,4936.355,135344.465,167802.115,6487.485,1922051.350,290575.380
64,512,2,558609.330,1155640.305,49656.055,13696.215,6079.365,119662.035,145776.835,5916.110,1459689.910,273053.345
128,512,0,2158217.280,3729221.630,187280.410,149701.990,10650.210,522012.670,569722.500,17671.560,6440885.690,1052071.730
128,512,1,2077252.260,3444506.890,187740.520,153611.870,11752.750,507088.440,562361.760,16595.280,6039468.700,1024834.560
128,512,2,2390018.100,3703478.890,195131.810,151075.050,12045.720,611307.580,600454.830,17236.230,6276228.630,1010750.030
256,512,0,7798095.470,13872639.970,752748.490,1104284.810,23441.660,1988812.530,1964702.390,54064.390,23663950.360,3852369.840
256,512,1,7053681.570,13250660.810,794971.850,1234735.140,21977.110,1986498.040,1921370.830,52869.390,24548535.290,3962165.090
256,512,2,8436731.250,13932730.330,794850.890,1184912.440,24909.050,1997807.350,1909155.980,52348.920,25187596.260,4070203.210
512,512,0,28407957.940,52083986.740,3042076.400,6289609.590,91843.890,8961192.250,7616579.890,171398.280,97128448.210,14451556.230
512,512,1,30172324.150,52952048.710,3129063.280,6471290.750,97043.170,8646330.260,7483442.510,176677.690,96750005.240,14595150.050
512,512,2,27997353.940,48972216.490,3076542.720,6604423.760,99118.730,8852390.190,7323681.620,171124.400,97318620.540,14637522.050
1024,512,0,109434179.610,200548068.620,12585470.100,27400035.230,136388.340,35332227.610,28958646.190,578926.570,391701286.000,56139356.830
1024,512,1,107774015.280,199640331.490,12517296.800,27416665.930,152899.030,33619768.500,28249614.620,564716.040,395161051.920,57039726.900
1024,512,2,107410150.400,193441007.270,12430061.880,28447728.460,199257.660,31892915.220,28700238.440,557010.520,381936797.770,55359111.520
2048,512,0,404421117.040,779853733.740,48951507.550,109584549.450,1368671.500,126422657.090,114774558.290,2053752.930,1540613267.870,223957191.460
2048,512,1,403437852.890,778870817.000,50819036.740,111174770.220,1430711.200,123485947.420,110507509.950,2028165.010,1563605350.540,218175711.000
2048,512,2,417927720.190,811714824.110,50035891.830,115476844.110,1363128.450,123759773.080,110254062.870,1986465.290,1490937889.920,221231032.280
