F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,9771.598,21118.635,216.051,514.248,560.449,1940.593,3390.741,5.816,8371.729,4918.985
8,512,1,10036.573,17303.841,239.563,519.095,561.499,2824.545,3302.684,7.222,8420.632,5047.976
8,512,2,10666.458,21513.871,208.107,570.857,591.957,5680.181,3436.712,7.218,7722.409,4844.765
16,512,0,28484.099,44816.334,431.422,1174.614,1066.157,1626.622,9156.056,7.097,21215.315,11991.353
16,512,1,25662.891,51212.283,422.951,1018.355,1038.381,6766.588,8320.501,6.903,24139.546,12049.473
16,512,2,21125.476,50833.944,441.919,1028.378,1200.306,-4536.179,8911.956,6.673,23203.602,11821.219
32,512,0,54648.224,139624.128,1278.632,2519.748,2413.430,21029.459,25856.485,211.959,75638.497,38139.179
32,512,1,79359.433,151035.493,1361.327,2239.078,2264.577,24480.302,24906.713,206.059,73486.634,39548.351
32,512,2,27330.258,138184.269,1565.832,2585.539,2300.701,5633.489,22219.417,191.585,71060.391,36549.509
64,512,0,199093.016,346861.146,5904.000,6526.165,4833.444,-7.429,71019.016,4353.965,282604.917,103328.165
64,512,1,375162.781,491798.813,7767.489,8210.937,4616.933,26657.032,79741.902,4626.267,201248.057,104669.883
64,512,2,344482.432,389947.930,7878.035,8552.340,4375.978,97721.381,53307.505,3543.086,275202.562,125627.029
128,512,0,1135496.790,1467880.830,33312.460,23509.460,9134.290,226777.870,192214.470,15339.310,1088454.840,475116.050
128,512,1,1075778.610,1538582.010,39247.720,32477.740,9325.580,205643.910,208984.370,15737.110,905111.840,335154.590
128,512,2,1116269.970,1209645.820,27658.410,25144.060,8823.040,20658.140,282291.630,19546.200,942279.670,347902.670
256,512,0,3853587.960,4803164.800,147826.910,141785.290,17048.010,504930.450,704209.860,54695.010,3462698.640,1255880.090
256,512,1,3282725.350,4665977.680,144336.140,148693.540,21507.250,109362.280,719129.910,56692.180,3378959.470,1142772.990
256,512,2,3781942.100,4447500.310,129935.960,134367.960,19344.260,360644.870,690514.120,57703.420,3760957.710,1269193.020
512,512,0,12483785.280,14685129.590,576793.670,1104051.690,38803.630,1182974.080,2279682.360,189744.830,13805855.510,4011586.490
512,512,1,12825383.130,14241673.530,564748.740,1055979.450,39645.320,1715735.130,2332720.610,191668.050,14350221.040,4272489.540
512,512,2,12601067.370,14872329.940,602866.250,1137033.450,42011.530,1025737.290,2200319.150,176801.160,14180929.040,4185615.470
1024,512,0,41025556.510,55332980.800,2398661.400,6298035.950,85009.100,4578005.960,7972110.750,670831.050,56842382.750,14784124.770
1024,512,1,41140421.270,56196738.590,2494689.290,6211172.560,83952.970,4979449.480,8119143.470,658967.410,55290986.240,14595382.850
1024,512,2,42291767.260,54083232.960,2382683.500,6350463.670,86144.400,4805373.110,8051636.800,669218.260,57714934.570,15085931.760
2048,512,0,146105700.450,201640411.160,10536411.120,30598647.870,157102.380,16695078.220,29784422.650,2434848.350,228606031.230,55935302.270
2048,512,1,150087786.710,214503113.500,9836978.690,29076204.270,178075.670,15179151.660,29371929.570,2392798.870,224130448.210,55028321.270
2048,512,2,144088357.430,201285443.680,10323083.430,32088038.710,202130.140,17670785.640,31051109.170,2484308.360,225115777.450,55314838.650
