F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,8563.597,18928.644,224.587,568.639,567.872,4425.135,2923.105,4.427,8858.466,4682.381
8,512,1,2715.108,19200.239,238.483,589.617,609.692,3532.827,3368.792,4.505,8774.086,5067.072
8,512,2,6432.631,18482.072,221.684,600.412,561.579,279.917,3576.069,3.743,9808.951,4742.709
16,512,0,38329.973,43131.279,544.688,1064.352,1142.631,12064.469,8187.360,11.050,22750.216,12122.583
16,512,1,30380.635,47206.645,449.185,1172.016,1092.218,10829.806,8317.102,9.544,22942.224,11956.003
16,512,2,12332.515,48429.758,445.741,1225.102,1044.254,10107.940,7148.010,9.661,22887.670,11662.713
32,512,0,81956.526,128443.333,1357.971,2828.542,2520.445,50508.085,23865.569,229.542,67390.130,33911.602
32,512,1,64927.530,174857.741,1386.207,2553.341,2127.466,13544.630,23683.155,208.026,76930.662,39999.892
32,512,2,68610.817,128090.747,1297.813,2684.513,2538.064,33473.792,25116.361,244.549,68465.362,30972.792
64,512,0,325881.559,376658.870,5501.267,4581.109,4593.522,57265.966,81151.596,4608.780,286124.457,124708.957
64,512,1,272128.820,424073.059,6346.575,5865.863,5097.385,18515.217,78228.957,4919.863,235508.239,92547.488
64,512,2,336604.519,363265.851,6424.488,5879.106,5069.155,53077.888,70226.028,3927.575,217691.450,121910.873
128,512,0,1072840.310,1501021.040,35164.940,20223.270,8668.820,228073.590,193481.240,15583.000,1064428.400,466080.950
128,512,1,1287881.370,1433652.830,37896.240,24699.190,9202.180,68455.320,191654.890,15265.880,853159.850,325398.730
128,512,2,1092657.410,1201771.600,31121.480,18741.460,9178.140,-54205.310,273670.890,20954.980,948254.630,321579.460
256,512,0,3587377.370,4254768.150,146123.020,144871.610,18005.470,488165.480,651935.170,53288.480,3717257.530,1257476.020
256,512,1,2809523.350,4686726.160,147702.150,145075.180,17681.410,346529.060,595790.690,51264.040,3370618.550,1179199.580
256,512,2,3509404.860,4039838.640,135571.100,140852.650,19772.910,152585.900,729842.130,55517.930,3359556.310,1093379.470
512,512,0,11316448.100,14564731.460,556371.460,1032728.670,38125.890,1552482.550,2246348.320,184883.040,14195354.290,4007820.590
512,512,1,9728254.560,15741821.520,604206.100,1082753.430,41045.880,1317700.260,2211107.470,183539.760,15195608.260,4291033.880
512,512,2,11681606.990,14849202.380,589130.910,1038276.660,37570.310,1098078.750,2234470.760,182176.000,13183229.000,3743388.560
1024,512,0,38919103.270,51160838.200,2194274.850,5651437.940,108791.650,4293522.390,8026224.990,652045.680,55159601.560,14267855.720
1024,512,1,41302470.310,50981438.160,1916465.780,5630926.230,88409.770,5569142.300,8218983.850,704511.630,56815235.030,14566309.460
1024,512,2,45063230.930,64744490.800,2575927.550,6488102.660,77976.510,3150290.390,6662483.370,770767.580,61699828.740,13337230.380
2048,512,0,144158851.160,203723533.000,9831577.370,29014521.890,202908.740,16433410.240,28812759.100,2366980.910,225018229.860,55147512.900
2048,512,1,145848193.050,200905807.140,9891306.010,29083395.730,166101.420,16172582.140,29687312.600,2421229.540,225867042.740,55142630.490
2048,512,2,143368571.660,205233229.450,9829770.180,30064089.140,170546.320,15294035.960,29591326.290,2405770.870,226734804.970,54579503.360
