F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,16229.151,27398.395,528.382,976.958,698.014,4439.273,4292.020,8.581,37202.608,7600.156
8,512,1,18603.299,24510.656,559.481,1012.898,657.864,10476.141,4501.175,6.994,42429.439,8063.518
8,512,2,22616.244,26298.875,561.185,1123.633,804.396,1407.077,3965.595,7.430,42701.234,7828.471
16,512,0,31719.567,75190.704,1625.464,2041.407,1876.459,13532.212,12394.470,34.318,131675.013,23153.035
16,512,1,48542.877,73292.337,1528.522,1720.363,1641.988,14504.319,10932.020,31.398,137772.627,25232.147
16,512,2,36149.258,91974.562,1767.146,1936.422,1682.887,25314.805,9969.821,27.345,125661.343,26403.822
32,512,0,103551.097,260779.562,5521.318,4811.973,3097.342,23759.849,30198.983,231.563,431575.920,80585.281
32,512,1,119656.048,211127.652,4767.259,3784.114,3066.306,20468.906,36655.507,291.740,457661.566,79633.039
32,512,2,77421.853,231644.261,4338.443,4664.193,2968.702,25533.857,33453.311,249.131,419274.555,70509.593
64,512,0,424018.033,772369.605,17340.119,11764.720,4770.333,137057.815,83877.519,3307.276,2026071.383,311392.856
64,512,1,442284.523,625158.156,17539.374,13318.457,7173.218,-46555.432,107822.609,3743.510,1471438.856,200834.152
64,512,2,421344.609,669661.687,15247.992,10569.309,5319.239,110422.992,81494.753,3696.346,2116579.185,321349.222
128,512,0,1438635.440,2654561.340,66333.380,65369.870,13340.350,114360.250,286372.820,13098.970,5983122.080,815527.650
128,512,1,1224002.340,2484766.280,54710.430,52834.680,10888.710,268995.040,294060.460,15241.720,7817058.660,1000302.450
128,512,2,1370435.770,2578457.470,68201.220,70204.290,12886.920,226544.660,284042.940,11823.110,5819542.810,893765.150
256,512,0,4496025.670,8158881.590,236440.430,372017.920,23687.850,651239.000,914528.590,39404.560,25904496.050,3306004.750
256,512,1,4891384.590,8720829.620,240987.840,386116.720,22245.870,675261.740,884632.880,34851.200,24733917.720,3087149.080
256,512,2,4523749.660,7668254.160,234569.700,346228.350,25762.820,799861.440,921737.540,35742.240,27941126.180,3322833.900
512,512,0,15106463.320,29108608.940,882496.110,1568029.000,58360.360,2732673.330,3147703.680,97096.280,103598820.840,12007891.030
512,512,1,15817448.710,28289259.370,822691.780,1782674.730,63560.940,3274627.590,3051778.390,104763.180,119100307.600,13616688.280
512,512,2,13971477.400,29369526.610,945180.730,1688567.380,62471.660,3153246.010,3003986.580,100793.500,99512546.780,12156521.590
1024,512,0,50748994.310,106414079.510,3483531.820,7631066.950,119048.130,9097620.870,10399024.310,254139.840,417073814.840,47156262.190
1024,512,1,51615451.600,106982823.940,3488192.410,7806453.500,127433.950,9177820.520,10126581.650,248833.070,428333626.850,47334948.490
1024,512,2,52276394.810,109544870.940,3518245.590,7730606.380,123569.050,9367334.230,10654362.760,254484.720,428249046.070,48306361.390
2048,512,0,174755595.010,406542510.490,13614579.880,30663198.900,424931.010,32293262.300,38506306.230,664574.550,1699308715.280,186387746.120
2048,512,1,182446005.420,418026697.410,14022102.520,31317354.980,429734.700,30869424.020,37885436.510,645558.270,1667459369.990,182234515.650
2048,512,2,181583998.590,426478397.970,14522347.460,31400790.960,429901.720,30201947.610,37104914.590,653055.380,1634277726.350,181006770.660
