F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,23971.548,26310.634,509.962,961.764,702.592,6281.814,4390.245,14.840,38686.220,7226.063
8,512,1,20567.319,25128.851,496.311,970.378,684.454,6721.761,3917.380,12.967,39488.044,7328.541
8,512,2,22588.978,24786.894,416.425,1037.454,686.062,8615.701,4741.167,12.648,37807.126,7433.742
16,512,0,39236.023,68785.898,1168.140,2100.843,1824.756,10740.036,12204.696,25.816,131552.775,23994.473
16,512,1,32183.811,72422.731,1516.818,2118.478,1624.672,8433.878,11681.560,22.289,132923.092,22919.352
16,512,2,43318.803,68735.788,1249.730,2238.982,1716.765,7869.317,12839.908,28.960,131883.350,23048.193
32,512,0,93530.539,225264.612,4865.954,4126.148,2926.932,15497.372,37266.514,283.387,443193.165,70264.423
32,512,1,74608.464,257343.698,4851.788,4397.926,2634.941,4557.344,30112.121,266.717,486720.144,80796.799
32,512,2,121243.534,250888.265,4298.499,4468.159,2928.985,4031.508,32789.346,267.468,425132.481,68455.921
64,512,0,412690.984,776768.222,16210.573,8957.460,4598.117,119222.230,78976.343,3057.839,2002473.331,314098.411
64,512,1,369628.754,562726.306,16999.411,9949.500,7295.726,15977.617,114830.254,4065.254,1449251.665,210200.569
64,512,2,315965.645,723900.516,16224.335,8976.633,4667.456,109323.750,77458.149,3275.266,2078622.794,317676.464
128,512,0,1329817.430,2648917.580,71914.510,67131.990,12185.400,276979.140,234069.230,11322.220,5951842.870,896068.590
128,512,1,1624189.510,1945443.230,55705.470,53215.300,12046.710,94998.200,305594.730,15043.990,6753945.300,791761.260
128,512,2,1323860.630,2522974.940,62736.020,54685.430,10832.250,367456.050,221924.420,11343.270,7285070.130,1089451.240
256,512,0,4097250.750,7569276.620,214483.320,356781.310,25129.880,714288.140,841933.120,34183.410,27055865.730,3408326.200
256,512,1,4070346.380,7181611.100,227817.450,355774.810,24486.180,464734.490,874105.730,32389.390,27484147.240,3255519.030
256,512,2,3951850.030,7963314.220,228840.960,355489.120,24735.970,743138.630,793711.090,29105.620,26878054.150,3425858.230
512,512,0,13196456.070,28273499.160,886544.600,1706584.940,59775.940,2472719.160,2862523.150,83644.880,107206674.160,12453382.240
512,512,1,14233232.090,27257024.020,861701.780,1786721.460,55562.180,2949433.640,3005900.000,86218.790,113891964.090,12947840.810
512,512,2,14796859.910,30099069.860,803906.460,1685650.200,59004.430,1881355.210,2979427.210,86363.880,107283594.880,11771171.230
1024,512,0,48837819.110,121953486.900,4337138.000,7923244.120,104055.520,7023269.360,8181447.800,212869.660,390903962.170,38868886.640
1024,512,1,50136406.340,105659100.860,3374632.040,7720491.560,116081.420,8450240.720,10107714.100,200313.390,422552500.980,47980843.760
1024,512,2,44786194.650,108391313.760,3566415.540,7770247.240,117096.260,8464773.030,10041084.470,205419.950,415398457.200,45637308.840
2048,512,0,173803529.130,403245305.560,13853609.390,31443590.370,462980.010,34448577.630,37153440.130,540852.430,1680981849.670,183908812.990
2048,512,1,177341784.090,410915954.880,14209781.560,31154794.080,453332.960,33796366.400,37246472.000,530489.470,1657262672.480,185006701.210
2048,512,2,176189388.160,404700970.870,13446447.020,31633670.970,461806.480,35490856.660,36987076.580,532512.760,1653019220.820,186327985.100
