F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,12322.995,17970.034,322.518,623.243,613.089,1761.677,3608.685,6.915,12138.984,4930.209
8,512,1,4851.066,18211.215,265.034,576.843,576.857,4331.762,3133.348,6.892,13279.918,5246.364
8,512,2,10183.742,19567.374,265.915,602.037,641.661,1299.231,2767.673,8.164,12382.722,5187.004
16,512,0,27724.188,49062.666,550.155,1439.296,1272.274,16390.835,7824.450,14.917,40075.729,13210.989
16,512,1,25274.072,46574.833,625.340,1370.714,1154.914,360.443,6987.635,12.010,40321.239,13938.662
16,512,2,26845.498,51576.449,587.282,1186.770,1089.932,10466.022,8175.630,12.447,42646.568,13228.694
32,512,0,63148.147,145472.247,1667.249,3218.859,2966.258,38836.074,21275.594,75.838,144111.096,44273.677
32,512,1,66673.814,132481.881,1345.605,2669.922,2367.878,19944.553,22236.394,85.787,146747.428,43723.546
32,512,2,92874.825,149120.076,1849.977,3052.165,2593.310,7041.675,24877.903,87.110,133258.500,44894.105
64,512,0,246744.652,503940.826,5647.023,5543.313,4041.509,75281.097,53463.977,2046.756,614040.764,149595.745
64,512,1,271926.627,407530.925,6610.360,6410.725,5272.965,1601.410,68342.903,2704.648,501694.859,110758.675
64,512,2,241267.077,419958.493,5732.455,6277.658,4585.041,82231.828,54525.950,2146.043,560723.903,155207.130
128,512,0,924569.580,1137738.710,18528.740,17035.410,10806.610,95448.810,201601.570,12219.015,1963614.500,409293.665
128,512,1,892218.765,1312029.030,22145.335,16454.540,9093.960,198955.515,189962.590,11257.370,2414748.795,498422.255
128,512,2,671368.085,1302610.580,20309.680,17763.840,10627.885,-58533.970,202204.010,9800.205,2109587.040,375324.085
256,512,0,2729208.900,4411250.540,83453.970,97684.900,20790.930,407618.410,562797.830,33643.690,8313771.430,1519366.380
256,512,1,3322506.480,4346776.400,81857.530,94150.370,18898.860,91111.890,520833.560,32876.010,7968943.930,1503833.920
256,512,2,2915802.190,4379422.600,86766.830,93519.180,19095.520,472823.660,528527.010,31798.850,9062555.440,1516430.460
512,512,0,9302300.510,15288095.520,310445.140,691957.410,41430.900,1723088.970,1740275.210,87854.160,35625850.570,5481586.470
512,512,1,9133961.680,14337427.120,320909.050,694986.790,40031.120,1709133.040,1631371.730,85720.530,34471386.250,5741065.580
512,512,2,9201827.590,14917362.540,325163.750,728498.440,39463.070,1912978.880,1709528.320,86367.270,32924330.020,5403505.890
1024,512,0,31231248.730,51270731.810,1192940.190,3643339.500,80638.230,6737336.990,5614204.260,256556.690,137396058.700,20104684.440
1024,512,1,27716563.650,51118044.060,1155660.320,3542636.110,75871.060,7258584.210,5940820.220,244509.310,153196530.910,21167196.810
1024,512,2,28786809.460,49527112.170,1276125.190,3751023.320,87847.050,5922200.780,5470162.340,237520.760,131368245.280,19008982.560
2048,512,0,105917324.660,190973636.910,5017148.250,15693773.730,212290.460,23927972.840,18547206.960,683717.040,528089669.810,76082927.690
2048,512,1,103505565.940,190416184.700,4765217.220,15340653.470,209594.380,24419749.960,19103942.920,709585.170,553411525.470,77567668.940
2048,512,2,101748468.300,188501489.460,4794599.260,15418032.410,211006.470,24375968.220,18945593.240,706360.320,559394397.540,78452378.130
