F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,19828.006,15102.317,277.561,581.675,639.818,5325.408,3121.373,7.811,13769.834,4600.210
8,512,1,16505.205,19467.373,280.511,689.328,565.032,3779.446,3463.354,8.904,13870.348,4937.820
8,512,2,8963.445,17717.659,313.157,654.192,532.191,2821.141,3236.885,7.788,13460.555,5029.177
16,512,0,32613.059,44439.329,579.406,1261.734,1210.211,14060.460,8320.376,10.267,40867.421,13070.344
16,512,1,23803.590,50240.936,575.163,1353.405,1243.689,8.197,7768.705,8.925,39525.719,12241.544
16,512,2,17535.191,44379.714,604.116,1341.947,1084.090,2155.605,7712.377,9.664,39360.225,14038.770
32,512,0,58476.469,145015.139,1643.666,3092.935,2475.869,15623.739,22992.057,58.237,159685.391,38542.506
32,512,1,87030.923,134378.620,1668.363,3072.854,2484.011,24313.176,21922.922,54.169,134049.797,42273.740
32,512,2,12705.443,129252.844,1508.934,3119.372,2453.554,4080.929,19902.577,58.817,149776.182,44672.953
64,512,0,297948.055,446373.467,5658.652,6684.994,4403.046,98962.636,51771.083,2418.974,519485.705,146526.845
64,512,1,290580.394,426498.792,5004.463,5775.941,4520.938,53296.065,59799.171,2962.091,564626.994,141040.491
64,512,2,264924.691,422986.272,6603.197,6043.341,5111.677,24213.694,62144.591,2669.757,484093.519,114669.532
128,512,0,982924.040,1264383.055,20792.015,16974.220,11538.720,44268.015,185175.975,11339.260,2106433.915,420317.750
128,512,1,1052969.740,1143297.450,18706.280,16713.100,10399.810,294362.820,182782.245,14200.630,2652577.115,534834.880
128,512,2,1381025.615,1380058.365,25446.280,20020.605,10370.365,293031.200,165547.000,11593.185,2003063.275,461503.745
256,512,0,2818770.970,4510772.640,92538.870,91610.260,18471.460,393605.680,490115.710,30864.220,7675835.740,1424923.720
256,512,1,2441065.070,4253744.730,94222.440,93596.500,18468.920,433982.300,542960.530,28325.240,7629034.900,1458681.300
256,512,2,2864467.230,4301118.620,81178.270,89971.600,19457.910,507882.530,489879.600,29462.610,8373454.040,1599361.060
512,512,0,8687334.310,13110893.830,312599.970,737011.770,40733.900,1681586.800,1605080.950,79480.980,33835933.960,5129924.630
512,512,1,8229867.000,14140948.770,280527.880,760025.660,40280.060,1670627.200,1700076.280,84371.380,32741869.050,5225710.910
512,512,2,9094462.480,13554366.020,319083.040,658538.180,40203.690,1667409.500,1493721.670,80607.120,35094869.410,5360057.690
1024,512,0,27669549.580,49785328.990,1166801.360,3514538.440,82624.990,6615917.250,5180273.630,226358.550,135894102.890,20615427.120
1024,512,1,30256810.520,54639848.110,1149738.250,3078820.420,95152.130,7750426.790,5382091.050,234595.960,137986516.200,19332529.350
1024,512,2,25873641.980,51813124.460,1007759.300,2917004.870,88258.090,5667270.170,5328035.050,264441.510,130775772.390,18807242.010
2048,512,0,101403311.210,190445618.980,4879930.590,15676301.570,214629.270,23404289.370,18616388.130,637532.750,537645614.110,75737061.760
2048,512,1,104730780.610,190584491.420,4986703.750,15099403.440,198590.170,23090341.550,18539692.470,631147.560,537849640.170,76330379.740
2048,512,2,102480805.290,190341834.580,5043108.480,15933899.500,204384.810,22865679.320,18095698.500,637125.980,544020106.000,76762416.670
