F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,11679.261,27645.489,486.340,924.548,775.831,5164.240,3867.206,8.113,43453.323,7495.854
8,512,1,21388.376,24009.132,513.445,983.184,762.373,8625.324,3896.614,8.341,40859.926,7359.719
8,512,2,19659.271,24695.840,457.501,1045.950,752.656,10815.827,4059.696,9.913,44870.517,6527.040
16,512,0,42172.894,72183.604,1437.224,2122.204,1784.984,8484.969,10372.254,7.656,132920.860,19005.693
16,512,1,50421.577,72246.503,1525.541,1897.971,1673.821,13001.006,11984.460,6.187,138916.486,21467.677
16,512,2,49487.280,82713.693,1218.884,2264.511,1876.733,27103.883,10715.579,5.499,149855.106,19051.031
32,512,0,107765.273,208221.385,5722.499,4975.679,3219.104,24228.251,25776.594,110.657,434320.383,66034.167
32,512,1,79600.158,259171.385,5238.846,4081.443,2999.247,26358.174,30572.809,108.857,544916.659,58900.607
32,512,2,92391.608,222271.154,5695.516,4147.906,3339.876,7681.878,29181.817,105.067,510034.027,65076.643
64,512,0,376279.313,642162.581,18247.408,8935.028,5705.445,-9385.398,77727.462,3453.402,1869985.955,204076.992
64,512,1,408414.492,631068.526,17753.936,9103.134,5674.211,-35745.257,87236.281,3803.268,1752819.662,164759.574
64,512,2,242300.242,682293.215,18138.408,8075.770,5811.513,34698.649,72118.660,3710.983,1924934.821,191829.755
128,512,0,1267471.330,2493347.950,80716.000,52211.610,11633.280,267190.810,216717.580,12167.040,6465718.470,694308.900
128,512,1,1257700.020,2287896.640,59550.700,43771.740,11928.830,80480.330,277258.450,15645.930,7197414.340,624140.270
128,512,2,1223962.770,2455024.160,73744.980,48059.090,10631.580,317765.310,204550.650,12393.130,7797423.680,822533.010
256,512,0,4156153.750,7718461.900,261873.900,281905.700,21891.930,752729.960,720328.420,40006.430,28743242.830,2637822.710
256,512,1,4154076.410,7676054.330,255080.400,310596.790,24767.710,515892.570,684777.990,37681.310,27119782.300,2258929.710
256,512,2,4132660.640,7648819.590,262265.940,302233.290,24078.450,908689.040,681018.960,35264.690,30464144.330,2498475.440
512,512,0,14097186.340,25764235.540,967872.320,1492307.270,48458.010,2991333.290,2269087.800,98197.660,116191563.210,8762038.620
512,512,1,14451371.810,25341133.210,945547.860,1509455.990,47291.020,3503137.500,2142924.850,93952.740,121076357.010,9541517.030
512,512,2,15505907.410,27476533.490,1023494.410,1374751.290,47838.150,2610943.130,2032718.700,99694.180,113533266.090,8837859.260
1024,512,0,48172743.210,92417975.090,3443205.740,6990305.550,118827.520,13093200.010,7624980.190,275583.420,429822243.340,30780333.530
1024,512,1,44720677.820,96631524.930,3789691.170,6531467.880,121806.390,13463371.570,8136047.860,287753.310,478990675.530,31907347.570
1024,512,2,45086902.000,107439481.540,3747633.360,6097610.300,110016.780,8255538.520,6297873.740,227407.640,464138656.820,35877184.260
2048,512,0,168838264.090,379564507.590,15055533.780,26506052.550,266430.350,45941267.630,25800573.910,714959.120,1805288624.670,126573588.880
2048,512,1,175086772.190,381126714.930,15436872.700,26913996.290,254892.100,45997839.340,25692284.740,712869.900,1816835148.870,126724191.400
2048,512,2,169586923.020,372423819.250,15259149.670,27348970.590,261290.790,45301257.690,25962328.690,707260.680,1774985713.890,127032514.680
