F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,10384.031,26714.318,455.784,993.186,673.879,3010.424,3993.079,12.091,43063.629,7300.620
8,512,1,18299.149,26189.993,494.996,1074.048,615.912,3776.843,4463.671,13.469,39396.380,7212.256
8,512,2,19947.326,29913.203,556.727,998.701,762.412,-155.673,3995.454,12.631,35548.707,7671.132
16,512,0,45978.793,66507.393,1511.702,2078.659,1770.156,12087.631,9794.376,14.430,135618.305,21373.510
16,512,1,38443.837,66277.751,1601.881,1994.235,1780.587,6802.863,11852.666,16.259,136368.687,21004.389
16,512,2,21033.984,76682.738,1571.915,1880.736,1708.042,9515.748,10055.216,14.207,130179.058,21551.390
32,512,0,94428.942,204121.289,4905.428,4629.824,2940.959,19021.754,27959.431,117.158,514800.160,61051.360
32,512,1,98860.065,225927.457,5058.753,4654.166,2909.239,19062.961,27949.899,121.411,518834.903,60763.455
32,512,2,119970.801,202701.967,5002.208,4538.537,3227.545,855.813,27887.190,117.697,480487.773,61133.460
64,512,0,408816.219,762938.457,22695.119,15853.565,6228.892,93944.171,62969.784,2811.833,1680827.848,218907.152
64,512,1,308895.193,605150.848,14875.022,10842.613,4962.190,102590.532,96393.866,3521.197,2425150.814,195029.238
64,512,2,312637.487,681426.030,22417.346,15285.454,6711.164,60401.792,79259.595,3228.346,1519109.078,176724.550
128,512,0,1226253.860,2368136.900,70345.840,45438.230,12616.020,298075.170,195226.100,11228.370,7274298.100,799144.060
128,512,1,1464884.270,2011839.890,70808.390,52031.050,14058.500,-248557.240,151906.840,9670.040,4592411.210,487807.720
128,512,2,1112853.940,1801207.640,60416.210,41527.060,11620.450,248903.730,218786.930,14198.660,8114132.060,567600.270
256,512,0,4002354.240,6968716.370,271211.050,297583.320,22939.870,669515.150,642748.360,30972.430,27224289.160,2260401.490
256,512,1,3315812.310,6071186.740,231333.920,274216.520,23739.380,417062.940,577091.660,31372.430,25103928.270,2019458.170
256,512,2,3613216.880,7178895.000,287308.550,324264.640,25224.930,750484.260,621496.260,31519.670,27005425.060,2367865.170
512,512,0,12654893.830,22432131.430,867874.350,1322686.390,50203.470,3343421.010,2146107.240,86205.970,116647165.230,8783608.950
512,512,1,13970973.930,21424739.810,890106.530,1409565.200,41870.120,3838022.820,2282571.670,92405.700,132431305.520,8263920.940
512,512,2,13329742.680,27230798.120,1087113.120,1525789.510,48279.710,3001758.160,2102329.300,84023.460,121165708.420,8435564.100
1024,512,0,44197103.180,96958613.200,3875940.190,6336417.770,112975.530,11992571.350,6826190.650,210125.030,468649215.940,31726051.470
1024,512,1,46805608.160,98206328.950,3826025.530,6509576.300,110951.860,11409449.710,6790388.000,210900.970,449825535.630,32242459.490
1024,512,2,45064757.090,98540200.880,3833224.490,6461258.550,109922.930,11562508.100,6629559.690,213167.330,466518706.700,32312508.490
2048,512,0,163061483.900,371578441.740,15214112.310,26858192.070,276224.840,44675902.230,24807758.540,584767.590,1822716931.700,126704974.250
2048,512,1,166215239.450,379164602.080,14952675.260,26071445.710,246910.320,44304545.430,23985466.710,554713.780,1776566322.660,127045629.540
2048,512,2,171530600.270,400799687.260,15812222.550,26774882.260,226030.120,45646222.790,22966165.190,564294.490,1831443415.080,124984534.240
