F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,10849.455,19868.689,234.567,730.716,613.089,6002.077,3419.270,5.647,16115.115,5154.791
8,512,1,15575.525,15860.130,274.519,600.778,684.281,4467.033,3387.433,6.957,14307.990,4831.673
8,512,2,6433.410,17836.219,266.478,652.923,504.424,5752.514,3287.751,7.038,14466.590,5193.639
16,512,0,32145.439,45104.460,687.935,1413.136,1247.614,5669.359,8740.758,8.013,53627.315,12431.656
16,512,1,28836.978,41116.228,763.231,1241.361,1130.905,18856.775,6505.737,8.315,58993.875,12389.639
16,512,2,34141.428,49686.214,645.038,1265.293,1295.476,16374.375,6980.414,8.176,58789.086,13604.983
32,512,0,89132.408,149892.519,2717.362,3171.793,2704.841,11017.108,20720.248,58.684,235253.822,42508.825
32,512,1,85757.881,149337.891,2818.394,3485.232,2882.733,23867.697,20451.688,55.266,222646.748,45227.435
32,512,2,98873.446,156059.716,2126.319,2763.796,2807.984,30602.235,21898.170,56.110,219553.795,42478.050
64,512,0,240865.664,501963.589,9323.758,6039.597,4481.820,101697.378,52243.964,2195.597,898673.210,148160.291
64,512,1,245621.840,438439.885,9886.880,5686.141,5059.476,2116.548,65694.254,2702.313,977510.131,129447.419
64,512,2,225992.573,478088.831,9565.671,5891.120,5243.888,65408.416,62584.774,2233.598,751160.202,134208.795
128,512,0,998299.180,1337651.960,33789.920,19346.220,8905.770,243421.860,175937.020,13118.510,4692545.250,458025.430
128,512,1,928096.160,1704526.070,40482.450,20511.440,8506.350,248074.730,160926.810,11030.960,3814855.130,563650.090
128,512,2,904215.440,1599060.880,40712.070,22546.090,10057.570,216493.560,162069.050,11029.990,3338176.110,435509.730
256,512,0,3113111.910,4643829.320,134972.480,141555.890,20863.780,433506.480,523746.910,36177.990,14823391.190,1582829.910
256,512,1,3173598.120,4516724.090,159850.060,136562.200,20223.230,453529.490,534424.870,36536.460,14882298.220,1656630.470
256,512,2,3484821.820,5045078.290,146764.510,144115.760,21595.050,327516.950,530369.230,39050.580,14950224.340,1533571.790
512,512,0,10250352.770,15210284.950,541754.820,814045.340,39625.220,1939924.070,1579208.270,97185.010,60905800.240,5604595.940
512,512,1,10901846.770,14564456.920,573942.130,827791.640,40648.670,2421709.890,1663480.730,103880.340,62917797.030,5922018.630
512,512,2,9923531.900,16258833.450,527075.560,767782.780,38857.610,1617515.040,1672190.040,98209.440,59917426.840,4981516.500
1024,512,0,35591298.070,66375848.090,2457923.090,3767564.180,71840.170,6792777.640,5298381.440,274228.990,240579820.580,19800237.480
1024,512,1,31778744.840,60968368.770,2212223.270,4093828.130,68244.910,9007144.610,5787165.830,292678.150,275153597.580,22428058.930
1024,512,2,35405565.350,70961247.910,2073265.130,4174737.600,120527.790,8241479.710,5342233.430,303223.530,222147671.970,20881257.870
2048,512,0,128094716.080,231200607.150,8571475.610,16422393.890,208155.260,28662213.180,17648195.100,817999.210,1014856956.380,82504460.990
2048,512,1,123319668.800,256989730.060,9127073.030,17271276.080,129608.950,25615120.060,19038324.950,760612.200,977622242.000,80379871.910
2048,512,2,121715436.560,237321108.690,8771223.090,16972244.650,206607.820,30047400.560,16710471.190,817781.700,987224753.590,79145991.130
