F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,10544.233,17102.184,309.064,671.335,662.573,94.018,3217.605,5.417,15335.783,5017.918
8,512,1,16612.736,18499.990,217.870,637.585,569.191,1626.517,3208.440,5.243,16188.422,4817.685
8,512,2,22117.633,17925.534,306.723,677.539,699.578,8289.637,3007.045,6.009,12651.064,4983.498
16,512,0,20822.908,49135.742,680.917,1457.086,1210.495,22139.339,7274.573,9.006,57339.120,13059.931
16,512,1,31875.075,45651.832,810.134,1288.115,1381.742,2887.254,7688.707,7.578,49790.308,13652.188
16,512,2,19721.109,49098.313,603.435,1445.734,1240.781,18487.998,6711.433,7.796,55832.576,12477.913
32,512,0,90447.841,148130.654,2895.662,3120.120,2400.377,26245.293,20918.377,57.235,262905.638,42813.640
32,512,1,94843.701,154911.040,2326.827,3128.570,2463.188,11759.620,20017.074,49.694,242277.642,41390.233
32,512,2,92098.954,144106.831,2793.110,2996.670,2664.526,3968.467,22930.682,57.407,241975.818,42997.364
64,512,0,318272.784,480372.646,9408.864,6316.210,4712.538,62648.878,56288.120,2299.574,924709.197,147965.437
64,512,1,287646.520,426276.692,9076.895,5329.332,5122.407,67403.738,59075.685,2565.831,993825.044,128498.039
64,512,2,159356.036,400661.066,8919.000,6990.134,4712.354,71209.319,59083.149,2182.131,806945.570,134519.074
128,512,0,976659.885,1437170.810,34211.655,22308.565,10434.590,84843.385,182343.110,13757.230,3694329.170,413244.880
128,512,1,838019.140,1545913.295,38558.820,23008.690,9958.555,246875.270,162496.035,11163.300,3849772.700,486747.185
128,512,2,814917.625,1428786.190,38946.935,24038.180,11138.835,177061.630,172227.725,13634.355,3071070.005,410964.690
256,512,0,2938580.960,4872005.140,145734.330,144643.830,19341.470,495460.330,488517.610,33156.230,15325293.740,1497009.300
256,512,1,3488107.620,4675140.360,137495.560,142824.450,19419.050,506767.820,459415.100,29961.200,14022665.830,1336595.890
256,512,2,3019054.750,5059841.060,139873.010,150625.460,20205.100,255531.460,476465.900,32360.930,15789087.850,1540180.390
512,512,0,9570463.340,16038684.300,574363.910,781659.820,40933.700,2005288.920,1548676.070,90293.300,57876292.670,5616660.690
512,512,1,9377770.040,17554368.580,536553.920,829582.260,40342.910,1605242.020,1434079.870,84678.680,57114347.590,5204426.110
512,512,2,10413659.940,17145141.480,582598.430,865979.970,36291.600,1974640.140,1372349.560,84472.940,59881582.410,5595424.780
1024,512,0,32501305.580,63601937.430,2280051.200,3934551.990,79601.830,7218293.450,4940741.980,239730.550,247547564.910,20300439.820
1024,512,1,32439724.750,65774905.950,2288642.640,3644486.530,80537.620,7277685.290,4989619.090,246686.330,239725270.050,20027229.320
1024,512,2,32579099.710,63872663.470,2157072.840,3613021.260,75954.720,7813697.180,5057150.860,255776.970,247631144.150,20572374.800
2048,512,0,117545889.750,241990605.190,8852486.280,15966158.080,181690.850,30136863.490,17573585.960,733034.560,1001353479.960,80842802.750
2048,512,1,111759776.170,242116697.000,8574688.630,16025224.840,196624.460,27491355.570,17485154.580,733443.650,1008082465.250,79992714.500
2048,512,2,114058665.190,244976638.160,8857298.250,16636594.930,175439.930,27547544.590,17276099.400,728359.190,984856655.880,79871810.870
