F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,21177.010,25981.611,516.686,808.437,766.643,5940.983,4621.302,10.448,41143.094,7300.230
8,512,1,8547.040,25871.767,530.834,988.684,845.700,2984.397,3561.484,8.980,39389.150,6939.349
8,512,2,13660.602,27865.514,572.448,867.283,634.032,4816.847,3827.180,12.001,43760.606,7153.679
16,512,0,38748.417,73102.656,1686.037,1908.002,1616.035,8928.867,11023.477,7.635,130517.539,20188.569
16,512,1,35833.829,75832.487,1384.271,1796.720,1417.355,19342.700,11482.732,5.482,120635.368,19702.742
16,512,2,33711.792,76349.904,1672.485,2012.196,1759.952,4182.382,12500.552,4.424,131115.661,21291.259
32,512,0,110232.316,222563.668,4727.436,4934.539,3165.984,-529.670,28832.837,84.251,447081.102,66835.679
32,512,1,107920.660,198343.705,4911.470,4697.372,2678.205,45552.972,30198.356,102.160,434507.276,59302.237
32,512,2,78940.805,189189.231,4069.099,4556.063,2994.450,19293.361,31156.925,104.992,456263.104,62728.452
64,512,0,405653.267,768420.440,18740.190,10262.553,6212.828,34564.538,77923.209,3056.223,1387317.736,192565.399
64,512,1,396727.934,612819.930,14861.806,6697.527,3697.355,51840.978,67539.619,4285.685,1766979.941,229074.454
64,512,2,409128.114,613514.751,18418.370,9780.839,6142.132,41961.092,91792.645,3859.121,1397985.637,164956.729
128,512,0,1144688.360,2321754.540,66057.040,50425.940,11178.020,325793.300,186270.540,10761.320,6453043.130,776651.340
128,512,1,1079603.420,1939586.440,63725.280,55110.180,13212.740,396729.620,272473.000,14443.610,6925990.720,640544.960
128,512,2,1216142.000,1813215.600,55075.990,43737.520,11163.230,212663.540,243555.880,15088.360,6627400.130,487132.830
256,512,0,3735623.890,7102409.980,232577.560,290489.320,23190.430,735466.190,634083.030,33117.560,23124318.410,2083089.430
256,512,1,3419532.350,5929584.700,225146.360,240459.460,23682.940,312413.160,598641.620,34719.080,24429954.820,2107408.570
256,512,2,3737857.930,7082569.680,216529.090,270797.270,21407.390,696869.820,637371.080,33522.520,24293419.870,2248284.200
512,512,0,11820646.400,22667155.520,831077.950,1330672.550,49471.300,2807200.900,1982445.760,84055.990,94912687.580,7494322.440
512,512,1,11096604.030,23855670.150,830882.470,1293219.670,45698.320,2614174.580,1815091.220,76377.600,90542269.560,7242597.550
512,512,2,13040205.920,22389700.040,826169.430,1171531.850,45265.350,2457013.280,1901300.300,80522.790,106442929.880,8253727.130
1024,512,0,41543498.680,85321299.980,3257989.600,5393915.950,97141.560,11342944.310,6453273.320,199922.230,395006171.800,29313043.390
1024,512,1,40372187.080,90673621.010,3333379.830,5420284.450,104262.740,11180451.530,6282954.540,186153.620,394438897.060,29484621.300
1024,512,2,41948574.920,88033664.360,3269802.980,5361912.980,97842.970,11214356.040,6318544.410,187141.880,389529905.560,28863059.170
2048,512,0,147771030.700,341643561.640,12993981.330,23137084.790,359633.980,40715793.800,22168218.000,497072.730,1562974971.330,114980817.590
2048,512,1,147735165.370,338974770.700,13210533.040,23281630.930,313019.030,42003717.830,22772040.750,458507.400,1550551023.410,109168998.970
2048,512,2,147177911.180,313485689.920,12465880.560,21887982.650,277083.230,44708846.310,23778683.460,467357.020,1606141687.770,112510466.430
