F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,21192.880,28080.734,589.136,1051.210,704.554,11030.255,4512.308,6.939,40133.286,7555.893
8,512,1,18040.808,26782.835,438.590,933.496,745.168,17432.629,4500.287,6.259,39798.282,7372.621
8,512,2,22904.206,26682.293,418.732,951.593,771.726,7670.473,4662.347,7.188,42192.705,7544.397
16,512,0,30912.447,74242.974,1808.330,1978.418,1669.940,4541.078,11793.470,12.129,119908.571,21177.894
16,512,1,47076.148,75460.641,1352.551,2014.391,1797.727,10033.234,10494.444,12.916,129724.213,21433.357
16,512,2,20467.103,76059.406,1459.828,1939.469,1728.581,6221.438,11585.398,9.455,124368.478,22035.352
32,512,0,73772.162,228484.027,4706.395,4170.700,3079.588,41113.275,28713.258,120.711,426660.745,59572.192
32,512,1,77549.583,195362.110,4805.369,4383.785,3198.840,24106.378,27892.265,120.148,412774.481,63980.118
32,512,2,96003.292,203293.542,4429.598,4035.832,2921.379,19520.264,28645.200,123.649,450416.809,61434.311
64,512,0,390500.486,646192.724,17678.950,10620.596,5810.247,77959.966,77018.651,3672.162,1608126.399,193394.374
64,512,1,489053.003,603860.202,15069.943,9620.326,6028.259,83330.807,70917.047,3708.073,1722076.324,191030.526
64,512,2,438582.580,615602.242,18619.629,8476.947,5257.420,144876.317,76731.244,3253.743,1695370.809,186395.633
128,512,0,1176041.770,2206500.160,61459.130,38183.620,9983.760,278936.060,194242.660,10988.670,6886060.240,799526.570
128,512,1,1106644.770,2128342.890,68424.290,47587.080,13489.090,281329.390,213532.230,10077.560,4468864.070,478735.390
128,512,2,1202322.580,1674881.780,50893.620,37952.000,10819.490,139477.020,258090.740,15832.670,6974354.400,626438.970
256,512,0,3526036.010,6833096.580,215699.650,221529.300,25248.060,801268.880,609252.570,32367.820,24675744.560,2286973.980
256,512,1,4089094.490,5960059.520,223992.960,247432.350,24425.800,588102.780,671469.160,34282.480,24350529.990,2103061.580
256,512,2,3260524.940,6418774.970,209665.390,230345.880,21615.240,843925.250,564558.650,34147.980,25537760.300,2071006.680
512,512,0,12016487.200,23475833.770,804350.390,1285494.700,46541.820,2986219.780,2010170.450,77571.970,99649839.090,7792041.130
512,512,1,11926276.640,24385158.160,882812.010,1347830.240,49110.070,3006969.040,2095959.850,83638.300,98062571.480,7709959.620
512,512,2,11922505.420,23650212.820,876829.900,1251633.730,46814.300,3096314.690,1986407.120,81702.410,97760478.190,7742553.150
1024,512,0,42883791.160,90260753.530,3412939.900,5332837.930,136223.580,12473156.390,6599618.790,193470.940,391628667.850,29000540.440
1024,512,1,43467640.770,91393970.100,3509532.250,5942742.430,138428.440,12017613.020,6064386.580,173061.050,386553410.020,28180382.680
1024,512,2,41934902.010,82771757.350,3279859.960,5704756.830,140310.930,12522493.610,6814240.060,191195.250,388968017.210,29513832.080
2048,512,0,149520196.530,338830441.620,12763596.530,20835620.410,426645.470,43455789.880,22621482.060,414932.710,1565693576.840,109416495.090
2048,512,1,146448412.770,330026310.890,13320559.290,21395766.090,392515.620,43103580.110,22382997.280,471941.120,1592491704.720,114645979.360
2048,512,2,141260538.600,313448651.530,12677961.270,23285316.480,321631.990,40971316.030,22511879.990,425379.190,1563324401.730,119710868.660
