F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,17595.914,16763.734,272.312,676.144,590.955,5235.621,3241.122,6.982,14559.215,4987.944
8,512,1,5974.002,18976.965,297.420,717.591,611.416,2910.948,3567.578,6.017,14345.158,5103.057
8,512,2,15982.299,21012.245,192.504,634.448,621.923,7492.939,3135.747,6.379,12629.096,5311.059
16,512,0,32728.070,42729.151,560.485,1265.835,1180.900,6811.928,6571.138,7.252,32228.657,12094.876
16,512,1,22989.202,44271.398,428.642,1130.122,1056.130,5348.892,6989.870,7.811,34310.082,10225.521
16,512,2,17626.282,45534.973,494.425,1215.109,1265.403,5671.482,6459.988,7.359,34132.338,12566.613
32,512,0,56373.492,111832.551,1439.368,2575.337,2179.849,9662.761,20268.550,17.576,91406.591,33133.981
32,512,1,51908.442,127851.947,836.836,2155.215,2182.162,22074.208,21290.026,22.082,81061.885,33658.735
32,512,2,60467.582,118927.672,838.624,2444.348,2182.193,20951.925,19754.269,17.349,106828.314,33399.151
64,512,0,182697.858,337639.004,3291.418,5851.367,4352.494,18226.017,59748.402,1228.163,275341.246,99540.812
64,512,1,216617.290,360884.458,3375.512,4968.564,4047.760,59509.920,54776.612,1467.207,292807.096,90868.478
64,512,2,148235.716,359948.216,3055.058,5393.027,3585.267,-18317.136,54651.906,1394.586,306407.095,87062.003
128,512,0,698476.170,827349.400,9749.400,11881.635,8685.910,188827.655,151661.540,11412.460,1124640.630,271085.620
128,512,1,1013470.980,932637.470,12397.580,10567.145,8176.175,144030.365,136724.910,10132.770,1119085.185,310020.470
128,512,2,642068.215,1055679.200,12580.300,11864.640,7845.770,108605.045,145943.495,11163.905,1075434.125,288549.580
256,512,0,2015393.390,2852987.030,45254.260,37156.690,16909.410,431803.560,361044.220,27794.310,3514588.900,765389.210
256,512,1,1770856.880,2544902.100,36441.470,33771.640,18717.960,291150.710,458339.720,35481.550,4227287.530,841309.760
256,512,2,1921953.790,2704926.060,40619.390,34272.250,17017.840,345745.660,332035.290,25605.430,4131258.400,922558.120
512,512,0,5631936.590,8277583.380,120353.280,164684.480,31710.170,560411.160,1028770.730,66472.510,15067943.730,2428495.240
512,512,1,4814188.070,8746533.650,140223.610,179780.870,34231.340,987841.550,1003039.860,71826.730,11407991.090,2139754.660
512,512,2,5586980.540,7936389.770,148388.090,176003.670,31101.300,734084.270,1026255.010,71586.820,14856390.800,2430786.390
1024,512,0,16086637.390,24098065.540,618370.560,939584.050,68339.520,3311788.590,2873870.810,159498.700,58952174.690,8178660.290
1024,512,1,12146011.850,24943606.340,698953.680,937052.880,91090.650,4720548.130,3227274.380,187691.170,66642621.910,8835422.440
1024,512,2,19955838.980,26205568.030,583816.680,1132348.570,50996.600,2759942.530,2918485.210,169793.590,52881195.380,7063659.360
2048,512,0,51154205.190,90968997.840,2176032.660,4055709.100,143049.860,10410431.020,8707031.810,369633.200,222109317.870,29622242.860
2048,512,1,50880217.670,92264216.110,2100784.630,4110959.940,145830.410,10747474.340,8901100.510,355621.630,219968904.100,29571546.840
2048,512,2,49304798.060,94494797.250,2190914.200,4049659.490,143753.550,11112024.540,9334374.220,366099.690,223260748.240,30201952.220
