F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,11314.831,17586.241,235.205,691.494,651.245,2436.077,3210.043,10.095,15006.292,5346.921
8,512,1,19323.532,17334.336,250.242,704.269,700.094,8770.204,2902.323,10.273,13196.386,5110.940
8,512,2,19023.269,16901.684,269.481,648.268,567.847,6555.691,3024.767,10.623,15926.489,5009.539
16,512,0,4570.537,43556.914,546.457,1201.175,1163.816,4778.228,7483.636,7.832,31084.945,12717.134
16,512,1,35359.737,42118.919,570.693,1320.157,1136.430,14782.404,6836.184,7.150,33790.246,12444.912
16,512,2,35353.012,44518.547,649.453,1304.965,1223.770,-5636.513,6710.923,7.587,30547.939,11400.445
32,512,0,49003.091,117294.721,1647.979,2223.683,2072.275,11923.432,17590.677,12.544,92951.284,33407.193
32,512,1,79074.710,145927.239,1037.560,3207.679,2193.581,24525.928,17710.959,15.545,109118.513,35326.822
32,512,2,105540.479,174733.054,1644.429,2235.375,2332.144,-12965.031,27236.785,12.159,110780.677,36394.623
64,512,0,140630.760,321325.317,3355.740,5373.071,4143.043,49693.650,52615.338,1383.618,281563.683,93145.174
64,512,1,170833.386,326533.050,3295.441,5336.452,4132.109,62536.004,45319.051,1320.789,293111.408,93104.432
64,512,2,206883.574,335055.574,3686.595,5050.704,4289.548,42864.002,54844.771,1484.672,284226.496,94736.233
128,512,0,675589.260,949010.640,11504.545,12355.600,9294.225,139199.300,143180.515,11737.300,1073901.180,250994.465
128,512,1,589306.690,878507.885,11685.545,12255.320,8734.960,457.855,121345.115,9650.090,1056040.330,247490.870
128,512,2,805238.255,998299.475,12968.685,11035.350,8012.595,243945.790,138642.850,10328.515,1038921.160,320057.110
256,512,0,1785892.520,2852833.710,44137.500,42395.260,13721.420,376801.920,337873.000,25899.500,3619275.180,801904.320
256,512,1,2026186.330,2417988.710,35888.100,42175.210,19601.700,-61684.070,341685.860,26406.520,3375737.630,686750.360
256,512,2,1677168.220,2398868.270,38391.550,36895.380,16132.230,394847.030,343793.060,28803.480,4217085.490,840012.040
512,512,0,5281090.150,8177867.640,144290.750,160214.230,35650.690,877309.860,903046.620,60418.300,14354555.410,2350317.650
512,512,1,4898409.120,7395318.750,139288.190,169526.820,32824.580,1091041.090,1001952.850,64941.750,15113060.380,2428356.650
512,512,2,5364035.270,8613708.460,143480.060,162998.850,31799.810,897074.660,913684.700,59479.210,13423435.720,2364827.120
1024,512,0,15578140.570,25531923.410,554592.810,831311.370,63101.330,2717439.320,2657541.530,147103.180,55969580.900,8185394.980
1024,512,1,15350816.880,26928024.850,537381.760,905762.360,69735.390,2990629.830,2875930.550,146347.990,57720190.210,8250887.390
1024,512,2,15780940.940,26072818.910,543054.000,863183.720,59880.980,2908310.670,2748741.460,148571.180,56653286.300,8389766.730
2048,512,0,47691510.250,94916314.500,2037935.070,4267683.390,138566.720,11540697.890,8927771.230,343607.330,225439039.220,29735497.290
2048,512,1,51358385.770,94622090.710,2152715.930,4290411.190,145696.100,11048388.830,8885896.780,346035.640,224689561.700,29625203.300
2048,512,2,50825135.610,93653370.520,2157075.990,4223500.510,136497.500,12453502.450,9102666.320,351346.360,231047495.760,29809124.920
