F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,372262372.880,892243016.740,548367.240,95195.540,30992.490,67027065.350,98519841.470,302814.990,21836756.280,531648892.780
512,32,1,378068009.680,899486756.420,535147.400,92347.300,30972.060,67693349.690,100283266.880,313916.950,22098602.620,531317354.170
512,32,2,383309200.320,926413814.320,560975.750,97959.740,31386.930,67050634.830,99527578.700,305399.110,21550765.690,534249622.040
512,64,0,573600546.940,1399137540.220,829330.730,445118.870,32809.650,134923741.920,107081681.270,302818.090,73125051.950,837691392.150
512,64,1,577952215.050,1396987868.360,829799.830,451617.600,33484.410,134513696.190,107595816.030,302009.190,73821291.810,850147000.620
512,64,2,584228785.490,1460412386.280,845715.320,471878.280,33046.140,129520226.690,108106789.300,297727.490,71228463.460,818740904.370
512,128,0,847681261.940,2012184968.550,1501891.440,2351545.930,40806.800,219779123.360,117928268.310,545530.650,137100223.820,1226208232.350
512,128,1,847252423.200,2055086095.910,1513646.970,2315523.910,40731.490,220090994.190,119010435.920,545304.540,139715050.250,1235990790.260
512,128,2,847428355.240,2032561054.620,1512078.760,2238502.020,40410.260,219878926.860,113481037.480,543967.240,135281232.500,1225034827.120
512,256,0,1340952452.450,3281532945.180,2922842.250,7157773.660,50883.300,396996780.060,141681494.710,674163.520,276711685.470,1978850008.030
512,256,1,1387390326.510,3410213497.520,2849018.540,7367628.930,48407.040,407805007.710,139143802.370,630287.650,269313295.370,2060461887.780
512,256,2,1352739851.050,3422700461.190,2967525.030,7275275.440,55914.050,401038787.170,141227886.780,650904.770,272575254.350,2035337112.230
512,512,0,2593983837.570,6326174414.290,6190894.640,15648563.140,74449.110,804863415.150,191484500.260,647671.810,575434885.970,3817203679.360
512,512,1,2595323757.860,6359821298.910,6116100.370,15493351.970,68855.790,791452206.200,191471807.770,646380.910,573744305.180,3817926607.130
512,512,2,2595141954.150,6288560884.210,6045139.960,15627774.750,68395.120,771250821.410,185818414.540,647393.220,554987973.710,3819086131.760
512,1024,0,4923145527.780,12197010615.520,12532832.170,27237571.460,111304.190,1568717932.450,283499413.200,646505.620,1171964527.290,7441162366.970
512,1024,1,4971071734.760,11365811691.760,12482405.450,28637373.040,103749.820,1657559435.310,308901248.830,681013.510,1228352770.980,7473150689.800
512,1024,2,5076144172.530,11969142720.780,12521964.780,29154635.360,112725.080,1545477845.820,287628905.720,650536.210,1230237135.670,7773374763.340
512,2048,0,9634335987.340,23891966467.400,24873642.370,56059526.380,226839.070,3140906871.200,480340670.610,725241.360,2377281283.020,14468968845.010
512,2048,1,9765990478.410,24198498462.250,24615448.380,55362393.560,210034.710,3162670864.440,489757583.950,724086.060,2342218471.240,14312574164.770
512,2048,2,9506225467.550,24031512572.300,23927137.560,56111057.300,220237.380,3317522263.250,486539997.110,724527.680,2342508012.630,14689149503.010
512,4096,0,19645086199.620,46748999142.810,51536258.130,120815392.040,36698497.720,6394734108.380,861069362.060,767071.430,4841634275.400,28006999127.030
512,4096,1,17964587913.270,46755626150.910,49245286.350,110915677.650,41864519.850,6173096813.280,885226416.780,776881.820,4928250733.280,28857281906.370
512,4096,2,19454409293.130,44788858396.540,55360720.430,121051646.480,36563079.970,6559489863.420,887877112.620,777609.000,4810045128.140,28172751301.970
512,8192,0,38723454149.470,92118876855.870,201079178.460,228834748.650,123413027.600,12409512501.310,1630725834.550,812261.020,9402062952.860,56919236202.510
512,8192,1,39446790961.370,91588709533.210,201061254.760,228842893.550,120656023.910,12126103475.970,1713561238.260,818122.940,9401340437.970,56907294145.640
512,8192,2,39024392212.280,95668313900.940,207696120.680,254535365.730,120192817.670,12407531111.150,1628172284.700,826578.400,9282607514.790,54496210646.590
512,16384,0,75158675407.200,185317449932.580,418884047.400,453562697.500,287333643.860,24870330594.590,3244393953.290,822628.890,18836342174.040,113974593928.780
512,16384,1,76110776912.240,185319176559.260,418871414.850,453558323.430,281473548.600,24870225755.840,3243168082.330,817510.860,18837388314.860,112963648571.800
512,16384,2,76104876349.640,185312269071.440,418847173.200,453535778.780,297652031.210,24869802599.530,3244565009.390,827041.740,18837545786.700,112023668370.810
