F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,372198289.420,891900704.350,528312.010,91479.840,31951.000,65897622.690,98810511.810,261424.760,22139008.770,535747544.470
512,32,1,368912318.560,877927890.430,543599.040,90532.370,31611.320,67594804.810,99186541.770,271105.930,22355772.000,546592913.290
512,32,2,370677201.940,908130855.080,529217.210,88448.570,31817.920,66343972.630,98628883.640,267560.160,21899775.380,540601680.200
512,64,0,579036322.780,1407917207.000,827144.180,632132.970,33960.600,132022535.060,107603954.320,259897.680,73090249.260,827078704.850
512,64,1,565257131.440,1382550885.450,832747.570,645547.820,34040.170,132659355.280,105616835.060,262219.530,72377108.970,838769946.170
512,64,2,581141563.240,1367600026.880,816136.960,606907.310,36257.770,138512020.670,109896543.930,265132.690,72112028.450,810158916.270
512,128,0,844682066.770,2059754142.000,1526351.410,1767475.410,39793.060,221490342.460,116474289.870,490883.570,134922359.400,1216952716.930
512,128,1,852592267.120,2001695544.640,1536474.250,1817197.430,41775.830,219841624.300,117386779.940,497376.600,136271535.640,1215867565.800
512,128,2,833796129.970,2025039437.170,1504416.110,1713482.880,41224.460,215457875.200,113864042.010,478010.780,137406036.190,1239624475.730
512,256,0,1379877083.700,3202408750.270,2764080.730,7475060.060,58945.670,396210358.350,140514927.540,621312.500,269643485.330,2028383424.620
512,256,1,1308224012.160,3324064693.250,2888344.400,7777669.020,52850.410,414021208.650,142613821.240,620461.460,280553746.560,2018376582.810
512,256,2,1397397298.280,3475737187.440,3166875.250,7897855.350,58512.390,382595648.690,133873717.720,606326.630,265898097.260,2135895528.350
512,512,0,2592682438.920,6334081731.170,6135879.710,15624872.960,74718.210,797593503.310,192751201.190,608699.130,576932089.460,3817629324.100
512,512,1,2590343937.170,6263017645.860,6016857.500,15619065.840,74937.350,819435084.200,186843939.050,611612.310,559417560.740,3833391894.100
512,512,2,2582805928.760,6537293478.120,6102744.680,15619797.560,79130.150,805402145.990,183151476.590,599200.100,582062755.950,3818498408.550
512,1024,0,5023219021.890,12288566986.870,12159633.840,27277382.520,155247.810,1600111942.680,293550456.540,610844.580,1164476797.940,7433888458.200
512,1024,1,5023032136.000,12205066196.640,12517502.080,27835473.720,164278.230,1599655025.870,291499277.030,612565.860,1159369800.880,7434682341.380
512,1024,2,5023457432.540,12404190673.430,12165075.810,27083857.870,417687.100,1600404547.230,297620719.860,605046.660,1185176239.880,7600078561.360
512,2048,0,9800261719.580,23309526207.320,25630565.170,56337626.280,1524768.540,3160633418.030,485587483.480,674248.230,2322351514.240,14288060065.060
512,2048,1,9902198552.030,23413315730.170,24894705.830,55506402.630,1170180.700,3137477405.370,486367045.230,683618.950,2360652388.010,14747420315.730
512,2048,2,9599640884.790,24795451622.940,23966233.390,55526190.970,1052783.110,3241152177.770,468765592.580,682420.700,2336920351.200,14616399034.610
512,4096,0,19536670386.300,46258512742.100,50684581.110,121376520.100,38504842.240,6415029127.130,876148686.170,741598.010,4647385406.070,28783949115.550
512,4096,1,18983668984.030,47035529650.660,49019216.470,127081143.030,39832485.760,6371039569.320,886468979.110,753914.430,4642469538.520,28013941422.510
512,4096,2,19069925413.690,48752768280.520,55327026.450,114051768.170,37137449.750,6368218536.980,874856659.370,729803.820,4575253775.870,29604576925.460
512,8192,0,37820691824.850,91032914986.850,200915962.600,228775265.750,123102051.580,12400697749.460,1670931330.310,771870.430,9458268792.600,56905971614.650
512,8192,1,37848590463.700,95041403164.900,200941496.180,228733191.680,121088949.360,12396700112.460,1678938079.510,776665.500,9401789603.250,56827382577.350
512,8192,2,40437137817.010,92829499875.190,200902919.280,228693347.260,119493708.600,12392808959.390,1700946251.680,791191.840,9401945818.840,56842292421.650
512,16384,0,76333767285.880,185945964933.180,420215072.010,455368736.750,311256929.990,24820223921.250,3229852203.660,764958.710,18137090159.440,114680955905.340
512,16384,1,76304922352.450,185930465114.670,420288621.510,455174348.950,281317933.580,24801305603.800,3236505399.810,771798.570,18787776071.740,113462189253.970
512,16384,2,76308589927.750,185933425700.370,420330222.540,455179338.190,276225512.320,24801919278.220,3234565963.540,766659.570,18787745544.410,113461356890.430
