F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,292669139.730,706056706.220,164954.010,86866.050,31281.480,40249037.390,94593609.020,261855.380,1810406.340,412593091.950
512,32,1,291672084.150,683194050.440,175207.140,85980.190,31168.990,41625905.270,95552559.850,263153.130,1809170.950,404146886.560
512,32,2,293134816.350,690256842.150,166472.780,88041.710,29943.690,41819020.500,96153369.290,267846.510,1866460.070,413992256.910
512,64,0,324074878.990,770205221.580,123856.720,105733.740,33969.630,48116881.330,95474948.370,345683.080,8444852.520,444632950.240
512,64,1,318726400.140,752014674.590,135531.330,103090.510,32726.770,47120186.480,97062673.580,345469.410,7561055.670,457633633.220
512,64,2,323130059.560,763957690.830,123918.850,102431.070,30902.650,49815828.770,98872037.570,348216.670,8803073.650,444572289.880
512,128,0,354062784.260,806603248.600,210618.600,228583.950,35923.170,60044417.430,97898746.850,476556.730,15242072.870,500811729.460
512,128,1,348068022.300,859832328.310,205125.340,215691.200,36149.240,59380340.360,96639616.070,457552.610,15851025.500,492518585.620
512,128,2,355208845.800,826413121.650,215289.440,239161.680,34598.900,56790266.020,96299757.720,467123.610,14755064.090,501841239.810
512,256,0,414515017.720,972948644.440,356946.110,497598.660,42938.010,79908704.460,99168526.180,556649.860,29405512.280,586437696.580
512,256,1,417002038.520,993924364.380,376185.500,515899.040,42929.170,78659135.560,98262048.390,548640.630,29717392.720,589172973.870
512,256,2,416948565.680,975289511.500,365215.960,503727.180,43494.910,81960833.770,99607789.860,568223.470,29022770.610,559457235.370
512,512,0,609242824.560,1426967880.490,853901.270,2662544.280,53876.240,148625540.700,108149083.930,609017.840,76883495.800,860526913.530
512,512,1,616237789.480,1481342145.590,809986.150,2599014.020,54349.690,149143605.850,107889414.900,603469.520,75792854.210,858381466.760
512,512,2,617940085.110,1432236807.160,859750.990,2785295.460,54476.190,145792193.650,107585836.720,601107.020,74959499.620,847851320.300
512,1024,0,993431239.830,2406479062.400,1872131.110,6631767.310,68636.430,269046076.550,123850202.760,605183.330,166358027.590,1414466437.920
512,1024,1,1001927404.270,2301878415.910,1787603.860,6524967.690,70091.240,275979188.840,125109476.870,612844.770,172857229.820,1428267855.510
512,1024,2,990428488.390,2419269166.150,1910809.320,6735102.500,74553.290,265961000.910,120837381.180,590932.810,164945296.790,1409936336.300
512,2048,0,1744714141.250,4301912448.430,3910097.940,11671203.990,100565.640,497952410.980,143082440.580,569456.960,322641239.940,2352012161.100
512,2048,1,1707437764.180,4446057289.850,4017814.260,11979814.140,93372.670,498124364.210,142609453.940,566985.930,325264383.310,2361992245.790
512,2048,2,1728398973.350,3919202643.360,3544377.430,10683044.170,102263.400,498008050.630,147881122.430,587716.930,338685172.130,2374742089.450
512,4096,0,3054975582.620,7256405963.040,7421204.900,19508848.180,318545.840,965094674.040,210297818.550,634330.910,679968884.410,4493707338.510
512,4096,1,3054006416.590,7455357957.400,7249871.220,19500094.190,337988.190,955315936.220,205064676.400,625484.850,679858437.470,4493559740.890
512,4096,2,3054327888.950,7258980876.510,7454230.940,19603943.920,312150.490,954642242.970,211225896.400,629760.270,670874482.250,4491777683.660
512,8192,0,5786880120.080,14376348755.400,14854030.120,36974131.530,9203905.820,1896563981.430,326483451.580,676396.480,1398558330.730,8724522933.870
512,8192,1,5855872792.880,13791137034.200,14981156.820,37070229.000,8965859.190,1891553524.940,325508176.640,702944.340,1343052409.870,8534177097.350
512,8192,2,5978382577.120,14495544414.100,14975433.210,36628325.810,9396770.230,1910000390.580,326886831.030,640442.440,1449144094.490,8858371408.860
512,16384,0,11883046238.310,28699118538.160,42394297.600,76303643.040,35110836.640,3796991251.610,564150799.120,683985.630,2809229000.120,17118080322.170
512,16384,1,11700084812.030,28057946539.610,43482701.370,77018546.880,35094024.010,3797467630.740,565736760.170,683850.870,2799783875.180,16976223678.150
512,16384,2,11605752142.280,28066409462.430,43490361.900,76924865.040,35134069.400,3798447513.020,560659105.760,682546.200,2775540490.650,17871580934.980
