F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,287006107.100,680499319.720,169982.570,114775.180,31556.430,42699748.350,95441291.770,261859.840,1831421.520,419300767.810
512,32,1,293929165.760,722519862.200,172340.300,120131.650,30463.870,42342283.510,96333930.430,257493.610,1838578.510,420839832.100
512,32,2,288536503.050,701183033.720,165711.610,125107.780,31482.120,41387420.900,94949561.030,247563.500,1882879.920,419676374.650
512,64,0,321316499.850,766965885.350,128584.410,101056.150,32476.650,46971770.940,98841726.160,328187.480,8136583.000,459938270.610
512,64,1,322252551.860,763376890.150,132761.570,100761.330,32202.570,48111159.940,93589122.100,334652.430,7750892.910,443239921.350
512,64,2,324785945.600,752409715.620,129758.710,101780.170,33197.570,48008625.930,95173980.620,328621.050,7917405.090,457636811.960
512,128,0,356690454.590,840097745.110,213861.240,182045.990,35478.790,57648138.890,95851673.390,446533.850,14961944.160,492456939.820
512,128,1,354480950.180,831566998.210,211686.520,180270.140,35934.710,57592040.540,98571463.140,435229.390,15150562.500,494676556.730
512,128,2,350715583.810,832019331.240,213797.720,178941.380,35233.910,55968955.800,95449477.290,439305.690,14997313.700,484632989.080
512,256,0,415932028.050,964391679.800,358504.840,496494.620,44491.420,79686614.950,100144802.170,533447.440,29087190.310,581109293.540
512,256,1,419587788.070,974064349.300,363532.900,512461.160,42581.230,79663583.820,99494135.160,535981.320,29174905.490,577187633.470
512,256,2,420937252.150,973780477.370,379782.500,510104.650,42664.780,79281387.980,101339828.440,541381.480,29767200.090,585710367.520
512,512,0,615731507.270,1434610285.550,844298.510,2687228.420,53965.090,145336477.020,108062666.460,577563.260,75391397.980,865322461.170
512,512,1,617871663.290,1443021169.990,854577.450,2665134.620,54605.930,148044216.530,107852725.970,581319.190,75941280.260,852253425.730
512,512,2,604795964.460,1386119679.440,879683.590,2628281.260,54862.320,150455836.620,107772119.780,580284.880,74912468.290,878543858.140
512,1024,0,1005530878.290,2385141585.130,1870797.620,6792479.000,71045.420,265644773.230,123526612.360,576441.070,166809116.080,1431560091.210
512,1024,1,992298114.410,2328759698.310,1792632.740,6746711.630,69349.140,276281611.200,126230209.150,591170.140,172603711.440,1414821643.620
512,1024,2,1000082716.920,2488704255.680,1942880.640,7003883.150,68608.040,258728735.510,120196168.410,561210.910,164960968.260,1439814058.430
512,2048,0,1702062627.460,4033495136.940,3540762.840,11128360.570,94455.230,500697559.830,147087173.760,552586.910,321292071.140,2459134477.620
512,2048,1,1691557559.360,3989232235.920,3777744.630,11688365.520,111211.580,497167455.550,151821366.360,571108.550,334441384.690,2362077331.500
512,2048,2,1700045225.910,4033349582.100,3255409.860,11464555.480,96296.040,491420210.000,148980127.750,576435.620,349083310.810,2604606887.070
512,4096,0,3080450291.250,7334814086.040,7536976.900,19576687.940,431032.970,940817666.560,210150535.450,593963.730,701211228.730,4411234593.140
512,4096,1,2968725396.860,7222143401.870,6863283.930,19891339.330,437456.000,1007141948.760,210687647.140,586400.740,679865417.630,4715203133.580
512,4096,2,3038861228.720,7051364616.500,7224249.910,19084720.470,458079.060,895045974.710,208301452.160,590043.750,685913142.910,4318502614.850
512,8192,0,5770027194.050,13656124127.500,14379305.920,36522206.780,9478131.920,1993593784.460,332659421.110,643873.930,1354969688.780,8697556952.090
512,8192,1,5953628174.640,14709703296.170,15122636.280,36099526.970,9356642.960,1899339503.100,324347266.890,646462.140,1366147804.650,8992573006.680
512,8192,2,5909144664.000,14281902037.330,14529594.090,37520179.730,9460250.050,1891067629.590,323356448.460,619955.390,1412880088.120,8533244618.770
512,16384,0,11673777251.560,28500929063.560,42546725.330,77480172.550,35823965.050,3797450728.480,563596492.610,630890.740,2758403216.880,16908689346.060
512,16384,1,11817646725.330,27960240032.960,42785033.580,78656607.360,36107069.810,3758192724.770,555239201.360,671087.330,2776877763.470,17181674140.460
512,16384,2,11883274193.510,27663801980.710,44796138.190,80299872.800,35879913.210,3653539269.050,542833533.390,654924.680,2776106736.870,17531972094.710
