F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,41594441.400,86241855.210,379061.310,10582.950,8955.600,2980577.890,6503551.610,125276.920,3700848.860,49018455.930
512,32,1,40332285.830,82695094.320,367459.520,12100.270,4769.020,2990835.200,6582587.030,124169.840,3661065.680,49259044.290
512,32,2,40244718.210,84670167.230,314549.790,15928.190,4553.920,2905317.050,6488882.210,126931.220,3826462.460,49760808.740
512,64,0,81493662.160,204301908.030,531249.590,335567.930,10465.300,9518642.900,11090360.600,141872.040,12214096.650,117122615.260
512,64,1,80796398.150,207227643.540,534626.580,351774.130,10178.260,9463463.370,11261376.490,144316.630,12250973.060,118455538.460
512,64,2,80876699.200,206378664.500,520121.830,348931.130,10343.680,9544727.960,11067355.850,142317.860,12244198.930,119817037.080
512,128,0,136677597.870,364036389.680,887075.410,928175.160,17889.040,18574690.820,16584680.460,248976.130,23134717.070,204845141.110
512,128,1,136637040.220,366047158.770,889706.840,924252.970,18562.710,18885123.190,16608648.950,248331.450,23004372.740,207631323.050
512,128,2,135149000.980,361853691.130,861187.570,926599.610,18724.030,18402023.340,16531724.020,248327.870,23328570.610,206069672.580
512,256,0,239852859.720,682105760.780,1612261.340,3151777.100,38569.090,36430108.470,27521746.350,304687.910,45168689.300,381223090.660
512,256,1,239691716.050,665227797.260,1579005.190,3137714.760,38618.610,37128118.680,27774689.070,311834.270,45834376.770,383846319.760
512,256,2,235148492.570,666788853.030,1579341.580,3133797.340,36695.420,37105252.100,27550880.880,309907.460,45810902.670,378332078.920
512,512,0,459788753.490,1390794186.470,3130321.200,7582436.040,167667.060,79858880.340,52426211.540,293226.930,94645050.000,785741197.680
512,512,1,473385187.690,1405672631.490,3154662.500,7355193.000,161301.110,77823525.610,53283214.260,298896.670,98205765.450,783997734.400
512,512,2,468242351.810,1329222037.510,3152018.020,7618773.140,163533.310,80580365.360,51604263.810,295324.440,95882875.820,767732984.740
512,1024,0,946245183.070,2800602291.460,6328193.530,13839134.940,223953.030,161488909.250,102809144.120,287228.540,195784219.430,1585325976.610
512,1024,1,930222821.280,2746059732.030,6327413.660,14020067.800,218880.810,166252840.820,103486554.210,296294.680,196891243.470,1621602934.640
512,1024,2,952995126.830,2824322793.070,6326244.150,14384371.410,235094.810,158803057.230,100862418.200,282044.540,194591246.670,1521804701.080
512,2048,0,1830149633.100,5523289948.280,12607020.710,28362725.650,334317.990,330620687.580,201147292.970,282821.550,397007812.820,3166638774.090
512,2048,1,1829755955.570,5454207426.630,12421040.440,27751664.590,394946.860,318346069.810,201181018.330,289759.610,394771774.530,3165054348.400
512,2048,2,1830251067.330,5358517438.640,12423273.800,28393114.430,329738.690,320353371.450,201151073.980,292469.510,379726782.560,3166655509.390
512,4096,0,3679786102.800,11097712145.330,27230760.410,60948895.960,8067157.870,670948653.200,391799301.960,354452.660,776365821.680,6376323366.560
512,4096,1,3692105598.300,11418229406.880,26558423.250,61405231.450,7987204.310,660917704.370,385306093.260,337760.230,777173159.280,6240308494.850
512,4096,2,3614792399.420,11058309866.080,26653115.170,61501538.830,8193051.460,672321475.020,395592912.970,355438.270,803385738.820,6143123027.020
512,8192,0,7378740035.010,22082693582.610,102846629.130,117135109.010,39865920.760,1353504364.240,790969271.860,364282.540,1576754126.530,12641644409.190
512,8192,1,7404620398.810,22127372262.270,102970635.750,150470111.020,43996510.500,1644349751.780,793317241.060,371459.640,1579793445.150,12637213925.770
512,8192,2,7013744484.510,21235200073.590,121177502.420,110856646.820,45089440.030,1413933285.900,791907715.070,369274.870,1576769321.220,12685857405.160
512,16384,0,14191167390.000,47703199748.910,218018253.120,226521054.310,118283073.660,3001455453.140,1709722034.730,391313.860,3117324113.490,24836491430.500
512,16384,1,14455051383.880,41814688088.300,234152098.260,226635299.700,124891029.910,2996110576.760,1554056068.290,386757.390,3169099888.910,25638217201.930
512,16384,2,15123793740.380,42207071409.790,217729203.730,232844138.970,137755182.160,2787718429.050,1713579317.000,372474.710,3168994167.120,25244746323.260
