F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,37211137.740,80050367.130,319390.130,11253.210,6192.300,2797238.920,5950577.970,97604.530,3888479.920,47218466.990
512,32,1,36756155.290,79736770.090,326902.300,11825.640,6153.610,2936928.940,6179619.770,96032.470,3689033.050,47196974.900
512,32,2,37830254.240,81934900.420,321443.130,11765.420,5950.350,2806906.540,6005431.380,94940.080,3671220.950,46871574.660
512,64,0,79076239.950,202657877.770,530869.990,70166.820,10968.270,9521125.190,10665523.170,111864.580,12064180.000,114837718.610
512,64,1,77896607.900,198228221.220,521221.800,70848.550,11030.440,9418384.710,10785177.000,110786.500,12219713.600,116364027.600
512,64,2,76938580.780,203738074.290,521541.340,72710.540,10602.290,9424301.980,10822948.640,110761.920,12289596.760,115149958.010
512,128,0,131329923.450,356323835.660,874565.400,892246.400,18867.710,18343238.390,16290342.180,220168.770,22985894.220,204502332.230
512,128,1,130200794.940,349064409.060,838391.760,898906.470,19633.700,18434474.800,16192686.450,222944.030,23682190.690,205717967.840
512,128,2,135014789.150,365251454.740,884910.580,892379.940,17681.130,18124690.410,16117045.380,215410.670,22429262.610,197536514.250
512,256,0,234752600.550,674053643.440,1584314.630,3204091.490,35905.460,36468306.510,27255519.800,282843.550,45080894.710,384138358.310
512,256,1,237141279.090,685959126.100,1624593.250,3320281.590,34995.770,37827269.420,28271764.590,279542.100,43657413.850,372428637.480
512,256,2,237973097.690,663181039.250,1547710.700,3216307.850,40578.730,36243638.380,26958473.890,284200.010,45314507.110,376155336.420
512,512,0,465250429.070,1356144811.250,3155976.170,7444583.860,81656.450,78766299.850,52661913.300,279904.820,96001448.060,780020532.590
512,512,1,461422745.030,1363217341.830,3148074.490,7590400.710,91722.530,78424461.810,51433535.840,274893.650,96697102.450,775849909.100
512,512,2,469669875.700,1383197446.720,3199882.660,7292757.390,85535.970,78561475.920,53133068.990,270744.930,93461302.190,779884677.030
512,1024,0,947032948.890,2860534950.410,6526300.400,14075333.440,235567.480,160444141.190,100151676.340,272158.650,194582182.880,1591070798.950
512,1024,1,938220489.120,2883014371.520,6493619.940,14102424.190,180738.640,162562656.240,103506223.500,271025.320,200332527.380,1624430651.500
512,1024,2,929933627.460,2697422738.860,6236735.780,13355960.220,229175.100,158598239.710,102746148.850,275843.930,196771310.680,1593286975.390
512,2048,0,1824758741.280,5504865635.670,12793878.560,29062602.510,384785.730,321777229.030,200087203.470,261583.090,386170396.910,3127136358.060
512,2048,1,1826971960.820,5586117199.050,11381696.910,28573062.050,264833.380,326911288.980,204908702.500,274661.790,431616713.770,3180546644.430
512,2048,2,1821511631.500,5588863658.120,12738875.040,28370388.200,378871.610,325389102.700,196658871.830,264388.810,380335700.880,3166334211.230
512,4096,0,3678500116.120,11220153408.440,26816786.550,59935866.990,8446350.590,671324933.220,392350583.500,322611.940,782692032.340,6307707417.320
512,4096,1,3591584579.620,10923352235.740,26573638.180,59714828.180,8509984.850,686940493.000,390364345.480,329818.210,794172485.410,6306738543.650
512,4096,2,3657222833.100,11241653520.830,26626863.100,62293187.090,8372432.590,674107651.630,396862190.340,338516.320,776819141.870,6307623154.670
512,8192,0,7393740129.110,22098796837.770,111375933.160,128422080.490,43703391.190,1424153329.240,792793655.450,343306.570,1626610150.720,12658217785.200
512,8192,1,7390307338.990,21811028417.220,108448299.000,108078246.490,43859867.010,1420276078.330,791982661.640,341284.480,1650500260.900,12637943317.610
512,8192,2,6822668017.580,21497991406.590,71953982.890,126694808.190,43937006.850,1424114839.580,791872201.510,329608.720,1613074208.720,12541277828.910
512,16384,0,14836561025.540,44425406591.610,207798993.030,244018708.060,119063524.940,2897410900.190,1580954215.710,347770.380,3140803988.030,25390933138.720
512,16384,1,14732367441.230,42627528585.730,211990604.240,221312213.060,118883546.890,2913749446.550,1581387672.260,354166.860,3168710063.290,25349188442.780
512,16384,2,14364915131.100,43634666665.660,228226332.380,232530185.240,119275786.320,2842745679.300,1581567166.510,332588.010,3168716317.010,25080644801.130
