F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,21622819.890,31569880.160,174890.050,10916.570,6798.260,259809.090,4242409.330,89963.230,404685.760,19090911.730
512,32,1,21746812.330,31504882.450,174841.320,11409.070,7032.790,281119.410,4301543.510,89317.770,403313.740,18522013.960
512,32,2,22717221.090,31632948.520,174506.090,11687.260,6655.680,267131.170,4118205.860,88459.320,390253.540,18699830.630
512,64,0,27752481.950,43729178.730,102589.700,41635.430,9684.850,1557566.390,4410365.070,147948.820,1427098.000,26550296.980
512,64,1,27420935.110,42724995.790,104095.210,38977.330,9737.150,1565781.640,4237433.850,153459.780,1446576.010,26394460.070
512,64,2,27333782.070,41719174.700,102472.150,41308.370,9752.740,1565463.990,4367413.040,148545.450,1415160.370,26529394.140
512,128,0,36161413.920,64319705.020,173249.320,60688.360,14373.780,2711897.960,5533607.740,207904.500,2742670.080,37510925.000
512,128,1,36744978.860,62762925.300,170372.790,62600.230,14098.210,2652410.120,5402710.340,208225.170,2785493.470,38409397.020
512,128,2,36607858.520,65182678.200,171467.650,58685.510,14949.680,2766127.450,5461712.760,206749.860,2709945.070,39307434.700
512,256,0,49781002.600,100177460.200,279811.510,279471.030,23708.390,5640609.310,7076871.750,254487.160,5128404.080,59278371.450
512,256,1,50450060.050,98372413.520,268814.060,281039.250,22989.340,5495194.470,6774200.520,241485.600,5041462.840,57121895.220
512,256,2,51103801.350,99232098.980,267249.940,272783.590,22305.370,5661796.190,7132404.240,245064.230,5055641.000,57520365.340
512,512,0,89077498.240,210000485.430,533091.810,1132764.640,43017.490,13702223.410,11178080.240,270730.410,13074985.830,121115119.240
512,512,1,91262244.020,212423269.280,539396.880,1116363.060,40937.660,13972183.230,11129087.690,270392.990,13158134.140,122745042.780
512,512,2,89931267.630,209374566.730,538041.750,1123965.730,43565.920,13503481.080,11119678.020,269058.760,12991975.260,122668355.700
512,1024,0,164920045.290,437711762.470,1045391.860,3210831.030,69625.920,27742226.200,19192284.170,270900.750,29027155.100,250431573.760
512,1024,1,166543282.690,439035379.940,1060713.970,3133052.260,88656.670,27511288.830,19041940.940,275327.580,28771295.030,253561534.270
512,1024,2,166536375.240,431884181.530,1062469.240,3177751.550,78492.400,27573673.960,18979957.340,268108.510,28825585.800,250132422.970
512,2048,0,298152190.070,845625189.670,2015081.130,5890624.020,111753.400,51351317.740,34118438.350,266828.750,58418429.240,488290489.490
512,2048,1,294580473.750,840300482.820,1959898.060,5993449.420,117770.760,49129443.580,33886498.690,265548.750,58855834.800,489768025.360
512,2048,2,304300100.520,852760213.680,1975221.290,5837914.410,117328.020,52292884.720,33964619.580,276097.190,57346210.730,487945941.360
512,4096,0,554632975.440,1602975259.030,3880840.430,10025674.120,285840.730,97312084.260,62820685.790,272303.630,118828953.230,937962761.380
512,4096,1,559140249.350,1674290148.540,3933759.290,10277840.150,232050.420,97610666.460,61346288.330,268339.370,116638402.880,960265855.280
512,4096,2,548319541.370,1616800134.830,3842967.910,10233268.190,276174.440,103248537.110,62515063.360,273736.510,120541521.580,923449963.730
512,8192,0,1122163434.550,3356477468.530,8019344.020,19581861.720,2413383.420,208510502.550,122661521.880,276930.390,232407249.770,1881900783.490
512,8192,1,1075791768.940,3208139599.480,7520815.820,18729157.230,2232245.290,198750546.170,119890353.010,281592.450,242628830.270,1936925495.200
512,8192,2,1085647155.850,3201059185.640,7824263.420,18678930.550,2333999.370,196811147.650,121159977.270,289302.080,240770001.320,1885453419.080
512,16384,0,2241451870.100,6501196450.110,23716402.390,40107630.370,12504262.850,451522594.000,242220683.640,308300.990,475901850.480,3754499288.590
512,16384,1,2239612481.130,6776346395.380,22359704.560,37613706.810,12531883.350,428851323.490,239447223.840,304955.020,479525993.680,3887717089.120
512,16384,2,2240995349.120,6602144127.260,24760754.710,41412434.180,12550120.380,462521790.830,244062948.060,306534.110,457966921.200,3763526506.690
