F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,21970849.180,31771709.470,175008.980,14433.300,6988.620,269763.920,4444820.490,92091.550,409774.260,19910996.010
512,32,1,22452433.200,31982542.070,169823.090,14969.910,6658.990,287727.340,4431091.310,93609.710,405941.830,19335636.620
512,32,2,22963489.580,32549773.920,181729.160,14654.570,6869.540,280299.220,4544803.460,94049.760,425853.910,19512273.730
512,64,0,26399393.080,43466163.860,106449.430,34902.510,9766.250,1575570.470,4307533.480,152926.130,1485940.980,26232760.780
512,64,1,26441080.020,43265832.160,102498.660,32847.500,9544.840,1526034.050,4188170.680,144421.610,1430733.610,25826645.890
512,64,2,26882254.840,43561070.880,103509.510,34131.990,9892.060,1615090.870,4239723.660,150216.440,1420661.470,26659587.380
512,128,0,36577580.840,63863004.830,171627.400,107211.350,14484.010,2687835.980,5242704.230,197076.790,2679310.620,37036030.120
512,128,1,36375553.790,61705083.930,167257.270,107806.240,14802.510,2807495.010,5309575.400,195356.710,2663557.980,38261390.400
512,128,2,36167775.420,62392966.490,166796.440,107139.960,13947.770,2831887.380,5404226.310,191447.870,2618969.000,37780419.580
512,256,0,50391664.460,97993760.930,268134.220,244864.680,23483.270,5333462.750,6679847.130,231511.860,4977944.320,55876482.910
512,256,1,49595998.180,99723689.860,274525.270,245593.710,24051.250,4986523.730,6455596.690,224017.710,4878729.200,56427380.760
512,256,2,49175748.860,98035756.700,264228.780,245201.740,23643.360,5051656.640,6345716.450,223195.740,5094340.110,56815285.400
512,512,0,89402245.550,207922977.830,532271.400,1090922.340,39925.460,13278001.160,10782897.600,261627.470,13364892.780,121533034.900
512,512,1,87566687.070,207887764.180,531217.190,1134058.070,42030.610,14236767.240,11137789.680,260666.440,12952939.530,112899096.800
512,512,2,85357193.630,211111300.550,529430.710,1082622.300,43072.200,13621007.380,10815717.770,261390.070,13005857.770,120777051.400
512,1024,0,162044949.590,428680150.920,1034223.750,3110315.090,97077.820,27913157.220,19022361.200,262848.220,29050642.440,249214200.740
512,1024,1,160966306.930,429817684.850,1039445.840,3132766.110,75451.810,27616849.100,18828767.830,256725.080,29060905.480,248143483.080
512,1024,2,163968696.720,429479381.290,1039661.320,3163800.310,83467.120,28094800.370,19112823.330,262220.290,29181646.920,250452576.110
512,2048,0,295410729.790,836484603.580,2007416.120,5754410.760,114884.270,51855605.100,33476692.300,264262.440,58908040.500,480038038.090
512,2048,1,307891377.310,847429883.680,2021116.470,5953350.740,118598.120,47411641.440,33895871.190,254067.020,54637026.440,478007755.380
512,2048,2,278230595.920,817903116.090,1756325.010,5682258.630,109868.770,55994387.240,34901682.400,258744.140,63476861.910,484345494.800
512,4096,0,561002344.230,1662308667.960,3872607.590,9959983.750,245097.270,98216678.100,61943631.360,256191.700,116699128.780,932930104.400
512,4096,1,557652384.410,1686310732.370,3796474.790,10153052.020,245371.790,95595125.750,62180369.330,259881.180,117076166.530,938710741.090
512,4096,2,578655596.050,1651493404.440,3902673.980,10624387.900,221306.140,96796813.870,61298297.970,257258.720,116574643.420,978535032.430
512,8192,0,1108578244.910,3294542928.510,8160306.810,19524425.670,2397637.940,204855184.560,122469509.840,269116.340,232908713.320,1909872928.580
512,8192,1,1111915446.700,3304951495.320,8011952.160,18185014.240,2343549.990,206710012.060,121226528.580,263042.110,232527712.810,1952295022.750
512,8192,2,1114550833.620,3310984668.930,7490723.890,18979902.540,2290996.360,206204271.920,119671394.920,266083.950,238517901.430,1839457108.810
512,16384,0,2192321832.270,6424113886.700,22940059.860,39121420.040,12774270.310,451279801.050,245180541.500,306519.240,490377928.040,3789944639.850
512,16384,1,2279574957.110,6745978914.540,22994613.990,39106390.630,12778721.270,415145986.740,231492251.560,292216.670,475139292.560,3784931613.010
512,16384,2,2129160830.840,6335584153.950,21861201.800,39163572.430,12784386.870,448334177.020,242352003.190,284494.410,472969014.430,3811947721.670
