F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,11962389.810,21618350.670,354073.140,51101.990,5913.410,507281.220,3293962.810,88559.430,3701148.770,5840474.450
512,32,1,11678049.450,22531679.140,348906.080,52233.040,6122.520,468057.430,3324381.640,86472.930,3717108.630,5886607.690
512,32,2,11433544.920,23351252.000,351405.890,54168.510,6139.780,515119.360,3443050.990,92814.460,3763771.190,6099880.490
512,64,0,25395717.010,52168110.840,534006.590,123422.090,9919.050,4745458.650,7646517.740,101091.760,12624099.570,14313059.930
512,64,1,23912182.890,52535720.750,530013.910,122911.570,10519.610,4482751.040,7697600.510,102088.820,12375719.730,14256330.970
512,64,2,24795714.960,52650120.920,521466.110,123118.240,10338.830,4674726.280,7776024.490,103235.540,11588086.280,14907419.980
512,128,0,45143196.910,90409775.090,892068.870,869349.610,17307.460,11446758.170,12876969.670,206907.580,22472550.070,25246868.230
512,128,1,44457126.820,88160140.070,865458.160,865187.010,18473.200,11733505.140,13077661.730,208402.870,23410235.510,25568154.000
512,128,2,44835426.990,81801680.470,894207.710,899143.460,19218.400,11579525.540,13013272.150,202005.100,23821595.400,24713599.690
512,256,0,88953445.770,167419904.000,1586871.520,3142567.000,35077.440,30401751.810,23803093.820,201128.610,45577982.200,46889858.160
512,256,1,89757358.940,163895247.510,1586261.110,3044745.270,36805.540,30519528.990,24122904.130,205838.460,45369980.780,47689215.740
512,256,2,90014358.190,162860726.280,1514073.620,3073433.260,38333.600,30479425.270,24401182.160,203614.370,44574046.160,46979788.830
512,512,0,192285186.110,347726118.390,3194768.940,7497347.370,210474.040,74164030.910,49518999.800,205205.750,95464574.660,97525352.940
512,512,1,190235539.980,345087628.860,3164265.740,7475278.720,211295.690,72532765.800,49489216.310,202492.030,96261975.900,97870141.440
512,512,2,189612939.830,334118795.060,3107700.380,7724533.620,195428.300,74375000.280,50209101.510,202890.710,97138512.250,96632723.330
512,1024,0,397249060.480,700431729.950,6260295.340,13673720.490,1140136.880,161171244.360,100395116.680,206837.310,197645140.920,199303551.530
512,1024,1,395449909.320,704278694.030,6422070.260,13645654.690,1071339.710,162159121.240,99158264.760,202268.070,194680893.390,194031375.260
512,1024,2,396894349.840,697257132.410,6235654.810,13868786.220,970688.250,159633233.020,99447947.210,208579.840,199117706.380,196235319.050
512,2048,0,778104949.840,1362976095.490,12090578.240,28063807.820,308412.130,323369502.570,201021094.270,202469.750,400532453.970,397008121.570
512,2048,1,800356662.280,1430696012.440,12481247.090,28535217.950,319102.420,322450689.850,194578834.320,204131.010,390222973.070,397897976.930
512,2048,2,807670422.190,1406448158.790,12155258.250,28317392.520,313259.210,329501893.500,202061109.290,202977.300,411459621.510,394615633.690
512,4096,0,1591241379.090,2619787089.010,23955094.050,67153468.730,9077638.270,566275576.490,394337455.630,215528.360,843463362.420,785368300.820
512,4096,1,1597122669.740,3827760660.660,24943276.990,77239585.250,10184040.880,706755673.790,391831383.740,213193.620,814476716.950,784418316.160
512,4096,2,1591604142.380,4041797381.810,27781718.800,60676463.790,8759923.660,927322333.140,392102981.480,211669.430,780757949.940,788714777.690
512,8192,0,3162882710.660,5582234365.860,95266680.990,111296899.850,51460942.550,1392253694.960,782752981.890,236486.180,1618525159.040,1543264805.800
512,8192,1,3229413770.360,5777162543.450,96656745.140,114798291.640,52139836.270,1393145131.620,773590976.010,240036.090,1587607637.850,1529618277.670
512,8192,2,3308805480.960,5632614954.240,97348349.470,115674857.840,50637847.470,1389974651.960,788747957.680,243635.280,1592386312.470,1612758758.940
512,16384,0,6516638724.770,10635506863.380,198864849.280,223447125.300,136796880.190,2834213347.870,1567381661.270,323803.050,3106272555.810,3156667268.190
512,16384,1,6505182111.910,11078323726.800,202827264.600,224333081.430,136146845.440,2830888038.900,1578706428.780,323344.240,3097992488.800,3157498650.480
512,16384,2,6506468181.410,11080482381.030,198668516.340,231522623.580,136217103.400,2830813155.970,1578892722.900,350125.160,3388435181.060,3117401458.570
