F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,9707370.970,20348907.510,318873.300,9971.640,5741.070,289009.440,3054092.150,70993.700,3787719.360,5634523.020
512,32,1,10048649.120,20517735.610,325653.820,10097.780,6183.860,337273.760,3051071.170,67480.310,3627549.540,5551013.260
512,32,2,10266146.370,20421927.040,341099.700,10002.810,6141.870,297908.910,3003361.200,70093.350,3829991.140,5607947.430
512,64,0,23728452.060,50794645.790,529731.060,149695.920,11254.600,4389586.710,7469452.150,84790.960,12254062.320,13745962.620
512,64,1,23395443.610,50928569.360,533919.750,149713.640,10268.460,4442163.440,7443974.780,83153.140,12327153.980,14176721.580
512,64,2,23533265.310,51009985.260,532289.030,153439.200,10178.170,4430339.240,7461152.340,83717.130,12080791.350,14512244.430
512,128,0,43667582.860,89469229.470,878186.020,772272.750,18264.130,10734173.230,13634184.610,190656.290,23239525.000,25442030.650
512,128,1,42969516.490,88321624.730,874442.630,777649.200,18440.780,10804880.000,13577247.130,192735.980,22508251.360,24585544.780
512,128,2,43881601.450,89912595.910,882484.230,823136.370,17355.150,10889587.720,13576982.470,190322.090,23523589.880,23970060.610
512,256,0,88601184.340,167273843.260,1565049.350,2956532.950,37719.570,29681644.530,23705498.800,192706.890,45823111.330,47202835.050
512,256,1,88144288.780,165887219.880,1542098.670,2965959.300,35859.060,30414906.360,24233404.640,193744.070,45462422.080,47050759.590
512,256,2,88028617.940,166111692.920,1562435.970,2917682.870,35013.420,30024162.520,24050501.810,191132.510,45673073.920,47779044.490
512,512,0,189892019.820,336809497.290,3097650.980,7477182.740,84327.830,73750249.550,49286001.060,197319.250,96891318.510,97181101.320
512,512,1,187916121.800,342857886.100,3142968.170,7431160.050,84686.270,74049743.420,49477175.380,190920.770,94862906.200,97276637.300
512,512,2,189832730.740,342848552.350,3155323.020,7631701.080,84719.870,73321550.160,49046975.680,196029.620,95500267.680,97628023.840
512,1024,0,398403802.180,692443026.930,6441848.310,13710491.260,1102120.070,162487995.490,100488990.740,193658.420,196066528.530,196663045.440
512,1024,1,381366315.800,673971474.360,6108891.110,13089133.150,1209594.750,161825623.230,98336362.530,194432.490,196960829.140,203340382.770
512,1024,2,423829045.780,736438680.590,6516333.600,14087744.220,1158394.160,165656646.740,97196146.400,201962.720,194357573.700,188556010.020
512,2048,0,786204038.610,1372525191.590,12777883.150,28097854.830,297619.660,320767464.220,197606143.670,203141.000,394052956.910,388558969.240
512,2048,1,786421909.280,1404414427.240,12490796.150,27832954.840,301706.950,327911972.230,199409164.410,196152.620,391617975.190,401661603.050
512,2048,2,786111692.740,1388923596.820,12715761.560,29060962.940,303046.300,332823067.650,197684077.150,206348.860,403985676.230,404085019.110
512,4096,0,1580383054.300,2757702682.620,25232386.610,58140852.720,8736313.810,657095810.390,390544268.480,210555.040,783425268.620,774231160.490
512,4096,1,1571935118.660,2866447407.420,25337842.910,58688089.440,8840390.130,668220274.470,377287184.510,210646.610,809485339.420,807699756.020
512,4096,2,1567086245.830,2676949421.170,25652711.550,56785362.130,8551105.540,686298675.610,397423470.700,212451.360,781297703.750,769672109.320
512,8192,0,3208177245.720,5418334552.990,94516873.690,112392741.750,51994551.260,1431686857.610,799111328.820,216317.480,1587350934.910,1598661972.700
512,8192,1,3226906158.640,5543471087.710,98062713.920,116654183.160,51495722.450,1363585802.660,775735677.220,219051.290,1619872812.650,1593595453.360
512,8192,2,3272808301.040,5281440887.380,95717891.000,113809208.130,51099443.420,1428088887.780,798105093.990,227718.530,1634159431.530,1664415408.740
512,16384,0,6457302694.520,10690092493.890,194060554.320,219262246.950,132151258.810,2819158042.090,1536621562.270,246657.930,3167883080.050,3141549835.320
512,16384,1,6490809840.040,11204027803.610,213479436.780,229350621.270,132835331.900,2824215255.660,1596018011.990,249603.510,3276761724.600,3167996451.580
512,16384,2,6425193646.890,10771596951.580,218639051.460,211627197.570,132631320.110,2825177936.350,1451497562.460,250468.910,2910880394.570,3190008132.090
