F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,4606362.790,8476644.280,186045.300,95308.130,6127.880,201685.200,1331988.610,47322.990,384826.520,1918892.590
512,32,1,4468929.910,8154739.330,177016.490,88496.790,6707.540,213312.230,1424870.070,51891.140,386547.040,1855444.270
512,32,2,4855523.610,7513649.140,186368.680,88026.390,6336.820,253599.990,1343882.600,48571.670,401357.720,1814009.270
512,64,0,7732387.890,11244137.880,130982.620,39680.070,9731.370,565052.820,1731666.340,106079.460,1389691.880,3027327.910
512,64,1,8056688.360,11171255.870,130528.120,39508.430,8927.500,621483.580,1743196.420,107285.720,1415058.660,3009536.540
512,64,2,8240032.240,12237678.990,132478.500,36179.810,9646.730,463279.220,1861366.170,118249.570,1494652.300,2969843.990
512,128,0,11142440.770,17252230.270,204609.140,120552.960,14261.430,841355.390,2502070.360,161965.990,2646769.090,4455086.610
512,128,1,11460019.500,15868442.500,210624.910,123252.280,13600.470,885973.670,2582637.260,154021.990,2670883.950,4670702.480
512,128,2,10010820.280,16302172.300,216813.600,119299.220,14964.510,806819.610,2620107.480,163812.890,2641689.690,4182466.610
512,256,0,14901217.810,24302739.620,295865.420,243022.340,26112.810,1926775.360,3704805.940,172875.750,5086674.270,6901862.980
512,256,1,15635622.580,25252727.160,311149.230,235041.830,25141.010,2210214.370,3911744.160,187765.110,5163878.220,6731760.640
512,256,2,15013807.480,25857660.650,299114.010,245576.580,22521.850,1979111.160,3888332.800,177899.060,4985244.090,6729691.660
512,512,0,30450571.680,53117142.860,566945.830,1166202.850,46125.890,7887239.470,7932894.890,196338.350,13022969.380,14969145.750
512,512,1,29603044.780,53388296.720,562297.120,1103885.530,44385.990,7612450.880,7734596.440,183899.600,12671461.620,14703114.010
512,512,2,30739696.870,53460972.700,541264.450,1125646.930,44326.440,7793987.980,7871772.810,194951.720,12831134.870,14515821.990
512,1024,0,65074727.860,105857872.960,1061700.340,3063631.130,81772.710,21548353.580,16069550.630,195194.200,29254039.450,31462710.380
512,1024,1,61286898.610,109211926.770,1090733.770,3165569.070,83845.840,21798847.140,16274254.700,197807.560,29173506.630,30126776.320
512,1024,2,62683505.430,116132663.970,1061448.750,3165616.580,85078.270,20436959.730,15357966.440,197870.120,29413295.240,30751914.560
512,2048,0,121019895.410,211489097.260,2023699.810,5889122.910,131336.250,45173066.560,30492616.870,190270.300,57980509.330,58329146.410
512,2048,1,117320795.530,202797301.240,1984342.360,5831468.310,129721.090,44531514.750,29780113.490,200157.100,58729001.560,57464241.910
512,2048,2,120681925.930,224440960.740,2128496.060,6370657.100,133895.430,43030859.850,29937422.120,193305.540,57976803.770,59942240.830
512,4096,0,234231354.350,408581116.150,3764852.090,10193627.260,273298.220,92050677.660,59189054.860,197017.300,116235114.100,115644690.210
512,4096,1,234570661.290,413233972.060,3892156.620,10023851.560,261464.600,92964282.250,58673204.830,198948.410,116353972.100,116898852.650
512,4096,2,234393608.830,412153463.580,3849741.220,9723521.450,264921.180,95732033.540,57063101.620,188556.530,117565713.950,116892250.000
512,8192,0,477239974.420,829943791.110,7776407.070,18477948.180,2333818.990,197325827.460,118389885.730,201747.590,236691595.920,234695463.740
512,8192,1,477879322.100,830512908.720,7588967.050,17951211.220,2394742.060,200057893.200,118272898.540,199547.780,237861547.230,235592293.240
512,8192,2,477228150.930,829863675.720,7687496.030,18321768.930,2482777.790,193452267.260,118684147.200,197889.610,241253577.640,234839104.910
512,16384,0,962076341.610,1687891538.370,21815081.670,39680679.770,13166553.880,409470076.110,236878529.890,203939.910,477564592.800,480599060.740
512,16384,1,966358986.860,1697864521.890,21276936.670,38704346.500,13072509.430,428756202.500,232204892.170,205398.110,474703825.620,470810055.200
512,16384,2,981490142.220,1690249214.580,20318035.140,38862653.470,12608492.710,404355546.200,228332842.370,208316.080,474440870.180,470335586.650
