F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,4907097.970,8374511.140,185088.500,7633.680,6265.190,253256.440,1453660.450,53025.850,399631.500,1995750.270
512,32,1,4451539.690,8617853.810,191327.660,7769.280,6391.220,243151.930,1487910.850,52415.190,442858.760,1959588.660
512,32,2,4903343.630,7846610.480,183250.680,8406.130,5871.760,227363.760,1311935.520,48449.000,393130.860,1843243.850
512,64,0,8235932.700,11573564.470,125964.740,65978.560,9063.540,579446.430,1773400.410,117607.510,1474910.790,2991570.100
512,64,1,8074426.000,11523374.530,129358.600,66388.030,8743.700,556410.550,1772165.020,117235.960,1446676.910,3000706.090
512,64,2,8233197.050,11141734.620,136798.800,68988.460,9616.340,439872.940,1748115.040,110702.450,1414876.810,2916824.870
512,128,0,10510717.900,16129292.630,197345.200,103911.470,14548.930,710783.310,2409603.640,155690.200,2744154.750,4240877.690
512,128,1,10887211.380,17115888.070,198192.290,98801.080,13048.270,799516.540,2637268.500,154043.370,2566449.380,4260491.950
512,128,2,10877635.400,16090269.370,216816.480,101417.080,15641.650,976355.570,2517398.010,168285.770,2739080.890,4242692.820
512,256,0,14967444.810,24779666.180,290080.500,283452.130,24218.760,1795606.510,3671999.400,172178.680,5066832.310,6682938.080
512,256,1,14488607.460,25076404.350,301512.030,305436.490,24605.550,2095132.140,3791229.410,177081.950,5318715.840,6903710.480
512,256,2,14498747.180,25703950.990,305877.000,286556.440,24658.820,1886980.100,3603233.690,169604.850,4991937.730,6606587.630
512,512,0,31051320.210,49474460.580,556686.810,1149865.570,42589.880,7317143.950,7775918.370,193102.140,13094498.610,13573140.520
512,512,1,31836437.660,52066530.310,551073.330,1144492.230,43581.790,7477075.160,7694329.700,182238.630,12404948.700,14833767.710
512,512,2,27792521.740,51180179.510,525223.980,1117647.080,50101.520,7905604.610,7885608.970,193329.770,13782743.750,14999906.880
512,1024,0,62559480.310,109441685.100,1025024.670,3118710.360,78000.440,21345214.520,15783254.930,188986.510,29380046.090,31495200.860
512,1024,1,60493670.840,108101453.520,1037194.170,3131285.240,84526.910,20571372.040,15699266.600,191830.640,29081228.580,29703381.440
512,1024,2,61711159.710,105830076.240,1051090.680,3159875.450,84059.670,21810237.960,15732357.220,189502.570,29463463.360,30957613.550
512,2048,0,117989558.930,216339898.090,2097331.110,6176964.710,124045.290,46692717.640,30089238.830,192709.960,56245454.800,55146756.230
512,2048,1,123696555.100,221518563.190,2132058.040,6279577.800,115370.280,43954094.650,29152059.120,193414.740,56305168.120,56664441.620
512,2048,2,120649562.770,208456585.840,1946321.760,6132121.690,142687.930,45285372.880,27865774.790,189516.900,56212867.180,59790544.040
512,4096,0,232662229.230,406629842.540,3744125.530,9439093.010,323848.770,90606911.040,57815182.590,187198.230,114201718.440,115057355.510
512,4096,1,238813270.180,427403538.390,4005141.910,10084908.590,321684.750,93377576.530,60934504.860,193006.940,113729795.630,119514006.830
512,4096,2,234026350.540,395273083.470,3765313.720,9961977.510,289438.130,91385608.860,59239510.460,192520.670,116030152.130,116426334.360
512,8192,0,482507038.320,822431382.720,7659050.170,18187383.260,2571110.340,207861266.600,117709110.480,190745.020,235439774.500,239510132.260
512,8192,1,473045016.560,857326706.890,7681084.290,19327394.230,2489715.620,202433610.520,119133432.610,200870.520,232859420.870,239741213.100
512,8192,2,470733590.070,819191638.970,7693063.640,17886997.570,2607857.820,207065498.370,119485527.850,190560.270,240656041.060,232926703.280
512,16384,0,968715596.650,1663527718.770,21545023.140,39005486.480,13021639.510,414558448.490,234862012.120,198310.450,473475892.170,471518124.810
512,16384,1,969179533.120,1663267668.720,21506410.860,38531352.780,13181206.200,419357687.460,247781099.900,195636.500,478002911.730,471534513.920
512,16384,2,967718018.580,1663009122.510,21211874.750,39686251.080,13322542.790,415194727.240,234572947.070,200234.390,474351117.050,471449070.160
