F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,14543167.090,22993575.880,354254.350,10653.150,5970.240,1976095.170,1915297.740,88754.380,5498525.740,7472744.310
512,32,1,14269841.220,24064223.050,365279.730,10340.130,6160.960,1869936.840,1882862.160,87369.200,5583691.360,7564024.560
512,32,2,14886250.360,24169734.370,347948.430,10666.300,6117.470,1987641.080,1918410.040,90718.680,5553463.530,7482038.550
512,64,0,29475457.940,50276921.170,537177.470,291581.750,10312.370,6897502.820,2575101.410,93940.060,13898608.770,15977040.500
512,64,1,29011868.490,50685566.470,533997.100,276877.240,10496.680,6900200.840,2651406.910,93263.690,14285424.120,16343262.590
512,64,2,30362714.580,52498494.340,561235.150,295335.380,11922.250,7092466.600,2640234.590,95678.870,14377430.420,16233172.210
512,128,0,48587815.590,82217963.730,884685.740,976611.980,18525.800,12640163.110,3374007.870,150688.920,25080845.170,27165984.410
512,128,1,48192623.440,81640159.110,881682.860,1004730.420,18418.540,12414682.260,3252712.620,156971.850,25399454.340,26597158.340
512,128,2,48372217.170,79674478.170,867123.870,962347.280,18417.000,12468197.920,3382026.170,155089.440,24583839.940,26818033.260
512,256,0,87361051.310,149597683.750,1562033.510,2919161.780,37722.040,25498153.250,4640504.160,168560.580,48230245.270,49469782.180
512,256,1,85950900.220,151918366.240,1621151.560,2972247.960,37725.370,24847720.780,4698973.750,164447.350,47179360.000,48499206.210
512,256,2,88973736.420,148399802.030,1596619.970,2835248.670,37505.610,25486413.340,4768204.100,169169.020,47774473.370,49203106.010
512,512,0,175196313.900,296647597.650,3077817.140,7509466.730,107646.250,54037349.690,7941080.770,185892.140,98796563.570,100947346.190
512,512,1,177307061.090,303413680.800,3215256.320,7636777.520,106967.670,55484188.070,7996719.290,186177.090,97798134.990,99102893.680
512,512,2,174909570.190,294586033.720,3157065.490,7525908.550,111874.850,53962640.050,7978487.230,189297.290,100032116.800,97988541.130
512,1024,0,351514429.790,602260717.410,6429739.950,13744978.680,177602.140,112335630.550,14721155.530,207505.330,201645864.000,200464293.340
512,1024,1,352006436.180,602963664.450,6625085.310,13760120.630,162041.130,110410321.680,14329960.730,203482.200,200875494.640,200237586.820
512,1024,2,352112747.890,611809232.520,6321791.370,13757296.980,202352.360,112881829.170,14389954.140,201090.380,199292597.690,200593640.960
512,2048,0,721412308.200,1114831640.660,12936556.020,29537770.820,485298.690,248950649.180,28744885.500,203462.300,396028100.950,402831528.350
512,2048,1,811688608.900,1262818832.730,12659420.730,28436856.540,338070.080,213230289.130,23395066.280,182810.850,341152150.110,380486238.520
512,2048,2,685598539.160,1031296420.870,12109327.390,26378377.960,355106.200,198839765.590,27659355.700,209532.340,380399251.750,328001228.940
512,4096,0,1394051335.790,2415555750.700,24989936.670,59753129.670,8966111.030,468692009.450,52271715.110,207835.480,794546318.310,783057597.660
512,4096,1,1416202004.530,2293821785.060,26596350.240,59144670.350,9223278.130,478109368.460,50335791.540,202173.770,774615594.200,809649346.740
512,4096,2,1405636954.840,2371768514.700,26024771.470,59739797.910,9186927.950,473684754.970,54602159.180,212166.430,806220342.700,815917335.500
512,8192,0,2881467069.310,4777053068.520,94255653.610,114006649.770,51561965.060,1006732268.320,103219866.900,214013.970,1584107387.120,1575609958.180
512,8192,1,2875701373.200,4589227830.980,96151212.710,111376302.180,51662506.560,1007782759.180,103108243.720,216972.320,1582656815.550,1592568083.530
512,8192,2,2624004421.020,4664727301.860,92233731.100,117829905.700,51815095.270,1007321042.980,103249642.040,208751.290,1581934623.240,1578439111.300
512,16384,0,5773382276.840,10271109538.620,200166281.700,230315111.570,135535583.840,2044669898.060,209561702.090,245629.810,3042090674.640,3157865419.020
512,16384,1,5786378142.400,8929718074.590,198554090.070,223335076.120,130614807.970,2229884986.200,203377689.760,246045.490,3173213262.680,3161345210.710
512,16384,2,5772812956.830,9476394814.680,198078790.800,225285309.750,130365770.630,1954857112.130,205777614.780,245262.580,3165642489.240,3240221434.290
