F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,13118524.590,22560782.490,329946.300,9697.250,5878.300,1923130.100,1725308.430,70978.290,5646228.550,7436888.560
512,32,1,12381800.950,23018535.260,331611.540,10323.730,5893.560,1858391.510,1834231.510,69410.960,5555165.340,7340116.750
512,32,2,12995546.010,22835006.780,319799.730,9954.510,6501.590,2023662.190,1768774.230,70923.730,5494152.190,7189852.650
512,64,0,27226014.780,48349953.560,522879.900,366878.980,10541.460,6867624.930,2386537.010,74675.310,14082859.400,15711701.650
512,64,1,27278886.540,49626393.000,515855.550,361945.890,10342.580,6892853.260,2368507.420,74425.370,14595378.290,16016405.170
512,64,2,27581348.370,50035448.280,530621.990,364901.880,11301.770,6620409.500,2397283.000,76253.480,14599314.610,16009617.550
512,128,0,46539236.570,81064057.870,866159.740,863990.970,20185.810,12222125.180,3100147.140,133090.090,25290042.400,26604620.260
512,128,1,47685871.210,82095507.230,869730.290,860217.580,18968.590,12522264.720,3169009.770,135629.120,25041736.250,26948109.290
512,128,2,45357389.840,80544940.370,861545.590,849349.440,17932.800,12433002.980,3161395.910,132752.520,25466157.380,26689425.490
512,256,0,86003947.780,147431229.030,1573520.260,3208059.020,35035.900,24876619.860,4471327.060,150697.840,46843877.940,47982299.780
512,256,1,86866776.110,148158348.810,1563337.180,3118341.780,34580.680,25800014.950,4582803.820,155325.400,46707111.090,48876838.590
512,256,2,86006146.630,149141150.080,1584611.670,3118729.580,36292.400,24714840.190,4492054.790,151118.470,47715584.310,48326286.040
512,512,0,173606287.200,293741108.530,3144535.070,7688851.500,111460.240,54853359.740,7777347.540,171890.800,98606322.340,100599424.730
512,512,1,177264356.810,304546005.600,3215161.570,7697124.880,129622.780,53273224.680,7921560.140,175914.220,95813098.820,98979068.340
512,512,2,179340982.650,286932012.360,2924505.510,7368693.450,125602.880,57090601.890,7883950.320,175298.180,101975510.140,99220591.500
512,1024,0,349143393.130,595013849.570,6189126.820,13738948.840,761468.510,113055285.180,14462254.270,196714.900,199001010.980,199941110.830
512,1024,1,352074878.990,623753333.020,6379164.380,14203515.160,665121.410,114798483.900,14256937.850,193416.280,202342160.610,196275516.240
512,1024,2,346758762.870,611443994.810,6200757.020,13326139.940,617524.590,109467075.620,14451835.040,199516.090,206440447.190,197474316.090
512,2048,0,676378458.540,1187459221.370,12284471.400,27676327.390,414216.610,226849149.410,27060274.790,203045.070,396860838.530,396206214.130
512,2048,1,719695194.790,1128906739.570,12350125.810,28688462.070,522768.250,224936313.160,26539657.720,194116.340,392223770.150,396220131.750
512,2048,2,690447000.590,1260468676.610,13265730.490,26697859.180,367925.590,224450216.750,27269543.910,197442.490,383150157.790,396499999.970
512,4096,0,1402888005.600,2425548162.420,26306311.970,61651154.710,9352016.940,484034887.890,52175170.220,210197.370,794326374.010,788375657.170
512,4096,1,1404382331.020,2371010908.410,26554259.670,57976269.690,8784959.790,462989997.930,52176265.160,204775.160,803511233.170,788525455.060
512,4096,2,1403518309.900,2368159033.020,26000641.260,58293141.720,9521812.760,484702196.470,52127711.960,205925.950,750386012.560,788052771.680
512,8192,0,2831826008.120,4728880298.390,93308029.580,113828034.280,51153290.670,1003802546.640,103800702.420,214027.260,1582704908.800,1568963125.850
512,8192,1,2764790409.880,4784571165.920,99870687.350,114980106.360,49835473.270,995988855.150,102725439.050,208819.720,1583872312.370,1578175137.250
512,8192,2,2803134718.740,4990261262.500,99893681.400,114208611.770,50439984.320,1030414895.450,103176319.280,209014.190,1584717201.650,1578331937.050
512,16384,0,5673457973.540,9587478685.330,200728473.060,237029110.230,146407169.690,2011748349.790,207291023.110,224331.920,3216827999.180,3082603856.410
512,16384,1,5831372549.080,9486169396.140,203107098.870,223511437.550,127209080.870,2055977056.310,199484687.610,234057.910,3180291085.740,3395488143.800
512,16384,2,5732607347.700,10876499246.610,221416859.500,235576855.440,130073750.580,2053741728.210,203248572.790,218653.660,3157545044.750,3368179166.790
