F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,4669366.280,9499185.310,185249.400,82644.380,6497.120,170124.660,1577084.770,51231.520,404136.750,2411042.100
512,32,1,4471903.540,9219479.970,183098.670,79491.790,6372.020,261956.990,1624798.240,50356.740,424830.630,2425667.930
512,32,2,4676282.840,9466626.990,173415.680,77689.540,6465.580,221988.370,1608019.450,49754.220,402069.350,2457350.070
512,64,0,8924798.430,11943625.730,105128.640,66024.420,9545.800,840391.670,1265266.750,114175.700,2196956.870,3778837.000
512,64,1,8921907.660,12207945.530,106504.920,67703.270,9281.290,868000.510,1271861.060,110322.440,2139605.270,3695131.070
512,64,2,8743074.520,11882065.190,103504.170,67307.520,9147.540,729795.880,1294606.600,111054.830,2186703.730,3744335.050
512,128,0,11841637.310,17334316.180,177578.350,73822.340,14140.540,1344868.420,1531194.010,140653.940,3566374.950,5367111.120
512,128,1,12777758.530,17119560.410,175860.590,77844.350,14385.940,1261904.750,1536551.960,135691.480,3641616.380,5121063.100
512,128,2,11403838.050,16933223.300,169648.010,72354.170,12994.010,1364820.490,1509987.280,134036.530,3369095.500,5448850.600
512,256,0,16572568.810,25891376.020,279367.880,184649.210,21743.850,2587310.030,1787829.420,164214.970,6149348.640,7985911.540
512,256,1,17275876.670,25623645.360,288256.340,181696.880,22214.910,2634913.450,1839504.510,161051.600,6302550.870,8121653.130
512,256,2,16326092.560,24812431.710,285275.720,192529.090,21683.460,2618391.050,1809494.550,171332.300,6054917.930,8232117.610
512,512,0,29037515.110,46753585.330,516806.300,1089764.540,42684.910,7364342.800,2573530.450,198356.710,15553017.790,15939149.330
512,512,1,32210643.840,49506581.890,543577.270,1121405.400,39994.060,7133294.790,2448763.880,196393.170,14573468.840,16068840.010
512,512,2,32927148.480,48485813.370,524890.450,1071063.790,48081.730,7148028.270,2442109.240,197161.380,14305244.150,16188183.950
512,1024,0,62120546.200,102210834.960,1075453.010,3192518.040,72508.420,15985233.530,3490631.440,206516.910,30366733.760,31106689.100
512,1024,1,56932496.130,98052295.390,1031110.350,3069167.670,80436.170,16019529.700,3669985.070,208470.390,31486554.330,33881535.940
512,1024,2,61750254.760,100589448.180,1094507.070,3141609.700,74567.190,15598670.320,3640450.040,205836.740,29179930.570,30380518.250
512,2048,0,108039646.110,190804099.260,2010917.640,5854383.560,105544.540,33778658.630,5543094.200,209898.510,60351502.660,62721466.490
512,2048,1,108467329.490,186384136.050,1955747.700,5820017.120,119387.020,32295627.590,5327792.860,207384.240,59355022.000,58970928.380
512,2048,2,110392121.840,190053958.510,2064910.040,5836227.960,133667.330,32501242.190,5352537.200,202715.370,59109965.170,59945051.880
512,4096,0,212814818.260,358145457.900,3854153.610,9667023.430,217639.660,65017303.190,9315797.890,204491.150,118136972.230,117897240.410
512,4096,1,212219967.530,353791753.020,3907394.760,9655418.950,240110.730,65525631.890,9475760.850,207033.750,117700365.110,117157942.970
512,4096,2,210239087.510,352025721.410,3888085.870,9939901.970,239039.560,65430770.280,9392355.970,204909.000,116543505.430,118188052.070
512,8192,0,419264690.150,710576778.600,7700606.190,18273986.860,2159656.540,137100153.410,17315047.430,204466.400,236976838.120,236050397.160
512,8192,1,421909126.560,711628756.040,7877686.640,18568643.690,2492091.690,144022676.960,17200835.530,201458.610,237941959.710,237257546.490
512,8192,2,419872588.050,689012422.760,7695356.550,18604495.570,2303030.630,139596623.470,17517933.600,202762.870,236634173.550,235691032.430
512,16384,0,855356949.790,1484289019.240,19052983.920,37527328.450,13062294.760,288165037.790,32654117.090,207687.450,479734003.700,477636095.560
512,16384,1,858097224.590,1352886402.680,19598081.660,38253991.840,13263140.480,297800386.150,33541975.880,201969.470,475924129.230,472928351.930
512,16384,2,874336415.030,1488594639.340,19834661.110,36474072.070,13217003.070,297745480.570,33194314.440,210426.290,482474210.460,461800253.860
