F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,4685821.340,8979311.120,179276.440,8128.410,6318.910,228810.820,1546138.600,54493.980,416901.660,2449564.100
512,32,1,4822419.810,8934945.950,184123.520,8365.630,6196.260,278773.670,1594042.630,51876.810,407094.490,2538637.200
512,32,2,4636041.600,8952285.420,190867.150,7755.600,6509.600,210485.470,1567739.700,47798.020,402236.460,2472763.340
512,64,0,9006383.960,12439449.220,103604.850,29553.440,8618.390,877830.360,1234516.140,110279.150,2172265.470,3725380.320
512,64,1,8476663.410,11940629.050,100151.130,29417.470,9429.230,893827.080,1265641.490,113544.660,2155087.850,3566271.810
512,64,2,8278937.170,12164539.030,110450.050,30931.540,9430.900,749868.260,1246215.610,114992.780,2104314.390,3756341.650
512,128,0,11873678.900,16507382.210,179845.290,94597.950,15136.090,1287557.340,1476851.520,137075.240,3497781.050,5294641.630
512,128,1,12088660.260,15954610.490,180172.350,87106.850,12602.690,1099869.370,1408744.270,137612.870,3580748.710,5195242.310
512,128,2,11607644.260,17233949.970,171161.230,92640.770,14786.040,1209794.290,1595046.390,131914.380,3491590.370,5040985.050
512,256,0,15390372.100,26123310.950,277632.080,219209.460,22122.050,2513404.640,1783656.910,165719.990,6054079.970,8191939.190
512,256,1,16222377.150,26083745.730,270132.380,221389.070,22215.410,2874638.070,1807738.000,168711.850,5879885.900,7937974.580
512,256,2,16334682.740,24443343.740,280377.700,215607.700,20980.150,2526787.610,1741392.700,157355.130,6235545.340,7416711.750
512,512,0,30954212.210,47032721.550,539976.340,1083586.040,39260.890,6872761.160,2294194.950,183441.500,14268175.550,15873144.270
512,512,1,31281395.450,48821034.730,540886.210,1033860.540,42244.620,6991765.220,2474721.300,184597.730,14348290.820,16033795.020
512,512,2,29925988.230,48033323.100,550373.780,1082495.920,39572.100,6879513.590,2363876.660,186433.030,14239123.270,16568820.510
512,1024,0,60003366.470,108514128.140,1160214.230,3337043.430,92804.720,17503202.560,3470713.020,203197.030,30430334.730,30993584.780
512,1024,1,62653682.320,93414979.500,1015999.090,3055044.910,84377.930,14353978.790,3363522.260,182309.250,31777459.950,31325557.290
512,1024,2,57217420.350,96141362.780,1040848.980,3066585.600,79830.430,17235849.710,3451406.090,200666.770,30221173.290,31647239.360
512,2048,0,110662150.060,181214904.890,1957434.570,5822323.840,112043.030,31382003.070,5370261.870,201844.620,58962111.740,60720417.340
512,2048,1,110257438.060,181393768.350,1943641.380,5919746.520,114451.740,32195937.710,5407062.630,202144.010,59669934.000,60079028.480
512,2048,2,109103550.700,182932355.670,1929731.900,5868206.570,110324.280,32240402.090,5399445.650,199777.900,59580034.220,61399786.320
512,4096,0,210622983.200,361812002.060,3756380.360,9752471.450,237751.520,66223692.380,9182774.980,197248.540,116781081.280,116177879.140
512,4096,1,211965811.100,357438650.870,3908642.910,9507783.310,233510.060,65253313.960,9154080.500,200065.090,115434664.050,119407614.330
512,4096,2,215251353.470,362251583.920,3816723.680,9808132.760,259225.860,68536094.400,9354470.430,201354.590,120978055.280,120752003.610
512,8192,0,423450349.330,718281197.510,7858166.620,18666204.860,2201830.980,138695245.540,17242409.490,195767.870,235681145.460,236100101.140
512,8192,1,409350237.860,680547483.240,7376399.880,18608519.910,2351422.670,139291162.500,17257116.960,199005.390,235244295.980,242353586.670
512,8192,2,424778736.290,733174617.910,7869075.260,18299420.870,2302523.630,132417492.580,17259732.340,199572.880,236500094.700,241928458.650
512,16384,0,856335815.220,1417378610.070,19037302.320,37929817.690,13402835.330,298000761.420,33094632.180,198237.450,476240610.810,479054146.170
512,16384,1,898796823.340,1455519963.890,20879815.770,39866742.250,13365786.820,294998393.570,33548112.150,200319.480,475831545.450,457995169.290
512,16384,2,883399065.550,1422603464.110,19975553.870,37992640.840,13375094.950,293779245.490,32942229.210,199491.700,476158891.810,493835501.570
