F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,14387580.080,26206381.900,342050.260,27656.650,6125.300,1858557.680,2454072.710,92185.900,7669601.490,7283092.690
512,32,1,14118092.570,26449518.000,350817.620,28033.000,6169.480,1835560.620,2295707.980,90820.190,7563803.310,6995059.280
512,32,2,14376836.110,26430257.240,351140.290,27012.840,5963.670,1902003.750,2410723.560,90861.570,7876906.020,6961736.680
512,64,0,32881267.450,59729614.010,529644.770,140103.200,13858.640,6573945.760,2875940.510,93083.950,24008157.910,18441448.750
512,64,1,33488341.680,59013707.990,544051.610,119028.020,8972.110,6334599.670,2876469.110,86905.860,23621746.960,17882398.540
512,64,2,32504441.340,60055250.710,530657.070,144250.000,12560.250,6652649.960,2953063.740,98129.130,24349279.790,17465470.170
512,128,0,51190330.420,89301209.880,860274.820,623578.340,17915.530,12528528.930,3018337.530,131562.960,34041864.430,30051797.410
512,128,1,52023814.880,86741918.210,867515.620,637274.330,17953.550,12608843.500,3014489.980,135659.060,34352724.060,30006015.200
512,128,2,51679675.980,89160509.820,872399.040,638987.270,18560.660,13156874.410,3067680.650,133326.740,34088024.460,29484882.330
512,256,0,91535512.200,147993876.310,1589165.320,3283906.980,34573.990,26586478.860,3393909.460,150716.120,56803211.520,52159869.770
512,256,1,89400842.270,147295212.640,1559121.900,3159798.170,35675.410,25951909.880,3337280.710,155328.880,56814103.700,53946450.460
512,256,2,92107317.020,151706471.080,1552014.620,3175835.690,35840.990,27058890.610,3271097.830,150300.050,56837836.080,53042634.830
512,512,0,182520320.490,288175005.040,3152681.480,7416505.240,105996.150,57558782.180,4297141.090,205067.570,106987405.620,108293589.730
512,512,1,181598664.170,292686124.240,3194127.770,7520388.400,107839.510,57336748.920,4093751.040,205058.200,107861822.120,103951225.650
512,512,2,183617088.380,280076906.200,3109469.470,7443243.870,107936.690,58668823.170,4333473.550,203573.640,105738278.050,109470027.760
512,1024,0,354644740.670,564973307.940,6242547.850,13521608.780,448978.440,121817214.270,5923231.060,239989.970,206656244.810,214071374.610
512,1024,1,361530050.190,569261729.590,6358654.760,13942155.180,326668.280,124685246.420,6182043.540,241663.480,212114488.470,213964550.060
512,1024,2,361045138.550,565497914.880,6497884.800,13213281.220,365755.410,117143172.800,5901765.820,223740.590,204534432.320,226663411.230
512,2048,0,708014226.550,1170271407.390,12537394.180,28350929.740,391418.620,242710972.950,9590696.600,246387.100,414931285.770,421642594.790
512,2048,1,704245125.660,1144865558.660,11871693.200,28085104.200,440652.080,251049916.730,9247669.600,262222.530,427835315.260,418622639.250
512,2048,2,725957051.070,1119735070.210,12752421.150,28090629.410,557155.130,242200524.560,8748017.360,256742.970,410304018.250,422626709.680
512,4096,0,1438043374.620,2208680220.930,26171741.160,58997129.100,9044143.990,514777649.660,16418662.970,276825.590,798843327.710,855722343.280
512,4096,1,1375208791.780,2114444927.830,25536028.600,58785552.330,9012276.320,509090661.230,16701141.340,261778.850,791409971.880,839120078.240
512,4096,2,1444674505.080,2297002222.900,25999976.300,58698624.750,9110057.480,514886258.680,16728345.660,282376.960,791349365.860,825912374.010
512,8192,0,2757601848.790,3948085334.890,95891899.170,113069133.430,54786026.000,1179975655.780,32547589.180,284741.520,1593861265.610,1682622881.900
512,8192,1,3001154752.840,4594088627.720,97036625.440,113073567.540,52524320.590,1213667804.920,32383943.980,276965.580,1606971235.140,1679733441.700
512,8192,2,3045207491.080,4586210376.630,96118529.780,112985154.730,56213419.640,1136311357.160,29626641.740,283487.540,1614028958.260,1373158011.120
512,16384,0,5990853146.340,8768080727.280,199370599.590,227116829.980,132344792.460,2317722366.220,58550021.480,301329.390,3221993159.270,3385731970.940
512,16384,1,5990084147.920,8786507212.810,199345871.460,220857161.050,132306533.280,2317767018.370,57741918.920,306274.910,3136296586.700,3332714752.400
512,16384,2,5989744675.920,8762716781.330,199316346.690,234377792.600,139629076.590,2317987042.300,58858055.740,295049.060,3256116252.960,3463555198.390
