F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,12767304.690,23957328.590,328616.350,57478.010,5855.730,1736874.930,2167505.470,70925.800,7737961.210,6886898.830
512,32,1,12709287.460,25194975.030,334364.360,60106.910,5709.120,1686980.910,2217941.070,72133.250,7800183.850,6749027.090
512,32,2,12544483.400,24938971.160,336777.800,60684.450,5945.480,1773920.010,2134660.680,69710.980,7807759.320,6448040.460
512,64,0,31402512.340,58092711.590,524589.370,275553.700,11673.310,6550940.150,2595204.730,74936.130,24884710.320,18882360.280
512,64,1,31149683.990,58228874.520,511774.160,263071.970,10196.140,6638499.940,2581071.690,74227.740,24701793.030,18560154.320
512,64,2,31391556.610,58728996.050,529645.160,268185.710,11161.090,6494543.180,2710193.870,72065.890,24932353.840,18680844.300
512,128,0,49525150.720,86233717.930,851890.000,875884.900,18310.990,12644440.120,2781602.310,120484.750,33908889.770,29483698.260
512,128,1,50301623.380,88791487.860,870429.220,897343.100,18810.560,12524817.000,2782073.790,120705.990,33390443.530,27703542.330
512,128,2,49919498.830,87563523.190,868248.920,901322.620,20122.350,12600551.520,2779233.100,117707.250,34076975.650,29962809.760
512,256,0,91098556.550,149704313.560,1579149.200,2980859.830,44447.780,26812170.900,3151575.700,139279.450,56210750.550,52431638.620
512,256,1,93015628.420,148184117.600,1562371.050,2870647.250,40396.930,27309903.710,3220641.300,142653.820,56293496.210,52780156.440
512,256,2,91014238.040,152344889.280,1594057.610,2927654.010,45072.790,26545995.840,3113344.920,137276.180,57746804.510,53732566.690
512,512,0,179950826.730,286522561.030,3114286.880,7292333.830,148368.630,58439982.390,4087270.210,192286.910,108049394.120,107271039.520
512,512,1,179924885.620,298066983.340,3298834.210,7714544.770,139406.420,57231029.470,4029772.890,183174.950,104993331.190,107685915.830
512,512,2,179925122.760,291406919.870,3101638.250,7438948.880,144579.380,57217406.600,4041767.590,192421.320,107138860.220,107020853.680
512,1024,0,356293739.160,526910997.680,6043510.300,12843102.630,333755.900,119345006.160,5492168.050,206024.340,200530609.440,210213330.630
512,1024,1,367699826.440,583014399.100,6563713.000,14469517.720,537401.080,121445958.890,5986914.620,229761.550,208407443.500,220366446.090
512,1024,2,377080952.310,615853291.020,6785091.560,14916856.310,480297.400,121242950.760,6119933.550,233394.730,209219606.100,226864668.500
512,2048,0,708398450.610,1110509913.540,12037576.920,27846917.620,468462.420,245295201.140,9293762.190,278118.620,396630565.210,421380806.940
512,2048,1,705781156.990,1109859962.040,12466844.290,27993902.810,482047.090,245521999.230,9252515.130,314633.000,407680981.440,420805787.870
512,2048,2,714659376.380,1112098907.940,12482392.700,28009496.750,518730.500,244829391.300,9683861.760,238986.640,406150259.280,420549234.610
512,4096,0,1452551193.100,2138047830.590,24812644.480,60446957.420,9486153.290,515095325.130,16002429.600,257445.420,802014613.230,819856496.140
512,4096,1,1451924096.760,2354697137.990,25374081.970,57128449.410,9838242.270,493344061.140,16260448.710,273971.580,833567685.390,814628629.240
512,4096,2,1485224224.330,2234049155.750,24093089.540,58789785.380,9681596.810,508335111.530,17169363.250,246148.660,787629294.170,851769789.160
512,8192,0,2973292727.740,4388172956.610,96565763.970,111795069.310,49787848.830,1136282057.260,29860999.670,261507.980,1586374455.590,1676530075.370
512,8192,1,2976692295.890,4389867765.030,96291072.210,108423406.100,53208229.770,1135259094.390,29982606.720,260691.120,1588703630.440,1679490792.970
512,8192,2,2968688782.850,4382382832.410,95827505.940,117069285.990,52138082.640,1155080625.990,30416676.770,260911.800,1586717108.570,1675992876.840
512,16384,0,5989638294.470,9056067854.870,188382399.870,224376096.320,133771427.070,2308767162.350,58290498.370,284137.290,3127583673.340,3333414631.770
512,16384,1,5988818411.170,9134757075.080,202415025.110,224368792.370,144114303.510,2420100540.540,58293609.090,278309.760,3172030149.750,3410475254.780
512,16384,2,5990690137.350,8472989152.660,196067609.460,224259435.920,143929433.640,2349171298.750,58689310.590,282789.320,3172168098.360,3359101488.000
