F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5090280.220,10129036.410,183999.050,7761.600,6183.760,244824.170,1733016.710,57000.220,538680.020,2332032.250
512,32,1,5167607.280,10193538.220,192069.830,8360.170,6395.890,206428.910,1665752.170,56874.240,568770.460,2472414.330
512,32,2,5214064.790,10684673.680,204359.060,8664.810,6384.970,309298.480,1838511.800,60372.520,536805.910,2578393.920
512,64,0,9256502.610,13951686.180,114629.650,52490.850,9488.840,985276.820,1535711.470,106986.910,3046371.570,3720143.960
512,64,1,8850458.180,14131940.790,113123.060,51159.450,9903.580,990695.950,1539752.590,104827.870,3054922.170,3794784.460
512,64,2,8864285.490,13551214.870,113996.360,48915.080,10016.140,1104637.730,1508262.650,111251.840,3033676.630,3720401.820
512,128,0,13211191.260,18692499.130,173858.080,75270.100,15249.610,1879570.100,1798063.790,135942.760,5625328.390,5505412.840
512,128,1,13263084.390,19488043.860,194419.490,75460.160,15592.040,1888390.230,1774445.500,136820.170,5276388.630,5284401.130
512,128,2,13678988.050,19800480.510,178511.170,79005.020,14557.900,1851130.600,1738753.240,127465.160,5677404.410,5582116.390
512,256,0,19338685.520,29452795.480,272342.910,202267.710,23572.070,2887050.570,2000176.840,162878.660,9945161.350,8229360.500
512,256,1,20455862.050,28808891.050,271434.080,199493.170,18555.950,2762512.530,1908326.030,161754.480,10614855.900,8860197.750
512,256,2,21269772.850,29541034.660,276005.490,184062.720,18838.710,2952694.810,1975558.390,165072.660,9214408.860,8047601.760
512,512,0,34011625.140,51689128.430,534089.230,1050328.010,40203.560,7053564.730,2322247.000,210074.320,19621390.480,17907205.430
512,512,1,31992086.860,53654108.580,546584.410,1060684.820,42448.190,7107903.930,2246310.970,202019.730,18969191.760,17472795.660
512,512,2,32127271.230,52681617.150,539329.480,1081052.370,38188.400,7263495.600,2358354.000,212779.380,18777056.170,17910442.810
512,1024,0,61115646.960,96844097.170,1038556.740,3029280.730,74569.280,16688816.340,2733548.670,229930.860,36003671.450,34342480.390
512,1024,1,62850563.960,97029672.820,1036248.730,3067069.960,78395.630,16559787.170,2763651.940,231944.530,36733000.660,35426264.680
512,1024,2,62473054.600,99688150.790,1053356.190,3071493.230,80487.800,16570194.180,2774194.350,229336.420,36688878.780,34963140.980
512,2048,0,113733571.020,179155925.710,1959093.150,5614070.120,112488.860,35152361.800,3416801.090,239174.930,65109060.780,66327244.090
512,2048,1,113888986.760,178452664.510,1978473.250,5594204.280,115330.610,34256994.220,3364013.480,236957.190,64921273.130,63962197.500
512,2048,2,113912183.930,179103558.290,1946817.090,5395633.580,108147.440,35856943.250,3316515.040,244576.510,65795684.590,65418515.850
512,4096,0,217930675.350,345654553.520,3919765.040,9983725.810,279269.770,67975521.610,4435366.500,237520.100,120647354.560,123120491.900
512,4096,1,222748256.920,341077352.550,3847308.470,10293749.980,276773.320,67949788.770,4431701.080,241605.410,124168863.450,124278343.450
512,4096,2,209088239.030,328577895.110,3698106.500,8734183.640,243731.980,73287356.160,4835663.060,254723.330,126851042.180,135260816.560
512,8192,0,433790127.950,653432476.960,7534931.350,18114141.160,2132365.950,148599722.960,6999114.940,247878.370,244855171.910,255843281.190
512,8192,1,421061372.810,650379232.750,7961308.330,18390459.450,2039087.190,150715442.030,6720181.390,244933.340,250869295.750,255955952.240
512,8192,2,446001161.800,687631281.070,7763336.060,18662913.030,2132334.240,146064302.670,6764150.660,244596.170,246667451.270,254797024.430
512,16384,0,871309030.730,1296323612.250,21487963.450,38380255.640,13273445.230,333314036.590,11862072.290,249334.790,485477383.030,514060931.470
512,16384,1,841331545.370,1339266460.720,21509088.090,38333089.110,13296533.190,334511405.870,11813482.730,244045.280,482571080.920,494057118.610
512,16384,2,874225553.720,1321375701.340,21523625.010,38414441.770,13252628.550,331942119.590,11952159.090,243374.740,481528073.700,502775291.230
