F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5230731.160,10367833.100,194070.020,8062.660,6924.770,202913.740,1803478.170,63728.790,548867.890,2626550.000
512,32,1,5493534.040,10640353.180,202826.060,7538.110,6643.250,310567.740,1820889.720,62239.210,555780.720,2460633.400
512,32,2,5454295.280,10931176.740,191692.940,7487.220,6275.460,246255.580,1721980.590,61037.890,557121.610,2448654.370
512,64,0,9359584.090,13480876.310,106653.150,28649.990,10039.650,918459.190,1445261.780,108226.740,3070818.930,3659823.680
512,64,1,9277633.130,12992053.430,105975.830,27466.110,9206.880,881161.720,1516735.240,109097.810,2944050.830,3513704.840
512,64,2,8677379.930,13099908.950,108300.690,27837.890,9045.200,1012746.170,1473821.590,114090.550,3001719.020,3622107.880
512,128,0,12614229.550,19903798.550,178742.330,84715.870,15447.980,1713085.910,1793499.260,140162.930,5419241.620,5431605.540
512,128,1,13268681.530,19013278.010,175413.640,80164.870,15500.090,1871562.520,1732940.540,137374.000,5571915.620,5706190.060
512,128,2,12495180.700,19470825.900,189393.160,78746.110,15575.590,1598390.500,1638524.680,134984.610,5278651.620,5344266.570
512,256,0,18362245.500,28352094.620,268915.170,191238.820,22148.420,2706216.680,1946156.520,161068.330,9707041.550,8474133.780
512,256,1,17634796.930,28995687.010,293476.730,190597.040,21823.580,2807669.920,2009378.690,168764.840,9562728.130,8944415.070
512,256,2,18367276.050,28053907.460,270031.870,185272.450,20450.160,2772116.160,1846929.330,160416.740,9311708.520,8430209.750
512,512,0,31110818.960,50173412.190,559375.830,1007994.580,45852.390,7368234.850,2401185.540,205257.100,19172593.360,16917938.730
512,512,1,31936594.170,50063382.490,535146.580,1022347.420,40366.400,7304348.060,2255172.860,203872.190,19214893.280,16751731.430
512,512,2,32418723.520,52309430.760,556291.120,1071333.280,42805.740,6832507.120,2192450.370,201421.770,20683863.540,16721953.540
512,1024,0,60617386.850,97560496.690,1066755.690,3139193.890,80920.320,16287704.380,2648516.180,220436.180,35661501.120,34358540.540
512,1024,1,61821119.810,97349004.620,1039000.920,2997768.490,74068.260,16683782.680,2523680.860,215983.480,36580565.330,35077122.350
512,1024,2,61871561.720,101208702.750,1071013.150,2985470.690,73674.780,16144771.360,2654239.390,217906.070,36217682.210,34926138.600
512,2048,0,110818610.640,179099832.650,1939777.740,5653501.200,117636.010,35011420.830,3183754.580,230781.900,65452222.720,67220247.930
512,2048,1,111542723.230,177679917.640,1973522.280,5954793.410,124494.920,33779261.110,3302849.570,228268.900,65010712.160,64469273.720
512,2048,2,112394405.050,177508674.240,1956632.660,5711594.760,113416.700,33697462.730,3232727.300,239066.270,66717479.140,66436585.370
512,4096,0,213175637.550,332588981.960,3837271.640,9488689.540,279294.710,69841022.520,4459397.180,235383.770,123537383.330,124777326.660
512,4096,1,214499650.090,330612020.960,3815706.870,9453264.660,260311.010,69410576.530,4550012.800,236424.550,121592997.120,128234796.490
512,4096,2,209204802.170,332491333.880,3869694.160,9765786.510,266372.450,70232217.300,4523933.760,242724.340,125581980.280,124831815.930
512,8192,0,432077666.460,678280588.540,7907404.010,18943477.020,2219406.530,149549712.750,7046416.970,230157.060,238245718.080,252922804.830
512,8192,1,429820676.010,674668809.680,8074165.650,19338088.370,2214533.090,150275803.120,6890557.970,223961.770,241347423.870,251829800.750
512,8192,2,433146638.630,698244907.480,8174746.150,18942282.860,2227832.320,149441653.540,6896348.010,233859.940,259518686.100,251816984.630
512,16384,0,885395915.110,1355511388.140,21543182.410,39619153.400,13035280.050,325615731.100,11717710.430,237621.410,480491964.180,503430064.890
512,16384,1,884592451.720,1295533017.740,20243374.720,39313171.420,12991221.280,329894886.460,11715072.180,231712.170,476530362.960,503056739.990
512,16384,2,884382160.990,1325565807.020,20256363.020,38078630.430,12989389.360,349274238.010,10542301.110,241125.460,513283589.310,502542293.780
