F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,7886673.730,12319564.050,371495.230,9755.510,5578.460,438753.770,1752963.580,87132.160,5173346.760,3154652.010
512,32,1,8447971.630,11962603.620,356876.890,9223.260,5695.130,504473.180,1833583.430,90177.780,5367655.280,3165389.750
512,32,2,8295802.520,12504780.470,363395.670,9786.300,5822.110,478798.030,1698558.390,88234.330,5047487.560,2914831.270
512,64,0,9819933.080,16466270.430,508281.300,14654.230,10126.320,885056.250,2467537.190,94220.550,13914671.380,4391313.040
512,64,1,9283933.750,16492060.220,534812.690,17135.350,9093.030,901420.520,2455887.410,98102.400,14464162.690,4247571.720
512,64,2,9483808.880,14698161.170,547803.950,16172.260,8485.380,896507.640,2475686.590,91692.480,14411297.160,4071889.340
512,128,0,12555674.400,21363169.870,820258.260,1033210.420,14371.740,1273929.190,3089107.110,148236.140,24767091.570,5553756.870
512,128,1,12377278.180,20857098.680,897519.060,998468.060,14128.030,1380227.600,3123808.660,147325.830,24816299.510,5495277.090
512,128,2,12508977.050,21313047.730,875712.240,973217.920,14929.340,1339632.270,3054512.870,139058.860,23788646.070,5415601.730
512,256,0,17712196.890,31486924.330,1605700.540,2578633.580,30230.160,3019496.600,4416348.470,164313.600,47013321.970,8205212.250
512,256,1,16762319.930,30584610.570,1672140.140,2535017.880,29465.470,2713535.430,4293207.890,159835.130,47723557.000,8265086.090
512,256,2,17344775.580,32166515.170,1577026.710,2632807.950,30366.270,2771360.230,4365984.570,155381.820,47489830.760,8066555.370
512,512,0,29983195.920,52994544.390,3174779.300,6449948.100,98849.400,9019562.360,7565132.220,187088.280,96510313.030,14782309.800
512,512,1,30558788.870,51953819.630,3148679.930,6445303.070,85403.480,8714970.090,7537172.480,179226.400,96244789.310,14453029.420
512,512,2,30375258.540,53343423.270,3218742.850,6548995.610,87339.170,9055824.680,7653857.360,180970.980,97776484.580,14445996.500
512,1024,0,55892383.660,99724896.580,6414860.410,12336006.960,97563.660,19201013.890,13794529.940,203157.410,193876688.990,26693489.140
512,1024,1,56314441.830,96726816.360,6518214.890,12178427.060,111740.670,18783641.910,13724926.060,204340.640,197861437.990,25804196.280
512,1024,2,55259897.400,97269549.250,6356735.870,12588011.590,109611.650,20508956.020,13818283.240,199405.820,199639511.130,27045957.920
512,2048,0,104757457.710,185311884.900,12589042.980,24949834.100,202710.150,39200316.910,26484352.510,203601.290,396791018.290,51850582.480
512,2048,1,104281360.340,179207526.910,12382479.480,25254897.020,209749.800,40746624.760,26341024.130,200363.430,398254740.100,51356658.910
512,2048,2,104606846.520,184948900.250,13122026.280,24548740.980,208326.470,41157403.240,26614614.750,198976.040,397587997.990,51379372.380
512,4096,0,229809316.530,363444916.560,26185415.440,49846481.600,4583660.260,110178907.550,50157805.000,196902.100,786819390.810,99365791.750
512,4096,1,230229378.220,363718942.100,25340722.240,50098183.580,4394239.860,109774640.000,49752681.070,197531.420,811209303.360,100500723.550
512,4096,2,249555737.580,363008416.570,24930412.850,49544995.170,4201599.830,105078066.170,50626532.810,207614.640,741193373.400,102842383.990
512,8192,0,508032748.040,693584735.700,99835536.440,95711553.410,30238521.000,264768190.230,97904805.160,204090.550,1573507145.210,199181187.080
512,8192,1,507125726.430,719868921.230,96473744.880,96627391.740,31119629.660,284742522.180,102282991.380,200199.510,1578130278.480,198828915.030
512,8192,2,501655261.900,690838275.810,96690007.180,92874306.010,32566648.030,290414320.040,103793119.740,212759.160,1639053196.210,199378606.240
512,16384,0,1045351819.290,1383723057.630,194606434.870,184415563.960,82783920.860,581835578.410,199636219.570,214804.570,3097373569.890,396908855.550
512,16384,1,1046952245.930,1395385110.480,200953761.760,185839298.410,83354695.970,594771566.860,203017209.740,216938.260,3226742461.800,396923534.720
512,16384,2,1047104333.940,1395146052.030,201117911.580,185781962.800,83376121.700,589646247.990,202130862.200,215498.730,3286492124.840,397030757.920
