F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,6274473.200,11171128.320,331159.640,24055.270,5771.660,412239.560,1605091.770,69232.440,5100294.150,2873275.350
512,32,1,5442711.160,10721782.850,338491.500,25040.340,6374.940,369633.620,1684788.780,69981.630,5347458.710,2825031.830
512,32,2,6541119.620,11087775.490,335130.900,22849.590,5922.110,359585.430,1578353.530,71656.470,5196000.520,2802750.170
512,64,0,8199412.430,15325852.790,535384.020,184817.790,9090.610,782598.640,2305536.860,74212.100,14272481.910,3967437.260
512,64,1,8456470.320,16728842.990,581185.900,182059.950,8977.890,893475.500,2294587.800,76925.730,13881638.770,3948245.030
512,64,2,8202128.420,15752648.980,553884.880,203718.940,8784.690,797898.140,2297501.730,77802.170,13714876.890,4042248.890
512,128,0,11075532.450,20802973.930,832897.360,728403.940,14965.700,966675.370,2808869.310,123752.090,25135877.560,5324170.810
512,128,1,10661193.060,20245464.670,885254.970,690557.240,14626.450,1254402.670,2998701.570,132770.650,25287991.880,5671128.380
512,128,2,10591454.100,19792721.390,913186.040,773066.940,14919.910,1080267.260,2739016.210,123433.120,24767229.310,5438722.270
512,256,0,16132759.420,28423489.440,1547745.850,2767377.300,30262.940,2954924.870,4264363.730,143826.320,47724765.610,8189380.860
512,256,1,15769797.420,30560802.130,1569144.080,2642962.490,28929.700,3101429.010,4477929.510,155276.360,47145383.020,8157910.140
512,256,2,16779623.460,30957722.710,1618611.150,2775173.330,28741.010,3142240.040,4317378.180,148259.140,46351698.460,8074613.780
512,512,0,29237289.280,50836555.490,3069378.180,6306488.810,54870.180,8552569.940,7286508.410,171450.840,94678972.400,14414192.490
512,512,1,28929104.110,51884984.460,3195151.850,6486570.370,58224.260,8522806.910,7538271.230,173701.320,99250779.870,14618377.270
512,512,2,28277613.460,51267913.610,3220603.460,6310588.960,55330.070,8504086.290,7468392.590,173716.400,97402296.020,14246524.800
512,1024,0,55086691.080,94891735.140,6361907.020,12675285.220,106471.990,20117062.460,14006352.760,195365.660,204474234.750,27262330.910
512,1024,1,53473465.530,96035986.870,6299745.600,12295354.890,97982.920,18757938.770,13350502.170,182023.330,193864126.730,26127473.090
512,1024,2,52098897.440,96667313.720,6276506.980,12545440.510,105445.650,19358197.230,13708984.480,196863.110,208742555.210,27742675.390
512,2048,0,103145438.270,180014045.860,12539142.850,25005701.380,302196.180,41444115.540,25999936.450,193966.160,392048954.230,51150890.040
512,2048,1,102324469.820,187063791.690,12400777.500,24864685.590,304143.910,43009478.730,25406585.100,193463.680,394421096.080,51220328.250
512,2048,2,102903509.260,177232136.400,12530060.390,24416703.540,302863.940,42422515.880,26596618.130,194443.510,388127092.540,52868621.810
512,4096,0,229627317.520,369882295.100,25379198.950,51172325.820,4570290.210,104164975.080,50882293.390,192040.210,765286962.600,101109762.710
512,4096,1,218401870.890,336647007.990,20382243.520,49153203.050,4304863.040,105727284.470,49259663.420,186595.270,716135813.990,102939080.420
512,4096,2,214679139.740,358285008.930,17275430.430,50988580.120,3984973.930,102756945.470,47806661.910,214697.520,729533276.070,99074992.020
512,8192,0,505895167.560,695322304.030,92385844.320,99396010.510,31145016.820,276076468.640,99006988.070,196349.100,1602559605.940,202550794.530
512,8192,1,513375649.820,723987509.450,95984680.610,94619392.260,31122337.060,270399414.750,98028249.200,196632.770,1554526990.090,198267496.620
512,8192,2,499381659.890,659656992.770,90808727.420,96262230.040,30614480.560,265412044.130,106010968.160,185015.780,1615095467.000,199096018.130
512,16384,0,1043728060.110,1421845303.240,200684760.620,185427741.130,83467060.150,579425937.310,198134403.180,202403.350,3137548055.690,396367311.890
512,16384,1,1057348148.930,1416878857.150,200953090.280,183809836.280,83555685.070,577745833.330,199715782.790,203844.060,3244472587.840,396536143.750
512,16384,2,1047261664.570,1419421925.910,207842992.480,189005606.820,83453351.780,587984079.910,193743512.610,221557.530,3174196915.640,397142660.340
