F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5435034.860,10125227.650,169394.700,9466.010,6489.090,201068.110,1813169.880,59651.700,432642.100,2478871.200
512,32,1,4990811.140,10757240.950,190790.370,8687.190,6693.700,227538.860,1751445.300,56565.530,421666.600,2399016.400
512,32,2,5284980.200,10067387.890,170813.310,8978.200,6508.470,235987.650,1848603.790,58371.050,411317.430,2603088.930
512,64,0,6802177.530,8451109.440,139499.500,60819.800,9164.310,449662.490,1261910.850,103357.110,1988126.350,2326052.420
512,64,1,6996638.690,8707135.690,131799.420,64560.280,8529.130,514038.950,1331130.920,109203.940,1968073.210,2266751.000
512,64,2,6593354.140,8191938.400,127796.110,68523.030,9963.570,437045.470,1255553.600,105653.450,1997613.600,2283147.960
512,128,0,8591418.270,9775102.300,227766.880,225678.240,14773.150,749141.790,1538475.470,132931.160,3348544.790,2749194.200
512,128,1,8427954.670,10204224.890,225498.850,233680.980,12855.480,500337.350,1382815.210,120767.000,3196500.220,2646082.730
512,128,2,8654122.220,9815665.450,240551.630,215615.300,15100.830,740756.390,1526848.480,135104.410,3489839.960,2582887.010
512,256,0,9409614.110,11955153.870,345865.550,373318.810,22806.580,1003704.940,1794899.020,171970.420,5945394.200,3045697.150
512,256,1,10242837.250,11016454.770,335678.460,380946.350,23232.500,918622.370,1793840.820,172309.280,6327744.830,3257347.480
512,256,2,9916550.130,11437030.700,343084.260,380485.090,23523.870,852281.870,1666849.400,178196.620,5869212.330,2980113.870
512,512,0,12148311.790,14566723.520,560489.320,1056008.960,42001.860,1182922.320,2360937.640,188412.580,14050899.240,4052307.220
512,512,1,11165448.790,16226634.310,640770.940,1146656.900,42160.220,1583219.020,2363438.310,195413.360,14586123.840,4133313.480
512,512,2,11791431.760,15912022.450,577483.010,1049083.490,44198.630,1678346.380,2536209.010,196364.010,13462758.570,3746692.600
512,1024,0,16079300.940,22387250.420,1066765.870,2862026.600,72606.000,2808613.650,3317455.380,197559.630,30294322.520,6291816.080
512,1024,1,16553546.390,22208277.390,1126741.160,2468323.670,66494.220,2642929.800,3249935.880,199076.040,30177073.610,6203754.850
512,1024,2,15386011.840,24082444.350,1089489.800,2783449.180,69684.410,3329710.420,3431637.090,207702.840,31211565.330,6220073.610
512,2048,0,24473382.780,38072843.420,2146313.600,4954856.060,106438.630,3845159.600,5256868.710,200882.890,57228133.580,9633430.880
512,2048,1,22340490.940,34963515.270,2076993.720,4853460.100,104267.930,7023486.830,5356337.600,226103.360,65072739.970,10655406.930
512,2048,2,21845770.830,33579867.340,2191209.390,4787167.810,92745.930,6979212.730,5528309.130,216830.570,62834508.710,10692379.920
512,4096,0,38267045.280,63584773.810,3894183.690,8660003.030,165218.960,12037687.460,8619803.950,200276.060,118669399.970,17493419.320
512,4096,1,39513949.310,58902107.140,3853869.760,8501790.150,197576.620,12582822.160,9075297.340,207427.580,120761473.130,17233087.790
512,4096,2,33135002.940,62608965.720,3891813.140,8615940.260,193981.510,11178138.790,8823396.270,195277.870,114215536.100,16624281.430
512,8192,0,73428621.380,109597898.250,7841470.200,15880369.390,1572564.840,29588446.940,16108456.440,198175.860,237418153.770,31769090.350
512,8192,1,71759669.800,114619349.720,7976304.300,16331961.220,1869269.210,35523781.120,16416066.370,196824.330,230594163.090,32069544.730
512,8192,2,78768426.100,110058968.850,7486740.640,16594570.660,1894164.920,32880767.080,15882269.820,195501.360,238451093.210,30856875.090
512,16384,0,162801437.180,220465407.320,21549477.290,33450734.910,8599725.030,80803134.830,31006145.510,193699.600,468270412.310,60674930.870
512,16384,1,160632157.160,217134950.980,21641877.780,32875099.280,8496157.950,83708030.900,31124259.590,203904.970,473947738.590,63159519.900
512,16384,2,160921220.670,213079395.330,21940897.930,32071532.940,8517708.540,82703741.540,29992359.960,189632.610,469564916.790,61211865.320
