F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5466059.680,10723912.860,187246.450,7885.820,6319.580,296581.570,1710924.680,57252.350,388285.520,2590152.820
512,32,1,5746673.470,10312573.930,178131.120,7362.950,6562.260,221118.620,1776195.680,63144.320,405150.020,2558095.690
512,32,2,5560983.760,10339839.170,173212.930,8518.020,6204.060,214093.510,1869764.250,59300.060,409339.560,2612771.790
512,64,0,6673105.340,8045236.640,130746.110,37201.970,9281.690,382900.820,1232809.050,106272.570,1919183.510,2131171.530
512,64,1,6913886.930,8026548.490,140104.430,37973.140,8967.070,544382.910,1232717.220,106677.470,1983538.260,2237056.880
512,64,2,6738004.930,7621816.040,129808.960,39857.570,10339.360,394341.700,1196160.700,110380.600,1922492.190,2252519.580
512,128,0,8205334.570,9889485.300,209207.330,126416.300,13609.680,637345.210,1442746.780,130516.380,3464235.760,2697413.050
512,128,1,8379710.620,9505510.570,229310.780,130038.460,14141.490,592654.090,1472419.900,134002.560,3209480.690,2350006.750
512,128,2,8602293.430,9629763.230,224025.910,134200.420,12925.780,791804.020,1548332.710,136358.960,3092448.300,2516443.370
512,256,0,9357535.670,10902419.150,324201.370,333231.650,24100.270,876703.590,1652784.830,167123.170,6066233.450,2964841.520
512,256,1,10116317.930,11270138.370,356375.520,363290.980,23741.710,906567.320,1688212.870,161820.530,5891539.310,2930612.200
512,256,2,9242474.260,11496131.960,355836.620,358510.980,24339.680,748772.710,1719319.650,167357.740,5839999.390,2866162.250
512,512,0,11116326.360,13508302.770,598232.600,1116886.890,40201.880,1340035.850,2263361.220,186544.700,14392215.930,4060577.180
512,512,1,9429480.870,15809856.700,599695.820,1053628.430,41280.690,1275862.720,2248396.940,183274.040,15029018.330,4315435.170
512,512,2,12223606.080,15006962.990,608941.390,1111529.330,43094.550,1317269.960,2205258.830,180984.620,13866278.030,3917079.840
512,1024,0,15677024.370,21688970.660,1074286.740,2621133.710,68527.870,2823920.720,3434877.820,195080.860,29785596.930,5785042.920
512,1024,1,16136937.720,22183718.730,1073555.210,2642530.750,71591.470,3042662.840,3226258.950,181804.410,29020752.890,6057572.850
512,1024,2,15888928.270,22206793.890,1079955.140,2675152.510,62000.430,2933611.550,3199251.340,196423.320,30375228.920,5912160.280
512,2048,0,21491065.340,34281555.650,2047086.260,4936329.860,106521.350,6498659.340,5191943.300,197078.150,59721449.680,9382261.030
512,2048,1,21439875.620,33604130.240,1932750.480,4616277.080,97318.510,5317140.050,4955337.100,188493.580,57922944.080,9543139.510
512,2048,2,19906944.030,34781087.600,1941558.870,4849855.730,95169.870,6605106.370,5054206.750,192723.770,59749544.890,9836299.780
512,4096,0,37963503.330,59337884.860,3878813.890,8346738.830,165585.780,12817860.880,8649480.480,194855.580,117301724.220,16653561.390
512,4096,1,36587429.520,61403829.030,3821392.060,8397263.400,197836.210,13990359.320,8938562.430,191485.620,119667630.400,16687967.270
512,4096,2,37560344.200,61117827.000,4076335.290,8539031.310,203058.670,12214706.700,8885520.560,193279.660,114540062.280,16915347.810
512,8192,0,74107616.390,112150164.730,7642059.300,16108180.340,1747411.870,32397703.270,16081698.710,193563.900,246314362.860,32492441.970
512,8192,1,68526148.650,113161577.750,7975581.470,16653866.240,1871548.630,36144637.920,17539049.770,197199.560,235071864.780,31301298.970
512,8192,2,78153781.230,114683851.600,8235691.540,16863040.480,1884027.220,32469652.130,15509854.290,187850.080,227683213.060,30300829.680
512,16384,0,161069405.700,217515489.720,20565453.170,31585998.870,8130198.150,82726717.000,31554986.160,191597.600,479167061.410,60286428.890
512,16384,1,156155717.140,218911430.100,21042564.650,32440568.950,8190151.840,83406043.320,30997948.940,192937.540,474610041.190,61185330.490
512,16384,2,158381179.220,215871002.490,21865029.380,31676289.110,8107221.330,82588035.630,30373174.550,190464.260,489613364.340,62110821.250
