F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,7026411.530,10067850.470,111057.540,10237.520,5682.800,585027.410,1406010.410,88734.680,5375151.200,2919092.160
512,32,1,7301749.280,9731392.790,108319.550,9719.830,5296.560,659649.380,1339381.540,86839.510,5607219.210,2864381.020
512,32,2,7113291.160,9503015.620,109463.430,10796.620,5559.490,562607.930,1407291.470,90165.900,5530561.240,3053681.560
512,64,0,7749375.230,11832972.710,150670.120,57553.800,9065.190,720697.220,1546816.350,83146.450,13802298.940,3931285.700
512,64,1,7986064.080,11243073.640,147174.600,56844.950,9076.340,730222.090,1608274.940,88678.440,13674182.830,3499516.880
512,64,2,7422739.990,12084172.510,143282.160,58005.170,9633.790,784707.660,1627096.280,89176.420,13965138.970,4001728.190
512,128,0,8655636.410,14842986.200,253582.360,197649.930,12639.480,859147.600,1796286.570,87781.370,26165490.620,4983417.190
512,128,1,8263754.720,15078650.820,279345.750,196263.830,14574.920,786768.490,1758732.890,90728.420,27590631.810,5206156.230
512,128,2,8986262.340,14378539.820,253448.830,197408.140,14125.290,850859.190,1727219.180,85252.200,25636694.400,5196880.640
512,256,0,10361838.910,18574514.600,449128.490,739229.950,29158.630,1397906.960,2130690.400,88229.850,50978950.290,7509623.920
512,256,1,10123235.820,18147048.360,444089.210,705334.320,27199.540,1197360.620,2111371.130,85494.060,51187987.550,7436995.710
512,256,2,10729328.380,18856192.950,438575.770,711721.790,29056.270,1469253.190,2037380.230,91628.480,50176319.690,7270797.000
512,512,0,14969631.500,30191105.690,801523.620,1650430.860,70493.440,2642849.630,3000647.940,98957.540,103378719.050,12004147.690
512,512,1,16008028.460,26115974.020,928062.290,1866779.790,72680.690,2723267.810,2933897.550,94823.150,110302894.130,13314667.620
512,512,2,15841288.040,31236502.990,883505.300,1889344.430,73346.590,2686764.620,2995097.340,95855.980,103092086.000,11374491.980
512,1024,0,22251331.240,48447801.690,1826001.460,3682365.480,101506.170,4469389.750,4601178.370,110110.410,220708110.060,22881142.770
512,1024,1,21905308.010,51180076.120,1942249.730,3756300.680,97909.540,4092585.720,4589859.970,108562.590,210590490.450,21898399.830
512,1024,2,23972195.960,45964625.390,1825955.670,3816305.770,90782.710,3825485.050,4511057.460,110803.370,219164364.820,23311032.700
512,2048,0,45132377.590,90905972.110,10323319.430,7593922.980,254738.360,13704570.430,8182662.050,106042.820,427999035.670,41456518.640
512,2048,1,45686310.370,88182853.720,9905188.160,7366142.480,263948.890,13390997.430,7929368.620,106182.140,430473446.990,41164520.960
512,2048,2,45693799.250,87452661.060,10083365.680,7586358.920,241110.240,12884191.830,7900998.720,108485.960,428455286.860,41799318.740
512,4096,0,107231040.470,170761651.210,34820744.010,15326329.270,1759200.500,43989886.560,14359246.080,106176.510,848815801.660,81390216.880
512,4096,1,102419075.820,166566148.890,34647636.970,15632037.380,1800465.260,45262762.880,14821524.210,107852.930,854121732.280,84829712.820
512,4096,2,107656657.480,173655578.640,34553594.840,14804484.730,1969864.510,46409861.430,15031751.500,106746.920,882732797.090,83285307.090
512,8192,0,238376390.500,341188786.270,69794504.690,28602465.700,12156527.920,115782268.340,27672794.940,108673.040,1696765781.720,159575412.520
512,8192,1,228978412.640,338188341.860,70112559.840,28471046.990,12344100.970,114132214.980,29209946.780,112720.420,1689852637.550,156493080.540
512,8192,2,223823075.400,313191890.860,75265897.510,30950829.250,11955121.450,113918566.410,26330252.370,115696.710,1704302668.650,170249556.120
512,16384,0,555602626.310,659989209.280,132420210.450,144422273.140,30037664.410,309898123.540,54550575.990,116240.720,3450840533.680,319262671.960
512,16384,1,517951925.370,665120896.280,138753016.370,160578942.820,31386114.460,316579426.430,55714885.410,117022.000,3292413839.640,317701548.710
512,16384,2,576754760.520,614093780.430,134907789.770,149517022.250,31390862.150,313979310.800,54231697.770,121006.340,3484822928.620,319935531.720
