F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5612485.990,8773272.520,103084.090,10630.000,5101.360,589028.940,1144939.690,65364.090,5505196.080,2728042.310
512,32,1,5364329.490,8284785.200,100953.680,10816.050,6063.460,551706.370,1174186.200,66828.160,5449835.190,2792266.210
512,32,2,6013223.100,8751763.610,102003.550,10725.150,5806.010,524494.860,1173480.360,66755.400,5524146.100,2786130.500
512,64,0,6564280.510,10927156.500,145993.440,91186.710,8785.210,678502.980,1395752.160,67654.430,13911089.480,3645505.770
512,64,1,6523825.700,11286589.140,142480.650,95455.120,9146.500,622880.630,1403831.860,68109.080,13795096.180,3503302.040
512,64,2,6644690.800,11275961.580,145819.670,95332.960,9142.020,772030.030,1397228.720,67520.690,14488907.550,3650700.390
512,128,0,7532750.080,12193370.570,237551.120,226892.630,14617.980,844495.170,1558173.900,71688.260,26378697.290,4833476.300
512,128,1,7997166.910,13106282.390,247266.540,220311.190,13741.460,897730.910,1628154.610,76097.350,27194919.790,5091820.910
512,128,2,7360100.710,12784923.310,237615.960,227508.900,14328.800,911373.530,1535290.680,68205.590,25854611.020,4639446.180
512,256,0,9620808.120,18758164.720,465034.710,840049.200,29071.330,1240322.840,1951785.910,71837.510,51724108.720,6847370.010
512,256,1,9329302.910,16453443.900,432846.550,789321.480,29374.240,1043689.760,1857808.050,66581.210,51710390.670,7420701.000
512,256,2,9762158.400,18500172.590,468819.640,782628.210,27546.400,1404242.740,1985899.610,69895.720,53689529.430,7248206.000
512,512,0,13857402.990,29002245.880,876647.580,1804392.160,72142.120,2684485.380,2840596.020,83168.810,106837240.650,11883642.080
512,512,1,15582007.780,27935091.600,908918.690,1833449.910,74495.950,2805379.980,2560214.900,80925.480,105802762.220,12969992.480
512,512,2,13741322.320,27827015.230,901470.090,1752547.660,70934.390,2576549.860,3035589.900,83024.520,107663481.330,11948040.240
512,1024,0,22112265.380,46070339.300,1811070.260,3725805.960,107081.610,3935342.020,4565060.260,95220.410,212804896.630,21901098.830
512,1024,1,21874832.940,49225106.280,1932415.220,3892290.250,102992.660,4146935.040,4293929.930,92816.840,218737407.790,22887428.400
512,1024,2,22250741.420,50071871.420,1799796.210,3733132.420,105702.890,4118208.010,4599341.790,99415.720,217551562.190,21921692.790
512,2048,0,45032861.560,89726698.640,9879088.330,7385380.870,254298.150,12784224.630,7682159.040,94422.590,413816004.250,42978552.870
512,2048,1,43789507.510,89238220.190,9691232.780,7532657.950,242157.940,13268008.470,7714659.300,97314.290,437385446.300,43481623.950
512,2048,2,44292681.360,87883567.090,10393010.720,7561307.710,249178.940,12824515.610,7780627.910,96740.790,418283763.700,40835238.670
512,4096,0,101132204.990,168177437.170,33211079.230,14685769.370,1714857.130,44851936.590,14779522.820,97042.810,866635683.680,84047283.830
512,4096,1,107071989.390,168234538.680,33432718.000,14902612.360,1806055.270,45925213.860,14626969.370,97787.830,864506836.000,82810370.650
512,4096,2,107851051.870,168353463.260,33443424.040,14957512.060,1911667.960,44712040.420,14974309.010,98023.320,849067572.080,83386104.060
512,8192,0,234395988.250,332767663.590,70708961.410,30590095.390,11323386.350,115533128.140,27856302.240,98259.130,1736709689.420,156541845.990
512,8192,1,231130468.800,318786865.280,70892884.200,29485469.800,11445507.930,115209409.500,28429017.550,96565.930,1666831265.490,165596035.620
512,8192,2,230694825.250,319550119.180,68354396.460,28737744.930,11685369.170,115786461.410,28610890.030,96290.520,1757788220.940,159464507.980
512,16384,0,548487811.910,658846475.170,131245504.920,148913901.090,30271258.290,317178212.130,55919865.090,101178.620,3434638356.320,322438459.560
512,16384,1,548591982.870,630982792.050,134102034.180,147270965.540,30322295.080,322455766.700,55672751.990,99073.490,3420758559.480,320034004.300
512,16384,2,546547321.900,691717350.490,142476565.360,155821649.270,30298370.280,303315475.710,56041578.920,104208.470,3571660607.830,319673874.260
