F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5025386.730,8480414.910,74489.690,8368.100,6360.140,556410.610,1144736.230,46285.970,3573470.310,2613163.310
512,32,1,4967575.560,8595960.540,75208.610,8883.240,6333.660,436405.210,1144554.090,47207.260,3576315.690,2535826.700
512,32,2,5015903.380,8141547.680,68712.660,8242.620,6400.030,525887.270,1107750.250,46999.180,3762436.340,2584357.030
512,64,0,5450989.570,7590689.090,72049.120,18688.650,9154.260,571357.840,983560.530,78243.720,4561954.300,2460253.360
512,64,1,5411475.960,6879528.200,70861.000,18621.710,9420.110,434215.380,1060865.540,80547.280,4658445.750,2507932.890
512,64,2,5055797.100,7530555.110,71653.400,20091.370,9798.260,460934.970,958530.400,77321.580,4376131.600,2439969.310
512,128,0,6354620.640,9211164.290,103003.410,81272.150,13482.630,652725.820,1205992.050,91573.470,8473810.060,2945298.720
512,128,1,6145692.640,9612205.490,111661.370,86387.500,13435.910,624446.970,1169329.440,91632.880,8226836.720,2789364.420
512,128,2,6407814.170,9601561.440,105878.470,82271.630,13750.900,602027.370,1082270.690,90335.310,8168872.540,3057608.320
512,256,0,7715717.440,10802124.110,164790.240,220833.700,24941.930,1101121.370,1285859.360,87412.890,15191169.110,3762021.820
512,256,1,6143694.050,10639065.890,162088.280,238673.500,23553.230,1145159.920,1365584.690,91586.790,15399396.220,3659342.780
512,256,2,7587207.460,10885357.750,164462.640,227101.710,24948.360,865645.550,1317223.130,91751.410,15036635.470,3624449.750
512,512,0,9448614.350,15612915.030,325573.590,708450.560,40154.470,1608322.450,1659524.140,88603.230,32791426.640,5411015.880
512,512,1,9833408.050,14221115.130,329683.830,683507.970,40414.470,1481845.490,1645745.000,89560.450,33259386.300,5463848.670
512,512,2,9398014.880,14495418.680,329306.590,695051.190,42181.960,1627763.760,1680543.120,87995.550,31479171.590,5537196.920
512,1024,0,12797932.370,20614518.000,681528.920,1760585.580,76314.180,2489951.200,2305921.040,105087.410,72127252.850,8936262.750
512,1024,1,11998696.680,21577651.830,668048.960,1780863.490,70468.990,2451261.520,2302810.960,102626.570,68589395.050,9215542.640
512,1024,2,12716290.500,21892586.410,671939.940,1812407.740,70571.310,2530429.060,2168865.690,102694.360,68591810.910,8558872.990
512,2048,0,19050373.890,31844167.530,1923488.010,2920456.210,123775.680,4128428.820,3347784.640,106325.620,143732182.830,15222220.050
512,2048,1,16454007.500,37688397.620,2203230.790,3318272.940,124395.360,3937200.400,3182703.900,101511.980,136100260.910,15445156.750
512,2048,2,18339736.360,32535556.820,2094469.760,3013051.600,126271.740,4874860.420,3574006.100,110170.890,139156646.470,15729595.890
512,4096,0,31055169.820,61254109.290,7182704.020,5492000.490,233588.670,8848515.160,5334382.180,104267.520,275882669.120,28089044.580
512,4096,1,31432909.900,60965265.540,7326095.910,5260224.160,248951.200,10635326.070,5648995.450,108040.080,270160441.980,27030300.270
512,4096,2,30771270.390,56954285.870,7640046.240,5436439.130,239498.240,9205733.810,5460878.990,107912.340,274304380.000,26542689.310
512,8192,0,71677178.580,113001208.980,20269036.710,10568142.110,1410642.130,29684944.280,10164069.310,108457.500,545421854.850,52921015.500
512,8192,1,64970575.490,108160339.540,19062459.010,10262498.350,1322977.570,30844194.730,9826407.780,104369.880,544342901.730,55136141.310
512,8192,2,71208177.430,111877419.900,19621373.710,10184350.910,1342024.490,30639853.840,9927586.130,104101.980,553862726.410,53051461.910
512,16384,0,179112081.610,215161766.780,44301781.580,50262375.820,7383178.080,94298037.590,18752044.370,105814.850,1120381459.590,104687671.780
512,16384,1,182428077.400,219589393.320,43662455.680,53196214.370,7077179.540,97644956.370,19203733.830,110003.880,1119714482.400,104247276.400
512,16384,2,176536727.860,210866754.270,41707768.720,47945110.900,7303433.190,97849685.390,18524029.780,106305.430,1105846639.630,103528966.930
