F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5240357.250,8883844.760,75743.150,8294.800,6261.020,544729.050,1188450.970,58518.300,3766562.620,2542684.180
512,32,1,5485944.620,8787333.860,74122.870,8053.030,6279.310,502374.480,1122778.860,57368.050,3702835.720,2585460.110
512,32,2,5333235.010,8782155.700,71463.990,8152.220,6351.280,535847.820,1092109.020,54537.260,3544865.480,2574445.360
512,64,0,5394120.190,7175645.530,67962.220,82279.470,9702.370,516527.330,925862.370,77884.190,4622488.220,2444137.390
512,64,1,5358664.500,7273907.570,66195.550,86697.800,9681.630,456668.650,1036320.210,80540.400,4560227.940,2407827.060
512,64,2,4904359.440,7812149.000,76526.860,79732.160,9026.000,499021.610,884032.540,72409.370,4565708.410,2355554.640
512,128,0,6004325.180,8591625.300,94602.040,118612.920,13980.590,593022.450,1121466.260,91336.310,8400887.110,2819239.480
512,128,1,6388647.350,8590841.500,94886.830,115300.110,14606.620,737707.270,1081447.110,85675.960,8641035.330,2906359.910
512,128,2,5822937.870,9175618.260,109538.030,119616.830,14760.770,556426.580,1144295.780,86690.130,8093314.420,2736453.790
512,256,0,6815239.000,10536796.540,166067.660,160509.090,22163.860,844480.720,1275183.380,81831.560,14868314.010,3520942.320
512,256,1,7643956.010,10088239.310,156011.350,155980.760,23627.700,734771.650,1154061.270,80014.970,16163384.230,3787519.660
512,256,2,6791050.490,10596581.890,168483.620,157621.780,22410.260,964868.130,1182090.680,87012.100,15087851.060,3418792.730
512,512,0,8473809.470,14448552.490,290192.860,725949.100,38048.700,1575558.630,1622918.000,82749.280,34726190.070,5211086.760
512,512,1,8579251.090,14878682.300,293216.890,795066.380,40391.670,1927097.020,1731616.660,88461.430,34152586.230,5273639.590
512,512,2,8787624.610,14179112.440,321001.800,755445.150,33899.840,1766857.570,1539240.600,78862.750,32805997.010,5336580.850
512,1024,0,11669822.960,21964098.520,683336.380,1741423.200,67050.940,2366481.180,2125412.150,91303.550,72926032.210,8762670.710
512,1024,1,11548561.830,20873344.450,683617.190,1893694.660,71706.470,2747392.330,2276340.850,90904.500,69967875.950,8644685.200
512,1024,2,12691272.520,21842743.590,700555.960,1731430.110,71121.050,2707135.100,2089559.220,88677.340,69115032.350,9006857.370
512,2048,0,17826271.770,33590210.490,2087617.970,3031714.930,121831.520,4345848.570,3341266.940,98781.530,141065263.070,15045664.330
512,2048,1,17682123.850,35124301.500,2054732.260,2994692.720,120976.980,4333466.980,3330314.120,100566.110,140624371.470,15735719.040
512,2048,2,18867474.330,33511033.690,2056851.990,3118810.240,116394.390,3544214.800,3237985.750,94928.340,133509798.910,14643914.300
512,4096,0,32919339.260,58088609.940,7478822.260,5417640.000,228031.180,9118105.990,5451673.140,97876.870,279126222.200,27929013.660
512,4096,1,32324289.210,59282728.590,7523964.050,5366656.200,236654.700,8194420.920,5221143.400,99462.650,274819072.280,26979081.630
512,4096,2,30078654.570,58156837.520,7075889.270,5434556.240,277517.640,9420540.310,5545577.060,94795.920,275042461.680,27875074.360
512,8192,0,60485705.090,106500640.890,19877474.590,10671498.490,1281665.810,27937318.510,9740789.990,95525.480,552148662.340,51722595.070
512,8192,1,67169498.180,107074105.060,20131660.510,10879891.340,1593832.730,29523271.690,9905725.940,97091.810,554403412.630,53443882.290
512,8192,2,69540116.530,115073492.660,20878518.870,10981931.350,1505038.020,30531251.140,10103000.370,103331.880,575330972.290,53808491.440
512,16384,0,174171158.320,214001693.370,41957812.600,49892538.840,7569968.140,101771017.030,18985400.710,102739.400,1123115132.160,105931999.120
512,16384,1,175878245.970,220811253.780,42245605.700,47226439.350,7209851.390,95335564.490,18252461.640,92533.890,1106627272.300,105450906.440
512,16384,2,177126881.870,222059136.610,42924016.600,52008290.350,7084833.480,98250231.660,18437836.830,94821.920,1082449883.850,100942873.920
